Rk,,Overall,Shootout,Overtime,Home,Road,EAS,WES,ATL,MET,CEN,PAC,≤1,≥3,Oct,Nov,Dec,Jan,Feb,Mar,Apr
1,Tampa Bay Lightning,62-16-4,6-1,7-3,32-7-2,30-9-2,44-8-0,18-8-4,23-5-0,21-3-0,7-4-3,11-4-1,24-3-4,30-8-0,8-2-1,10-5-0,13-0-1,6-4-0,12-1-2,10-3-0,3-1-0
2,Calgary Flames,50-25-7,0-4,5-3,26-10-5,24-15-2,21-7-4,29-18-3,8-5-3,13-2-1,13-7-1,16-11-2,16-8-7,22-6-0,7-5-1,8-4-1,9-3-2,9-1-1,8-3-2,8-7-0,1-2-0
3,Boston Bruins,49-24-9,2-3,9-6,29-9-3,20-15-6,29-19-4,20-5-5,16-10-2,13-9-2,8-3-3,12-2-2,21-6-9,23-11-0,7-3-2,7-4-2,7-7-0,6-3-3,11-0-2,9-6-0,2-1-0
4,Washington Capitals,48-26-8,4-1,5-7,24-11-6,24-15-2,33-14-5,15-12-3,14-7-3,19-7-2,5-7-2,10-5-1,19-5-8,16-14-0,5-3-2,10-4-1,9-4-0,3-6-3,9-4-1,11-3-1,1-2-0
5,New York Islanders,48-27-7,5-5,6-2,24-13-4,24-14-3,30-17-5,18-10-2,12-8-4,18-9-1,9-4-1,9-6-1,19-6-7,19-12-0,6-4-1,6-5-2,9-4-1,8-2-1,8-4-2,9-7-0,2-1-0
6,San Jose Sharks,46-27-9,0-3,8-6,25-11-5,21-16-4,14-13-5,32-14-4,6-8-2,8-5-3,15-6-0,17-8-4,18-5-9,22-14-0,6-3-3,6-6-2,9-4-2,8-3-0,8-3-1,7-7-1,2-1-0
7,Nashville Predators,47-29-6,4-2,5-4,25-14-2,22-15-4,20-8-4,27-21-2,11-3-2,9-5-2,14-11-1,13-10-1,19-10-6,19-11-0,9-3-0,8-5-1,6-7-1,7-3-2,7-6-1,7-5-1,3-0-0
8,Toronto Maple Leafs,46-28-8,0-2,6-6,23-16-2,23-12-6,28-18-6,18-10-2,14-10-4,14-8-2,6-7-1,12-3-1,12-5-8,18-15-0,8-4-0,10-4-0,8-3-2,4-6-0,9-4-2,6-5-3,1-2-1
9,Pittsburgh Penguins,44-26-12,2-3,5-9,23-14-4,21-12-8,26-15-11,18-11-1,11-7-6,15-8-5,9-5-0,9-6-1,14-5-12,21-15-0,6-2-2,4-7-3,11-3-1,6-5-0,6-5-2,10-3-3,1-1-1
10,Winnipeg Jets,47-30-5,2-1,7-4,25-12-4,22-18-1,18-12-2,29-18-3,7-7-2,11-5-0,13-12-1,16-6-2,19-7-5,18-15-0,7-4-1,7-4-1,11-4-0,8-4-0,4-6-2,8-7-0,2-1-1
11,Carolina Hurricanes,46-29-7,2-2,5-5,24-13-4,22-16-3,27-21-4,19-8-3,14-8-2,13-13-2,10-4-0,9-4-3,15-6-7,20-14-0,6-5-1,6-4-3,4-8-1,8-3-1,10-3-0,9-6-1,3-0-0
12,St. Louis Blues,45-28-9,3-3,6-6,24-15-2,21-13-7,20-10-2,25-18-7,11-4-1,9-6-1,12-9-5,13-9-2,16-8-9,22-15-0,3-4-3,6-8-0,6-6-1,7-4-1,12-1-1,8-5-2,3-0-1
13,Columbus Blue Jackets,47-31-4,2-1,8-3,22-17-2,25-14-2,31-19-2,16-12-2,13-10-1,18-9-1,9-5-0,7-7-2,17-6-4,25-16-0,6-5-0,9-3-2,8-5-1,5-6-0,8-5-0,9-6-1,2-1-0
14,Montreal Canadiens,44-30-8,3-0,4-8,25-12-4,19-18-4,27-17-8,17-13-0,15-8-5,12-9-3,6-8-0,11-5-0,17-9-8,17-17-0,6-3-2,5-6-3,10-5-0,7-4-0,6-5-2,8-6-1,2-1-0
15,Dallas Stars,43-32-7,1-2,6-5,24-14-3,19-18-4,15-15-2,28-17-5,9-5-2,6-10-0,14-10-2,14-7-3,17-10-7,15-13-0,6-5-0,7-5-3,7-6-1,5-5-0,7-6-1,9-4-2,2-1-0
16,Vegas Golden Knights,43-32-7,3-2,4-5,24-12-5,19-20-2,15-13-4,28-19-3,6-7-3,9-6-1,10-11-0,18-8-3,17-9-7,17-16-0,5-6-1,9-6-0,9-3-3,6-4-0,5-7-1,8-4-2,1-2-0
17,Colorado Avalanche,38-30-14,2-2,3-12,21-14-6,17-16-8,16-10-6,22-20-8,9-5-2,7-5-4,12-9-5,10-11-3,9-8-14,21-18-0,7-3-2,8-3-3,4-7-3,3-7-0,6-4-4,8-5-1,2-1-1
18,Arizona Coyotes,39-35-8,4-3,5-5,20-17-4,19-18-4,12-16-4,27-19-4,7-9-0,5-7-4,11-9-1,16-10-3,16-8-8,16-15-0,6-5-0,5-6-2,6-9-0,6-3-2,8-5-1,7-5-3,1-2-0
19,Florida Panthers,36-32-14,3-7,7-7,20-13-8,16-19-6,23-19-10,13-13-4,14-11-3,9-8-7,5-8-1,8-5-3,14-12-14,12-15-0,2-4-3,8-6-1,7-5-2,3-5-2,8-5-2,7-7-2,1-0-2
