Rk,,Overall,Shootout,Overtime,Home,Road,EAS,WES,ATL,MET,CEN,PAC,≤1,≥3,Oct,Nov,Dec,Jan,Feb,Mar
1,Boston Bruins,44-14-12,0-7,6-5,22-4-9,22-10-3,26-9-9,18-5-3,14-6-3,12-3-6,9-2-2,9-3-1,18-4-12,16-6-0,9-1-2,9-2-3,6-4-5,6-3-2,11-3-0,3-1-0
2,St. Louis Blues,42-19-10,2-3,7-7,23-7-5,19-12-5,13-8-4,29-11-6,6-6-0,7-2-4,15-7-2,14-4-4,18-3-10,16-9-0,7-3-3,10-2-3,9-4-0,5-4-2,8-4-2,3-2-0
3,Tampa Bay Lightning,43-21-6,2-1,6-5,22-10-2,21-11-4,28-12-3,15-9-3,18-5-1,10-7-2,4-7-3,11-2-0,18-9-6,12-7-0,6-4-2,6-5-1,9-4-1,10-2-1,10-4-0,2-2-1
4,Colorado Avalanche,42-20-8,1-1,4-7,18-9-6,24-11-2,21-6-4,21-14-4,12-1-2,9-5-2,10-8-2,11-6-2,15-4-8,18-8-0,8-2-2,8-6-0,7-5-2,5-2-2,11-3-1,3-2-1
5,Washington Capitals,41-20-8,4-3,6-5,18-10-5,23-10-3,25-14-4,16-6-4,14-2-2,11-12-2,6-4-1,10-2-3,18-7-8,12-10-0,9-2-3,10-2-2,8-5-0,8-3-0,4-7-1,2-1-2
6,Philadelphia Flyers,41-21-7,5-5,5-2,25-6-4,16-15-3,30-10-5,11-11-2,14-6-1,16-4-4,5-4-0,6-7-2,15-3-7,21-10-0,5-5-1,10-2-4,7-6-0,5-4-2,10-3-0,4-1-0
7,Pittsburgh Penguins,40-23-6,3-0,8-6,23-8-4,17-15-2,20-16-4,20-7-2,12-10-1,8-6-3,11-2-0,9-5-2,16-4-6,18-14-0,8-5-0,6-4-4,10-2-0,8-3-1,5-7-1,3-2-0
8,Vegas Golden Knights,39-24-8,3-2,6-6,22-11-4,17-13-4,16-10-5,23-14-3,7-5-3,9-5-2,8-8-1,15-6-2,16-6-8,16-12-0,8-5-1,5-6-3,9-4-2,4-5-1,10-2-1,3-2-0
9,Edmonton Oilers,37-25-9,2-2,4-7,17-11-6,20-14-3,17-7-3,20-18-6,6-5-3,11-2-0,9-9-2,11-9-4,15-4-9,14-15-0,9-4-1,7-5-2,5-8-1,6-1-2,7-5-2,3-2-1
10,Dallas Stars,37-24-8,2-3,9-5,19-12-3,18-12-5,15-12-2,22-12-6,7-7-1,8-5-1,12-9-3,10-3-3,18-9-8,10-10-0,5-8-1,10-2-1,7-4-2,6-4-0,9-3-3,0-3-1
11,Carolina Hurricanes,38-25-5,5-0,6-5,19-12-2,19-13-3,20-17-2,18-8-3,12-5-1,8-12-1,8-5-0,10-3-3,13-6-5,16-9-0,8-3-1,8-7-0,8-4-1,5-5-1,6-5-2,3-1-0
12,Toronto Maple Leafs,36-25-9,1-5,7-4,18-9-7,18-16-2,20-15-6,16-10-3,12-8-2,8-7-4,7-5-1,9-5-2,10-6-9,15-10-0,6-5-3,7-6-1,9-3-1,5-3-2,8-6-1,1-2-1
