Rk,,Overall,Shootout,Overtime,Home,Road,CEN,EAS,NTH,WES,≤1,≥3,Jan,Feb,Mar,Apr,May
1,Vegas Golden Knights,40-14-2,1-2,9-0,21-5-2,19-9-0,,,,40-14-2,17-7-2,19-3-0,5-1-1,7-3-0,12-5-0,11-3-1,5-2-0
2,Colorado Avalanche,39-13-4,0-1,4-3,22-4-2,17-9-2,,,,39-13-4,17-3-4,18-7-0,6-3-1,5-3-0,12-2-3,9-4-0,7-1-0
3,Carolina Hurricanes,36-12-8,4-2,5-6,20-3-5,16-9-3,36-12-8,,,,14-3-8,14-2-0,5-1-0,8-5-1,10-2-2,10-2-4,3-2-1
4,Florida Panthers,37-14-5,1-2,10-3,20-5-3,17-9-2,37-14-5,,,,17-3-5,13-8-0,5-0-1,8-4-2,10-5-1,10-5-1,4-0-0
5,Pittsburgh Penguins,37-16-3,3-1,5-2,22-4-2,15-12-1,,37-16-3,,,16-4-3,17-6-0,5-3-1,6-5-0,12-3-1,10-4-1,4-1-0
6,Washington Capitals,36-15-5,3-2,4-3,17-8-3,19-7-2,,36-15-5,,,19-1-5,10-9-0,6-0-3,6-5-1,11-3-0,9-5-1,4-2-0
7,Toronto Maple Leafs,35-14-7,1-0,5-7,18-7-3,17-7-4,,,35-14-7,,14-4-7,11-4-0,7-2-1,9-2-1,7-6-1,9-3-2,3-1-2
8,Tampa Bay Lightning,36-17-3,1-2,6-1,21-7-0,15-10-3,36-17-3,,,,12-2-3,16-10-0,4-1-1,10-3-0,10-5-1,10-5-0,2-3-1
9,Minnesota Wild,35-16-5,1-1,7-4,21-5-2,14-11-3,,,,35-16-5,15-5-5,14-9-0,6-4-0,6-2-0,9-5-2,10-3-2,4-2-1
10,Boston Bruins,33-16-7,4-2,4-5,18-7-3,15-9-4,,33-16-7,,,12-8-7,15-6-0,5-1-2,7-4-0,6-4-3,11-5-1,4-2-1
11,Edmonton Oilers,35-19-2,0-0,4-2,16-12-0,19-7-2,,,35-19-2,,14-5-2,13-8-0,5-6-0,9-3-0,8-5-1,7-3-1,6-2-0
12,New York Islanders,32-17-7,4-3,4-4,21-4-3,11-13-4,,32-17-7,,,14-6-7,13-8-0,3-4-2,8-2-2,11-4-0,8-5-1,2-2-2
13,Nashville Predators,31-23-2,5-0,5-2,18-10-0,13-13-2,31-23-2,,,,14-4-2,9-13-0,4-4-0,6-7-0,9-6-1,8-5-1,4-1-0
14,Winnipeg Jets,30-23-3,0-2,6-1,13-13-2,17-10-1,,,30-23-3,,12-6-3,14-6-0,5-3-0,8-3-1,9-7-1,5-7-1,3-3-0
15,St. Louis Blues,27-20-9,2-3,6-6,12-11-5,15-9-4,,,,27-20-9,14-8-9,9-9-0,6-2-1,5-6-1,5-5-4,7-6-0,4-1-3
16,New York Rangers,27-23-6,1-2,2-4,14-11-3,13-12-3,,27-23-6,,,5-9-6,16-11-0,2-4-2,5-5-1,9-6-1,10-4-2,1-4-0
17,Dallas Stars,23-19-14,2-6,4-8,13-7-8,10-12-6,23-19-14,,,,9-6-14,14-7-0,4-1-1,2-5-3,5-6-6,10-5-2,2-2-2
18,Montreal Canadiens,24-21-11,1-3,3-8,13-11-4,11-10-7,,,24-21-11,,9-4-11,8-11-0,5-1-2,4-5-3,6-2-4,7-10-0,2-3-2
19,Philadelphia Flyers,25-23-8,3-4,5-4,12-12-4,13-11-4,,25-23-8,,,14-4-8,7-13-0,7-2-1,4-2-2,6-10-1,5-7-3,3-2-1
20,Calgary Flames,26-27-3,1-1,3-2,15-12-1,11-15-2,,,26-27-3,,8-10-3,11-9-0,3-3-1,7-7-1,6-8-1,6-6-0,4-3-0
21,Chicago Blackhawks,24-25-7,2-2,7-5,13-11-4,11-14-3,24-25-7,,,,12-5-7,5-14-0,3-4-3,9-3-1,5-8-1,5-7-1,2-3-1
22,Arizona Coyotes,24-26-6,3-2,2-4,12-12-4,12-14-2,,,,24-26-6,12-7-6,9-13-0,3-4-1,6-5-2,7-6-2,6-9-0,2-2-1
23,Ottawa Senators,23-28-5,2-1,3-4,14-10-4,9-18-1,,,23-28-5,,11-8-5,7-14-0,1-7-1,6-8-0,5-5-3,7-7-0,4-1-1
24,Vancouver Canucks,23-29-4,3-1,3-3,13-12-3,10-17-1,,,23-29-4,,7-3-4,9-21-0,6-5-0,2-9-2,8-4-1,3-4-0,4-7-1
25,Los Angeles Kings,21-28-7,1-1,1-6,9-14-5,12-14-2,,,,21-28-7,7-8-7,8-11-0,3-3-2,6-4-2,5-7-2,5-9-0,2-5-1
26,San Jose Sharks,21-28-7,5-3,1-4,11-13-4,10-15-3,,,,21-28-7,11-6-7,4-19-0,3-5-0,4-4-2,8-7-2,5-9-1,1-3-2
27,Detroit Red Wings,19-27-10,2-3,1-7,12-11-5,7-16-5,19-27-10,,,,5-7-10,7-15-0,2-6-2,5-8-1,5-7-1,5-5-5,2-1-1
28,Columbus Blue Jackets,18-26-12,3-3,3-9,11-9-8,7-17-4,18-26-12,,,,12-4-12,3-12-0,4-3-3,4-7-2,6-5-3,2-10-2,2-1-2
29,New Jersey Devils,19-30-7,0-5,4-2,7-18-3,12-12-4,,19-30-7,,,12-8-7,3-13-0,4-3-2,3-5-0,6-8-3,3-11-2,3-3-0
30,Anaheim Ducks,17-30-9,2-2,4-7,6-18-4,11-12-5,,,,17-30-9,10-10-9,5-15-0,3-5-2,3-5-3,5-10-1,4-9-1,2-1-2
31,Buffalo Sabres,15-34-7,4-3,0-4,8-16-4,7-18-3,,15-34-7,,,6-8-7,4-19-0,4-4-2,2-6-1,1-13-2,6-8-2,2-3-0
