Rk,,Overall,Shootout,Overtime,Home,Road,EAS,WES,ATL,MET,CEN,PAC,≤1,≥3,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May
1,Florida Panthers,58-18-6,3-4,13-2,34-7-0,24-11-6,37-10-3,21-8-3,19-5-2,18-5-1,12-2-2,9-6-1,22-4-6,31-10-0,8-0-1,7-4-2,5-3-1,12-2-1,3-4-0,11-2-1,12-3-0,
2,Colorado Avalanche,56-19-7,4-2,6-5,32-5-4,24-14-3,22-8-2,34-11-5,12-3-1,10-5-1,15-7-4,19-4-1,18-3-7,21-9-0,4-4-0,7-2-1,6-2-1,15-0-1,7-2-1,9-4-2,8-5-1,
3,Carolina Hurricanes,54-20-8,1-2,6-6,29-8-4,25-12-4,30-14-6,24-6-2,13-6-5,17-8-1,11-4-1,13-2-1,20-8-8,23-7-0,8-0-0,7-5-1,7-2-0,9-2-1,6-2-2,8-4-4,9-5-0,
4,Toronto Maple Leafs,54-21-7,3-1,6-6,31-8-2,23-13-5,34-12-4,20-9-3,16-8-2,18-4-2,9-4-3,11-5-0,20-3-7,25-13-0,4-4-1,12-2-0,4-2-1,8-2-1,7-4-1,8-5-1,11-2-2,
5,Minnesota Wild,53-22-7,5-4,11-3,31-8-2,22-14-5,23-5-4,30-17-3,9-5-2,14-0-2,13-10-3,17-7-0,24-5-7,23-12-0,5-3-0,10-3-1,4-3-1,8-1-1,4-6-0,10-4-2,12-2-2,
6,Calgary Flames,50-21-11,2-2,4-9,25-9-7,25-12-4,20-7-5,30-14-6,8-5-3,12-2-2,14-6-4,16-8-2,10-4-11,30-10-0,6-1-1,7-3-4,3-3-1,5-6-0,10-1-0,9-4-3,10-3-2,
7,New York Rangers,52-24-6,4-3,4-3,27-10-4,25-14-2,35-13-2,17-11-4,19-4-1,16-9-1,9-6-1,8-5-3,22-8-6,22-11-0,6-2-1,7-2-2,7-4-1,9-5-0,4-2-1,11-4-0,8-5-1,
8,Tampa Bay Lightning,51-23-8,2-5,10-3,27-8-6,24-15-2,29-16-5,22-7-3,15-8-3,14-8-2,10-4-2,12-3-1,20-7-8,22-14-0,4-3-1,8-2-3,9-2-1,8-3-1,5-1-0,8-7-0,9-5-2,
9,St. Louis Blues,49-22-11,2-3,4-8,26-10-5,23-12-6,15-12-5,34-10-6,9-4-3,6-8-2,17-6-3,17-4-3,10-7-11,28-9-0,6-1-0,6-6-3,6-2-2,8-4-0,6-1-1,5-6-3,12-2-2,
10,Boston Bruins,51-26-5,2-2,9-3,26-13-2,25-13-3,31-17-2,20-9-3,18-7-1,13-10-1,11-4-1,9-5-2,24-4-5,17-13-0,4-3-0,7-5-0,3-2-2,11-4-1,7-3-1,10-3-1,9-6-0,
11,Edmonton Oilers,49-27-6,5-1,6-5,28-12-1,21-15-5,15-14-3,34-13-3,6-9-1,9-5-2,13-8-3,21-5-0,17-4-6,23-14-0,6-1-0,9-4-0,3-7-1,4-4-2,7-5-0,9-4-2,11-2-1,
12,Pittsburgh Penguins,46-25-11,3-7,6-4,23-13-5,23-12-6,28-16-6,18-9-5,14-7-3,14-9-3,9-4-3,9-5-2,14-8-11,21-15-0,3-3-2,7-4-3,7-1-0,10-3-2,6-3-1,8-4-2,5-7-1,
13,Washington Capitals,44-26-12,5-3,4-9,19-16-6,25-10-6,29-16-5,15-10-7,13-7-4,16-9-1,9-4-3,6-6-4,15-10-12,16-12-0,5-0-3,9-4-2,6-2-2,4-6-2,4-6-0,9-3-1,7-5-2,
14,Los Angeles Kings,44-27-11,4-4,5-7,21-16-4,23-11-7,23-6-3,21-21-8,12-3-1,11-3-2,9-11-4,12-10-4,19-8-11,16-16-0,3-5-1,6-3-3,6-4-1,8-4-2,6-2-0,8-5-3,7-4-1,
15,Dallas Stars,46-30-6,5-2,10-4,27-10-4,19-20-2,19-12-1,27-18-5,8-7-1,11-5-0,14-8-4,13-10-1,28-6-6,12-16-0,3-4-1,8-3-1,4-5-0,8-5-0,6-3-1,9-5-0,8-5-3,
16,Nashville Predators,45-30-7,4-2,6-5,25-14-2,20-16-5,15-14-3,30-16-4,7-8-1,8-6-2,16-8-2,14-8-2,21-8-7,16-15-0,4-4-0,8-5-1,7-2-1,8-3-2,3-5-0,9-5-0,6-6-3,
17,Vegas Golden Knights,43-31-8,4-4,5-4,22-15-4,21-16-4,16-14-2,27-17-6,9-6-1,7-8-1,11-10-3,16-7-3,17-9-8,19-13-0,4-4-0,8-5-0,10-3-0,4-4-3,3-4-1,8-8-0,6-3-4,
18,Vancouver Canucks,40-30-12,3-5,5-7,20-14-7,20-16-5,14-14-4,26-16-8,6-7-3,8-7-1,13-10-1,13-6-7,14-9-12,18-15-0,3-5-1,4-9-1,8-1-1,5-4-3,6-4-0,6-5-3,8-2-3,
19,Winnipeg Jets,39-32-11,2-4,5-7,23-15-3,16-17-8,11-19-2,28-13-9,7-9-0,4-10-2,14-6-6,14-7-3,12-5-11,17-15-0,4-2-2,6-6-2,4-3-1,4-5-2,5-5-2,10-5-1,5-6-1,1-0-0
20,New York Islanders,37-35-10,2-6,1-4,20-16-5,17-19-5,24-21-5,13-14-5,9-12-3,15-9-2,7-7-2,6-7-3,11-9-10,20-19-0,3-2-2,2-8-0,4-2-4,6-4-0,5-5-2,10-6-1,7-8-1,
21,Columbus Blue Jackets,37-38-7,4-3,7-4,21-15-5,16-23-2,21-26-3,16-12-4,12-9-3,9-17-0,10-4-2,6-8-2,17-11-7,13-21-0,5-3-0,7-5-0,3-5-1,5-9-0,7-3-0,5-6-4,5-7-2,
22,San Jose Sharks,32-37-13,3-3,7-10,18-18-5,14-19-8,15-12-5,17-25-8,7-6-3,8-6-2,8-13-3,9-12-5,16-6-13,10-20-0,5-3-0,7-6-1,5-5-0,5-6-2,2-3-3,5-7-2,3-7-5,
23,Anaheim Ducks,31-37-14,4-5,5-9,17-19-5,14-18-9,15-9-8,16-28-6,9-2-5,6-7-3,5-16-3,11-12-3,13-11-14,12-19-0,3-4-3,9-4-0,5-2-4,6-6-2,2-5-0,2-9-3,4-7-2,
24,Buffalo Sabres,32-39-11,3-3,4-8,17-18-6,15-21-5,17-23-10,15-16-1,8-14-4,9-9-6,9-6-1,6-10-0,13-8-11,11-22-0,5-2-1,3-9-2,2-6-2,4-6-2,2-7-1,8-3-3,8-6-0,
25,Detroit Red Wings,32-40-10,3-2,8-8,18-16-7,14-24-3,22-23-5,10-17-5,8-15-3,14-8-2,3-10-3,7-7-2,15-1-10,10-31-0,4-3-2,7-6-1,4-5-0,5-6-3,3-4-0,3-8-3,6-8-1,
26,Ottawa Senators,33-42-7,3-2,4-5,15-22-4,18-20-3,22-22-6,11-20-1,11-12-3,11-10-3,6-9-1,5-11-0,14-10-7,14-19-0,3-4-0,1-10-1,5-3-1,5-4-2,5-6-1,4-10-1,10-5-1,
27,Chicago Blackhawks,28-42-12,6-2,6-10,14-21-6,14-21-6,12-16-4,16-26-8,5-8-3,7-8-1,5-15-6,11-11-2,15-8-12,7-24-0,0-7-2,7-5-0,4-3-2,5-7-3,3-5-1,5-7-2,4-8-2,
28,New Jersey Devils,27-46-9,3-5,5-4,16-20-5,11-26-4,15-29-6,12-17-3,6-15-3,9-14-3,6-9-1,6-8-2,10-12-9,11-23-0,4-2-1,5-5-3,3-8-1,3-9-0,4-5-0,5-9-0,3-8-4,
29,Philadelphia Flyers,25-46-11,1-4,4-7,14-21-6,11-25-5,11-31-8,14-15-3,3-17-4,8-14-4,6-10-0,8-5-3,14-7-11,8-27-0,4-2-1,4-6-3,5-4-2,1-10-2,2-4-2,5-9-1,4-11-0,
30,Seattle Kraken,27-49-6,3-1,1-5,16-22-3,11-27-3,13-13-6,14-36-0,8-5-3,5-8-3,8-16-0,6-20-0,11-10-6,10-23-0,3-5-1,5-8-0,2-5-3,4-8-0,2-8-1,5-6-1,6-8-0,0-1-0
31,Arizona Coyotes,25-50-7,1-4,6-3,11-27-3,14-23-4,9-21-2,16-29-5,8-7-1,1-14-1,10-12-4,6-17-1,13-8-7,7-25-0,0-8-1,5-8-1,1-5-1,4-8-1,4-6-0,7-6-1,4-9-2,
32,Montreal Canadiens,22-49-11,3-2,3-9,11-26-4,11-23-7,15-31-4,7-18-7,9-14-3,6-17-1,3-9-4,4-9-3,8-8-11,11-32-0,2-8-0,4-8-2,1-6-2,1-7-3,5-4-0,5-6-4,4-10-0,
