#,PLAYER (TEAM),SCOTT PIANOWSKI9/26,YAHOO STAFF10/3,year
1,"Connor McDavid (EDM - C,F)",1,1,2018
2,"Alex Ovechkin (WSH - LW,F)",3,2,2018
3,Nikita Kucherov (TB - RW),2,3,2018
4,"Sidney Crosby (PIT - C,F)",4,4,2018
5,"Brad Marchand (BOS - LW,F)",8,6,2018
6,"Evgeni Malkin (PIT - C,F)",5,10,2018
7,Nathan MacKinnon (COL - C),10,7,2018
8,"Patrick Kane (DET - RW,F)",11,8,2018
9,"Patrik Laine (CBJ - LW,RW)",6,14,2018
10,"John Tavares (TOR - C,F)",16,5,2018
11,"Auston Matthews (TOR - C,F)",7,16,2018
12,"Tyler Seguin (DAL - C,F)",15,9,2018
13,Andrei Vasilevskiy (TB - G),13,12,2018
14,"David Pastrnak (BOS - RW,F)",9,17,2018
15,"Jamie Benn (DAL - C,LW)",14,19,2018
16,Brent Burns (CAR - D),21,13,2018
17,"Taylor Hall (CHI - LW,F)",24,11,2018
18,"Steven Stamkos (TB - C,F)",12,26,2018
19,"Blake Wheeler (NYR - RW,F)",17,22,2018
20,Pekka Rinne (NSH - G),18,23,2018
21,Erik Karlsson (PIT - D),28,15,2018
22,Sergei Bobrovsky (FLA - G),25,18,2018
23,"Claude Giroux (OTT - LW,C,RW)",19,25,2018
24,"Johnny Gaudreau (CBJ - LW,F)",20,30,2018
25,Connor Hellebuyck (WPG - G),26,24,2018
26,Braden Holtby (DAL - G),37,20,2018
27,"Evgeny Kuznetsov (CAR - C,F)",32,28,2018
28,"Vladimir Tarasenko (FLA - RW,F)",35,27,2018
29,"Anze Kopitar (LA - C,F)",27,38,2018
30,"Artemi Panarin (NYR - LW,F)",23,45,2018
31,"Phil Kessel (VGK - RW,F)",29,39,2018
32,"Patrice Bergeron (BOS - C,F)",48,21,2018
33,Tuukka Rask (BOS - G),36,34,2018
34,"Filip Forsberg (NSH - LW,F)",43,31,2018
35,"Jack Eichel (VGK - C,F)",31,43,2018
36,Jonathan Quick (NYR - G),41,33,2018
37,"Mitchell Marner (TOR - RW,F)",22,53,2018
38,Victor Hedman (TB - D),33,48,2018
39,"Aleksander Barkov Jr. (FLA - C,F)",38,44,2018
40,Martin Jones (TOR - G),54,29,2018
41,Dustin Byfuglien (FA - D),34,50,2018
42,Frederik Andersen (CAR - G),53,32,2018
43,"Leon Draisaitl (EDM - C,LW)",42,47,2018
44,"Jakub Voracek (FA - LW,RW,F)",39,51,2018
45,"Alexander Radulov (DAL - RW,F)",56,37,2018
46,"Mathew Barzal (NYI - C,F)",52,42,2018
47,"Mark Scheifele (WPG - C,F)",30,66,2018
48,Roman Josi (NSH - D),55,41,2018
49,Marc-Andre Fleury (MIN - G),50,54,2018
50,John Gibson (ANA - G),40,72,2018
51,Carey Price (MTL - G),63,49,2018
52,"Joe Pavelski (DAL - C,RW,F)",46,68,2018
53,"Ryan Getzlaf (ANA - C,F)",47,70,2018
54,"Nicklas Backstrom (WSH - C,F)",60,57,2018
55,P.K. Subban (NJ - D),45,74,2018
56,Brock Boeser (VAN - RW),84,36,2018
