RANK,PLAYER,POS.,TEAM,year
1,Nathan MacKinnon,C,COL,2020
2,Connor McDavid,C,EDM,2020
3,Alex Ovechkin,LW,WSH,2020
4,Auston Matthews,C,TOR,2020
5,Brady Tkachuk,LW,OTT,2020
6,Jack Eichel,C,BUF,2020
7,Leon Draisaitl,C/LW,EDM,2020
8,Andrei Svechnikov,LW/RW,CAR,2020
9,Matthew Tkachuk,LW/RW,CGY,2020
10,Patrik Laine,LW/RW,WPG,2020
11,Roman Josi,D,NSH,2020
12,Max Pacioretty,LW,VGK,2020
13,John Carlson,D,WSH,2020
14,Mika Zibanejad,C,NYR,2020
15,Blake Wheeler,C/RW,WPG,2020
16,Steven Stamkos,LW/RW,TB,2020
17,Mitch Marner,RW,TOR,2020
18,Victor Hedman,D,TB,2020
19,J.T. Miller,LW/RW,VAN,2020
20,Elias Pettersson,C,VAN,2020
21,Brent Burns,D,SJ,2020
22,Artemi Panarin,LW,NYR,2020
23,Evander Kane,LW,SJ,2020
24,Mikko Rantanen,RW,COL,2020
25,Dougie Hamilton,D,CAR,2020
26,Taylor Hall,LW,BUF,2020
27,Mark Stone,RW,VGK,2020
28,Andrei Vasilevskiy,G,TB,2020
29,Patrick Kane,RW,CHI,2020
30,Timo Meier,LW/RW,SJ,2020
31,Sidney Crosby,C,PIT,2020
32,Alex Pietrangelo,D,VGK,2020
33,Cale Makar,D,COL,2020
34,Brendan Gallagher,RW,MTL,2020
35,Evgeni Malkin,C,PIT,2020
36,Sebastian Aho,C,CAR,2020
37,John Tavares,C,TOR,2020
38,Brayden Schenn,C/RW,STL,2020
39,Jonathan Huberdeau,LW,FLA,2020
40,Jake Guentzel,LW/RW,PIT,2020
41,Gabriel Landeskog,C/LW,COL,2020
42,Brad Marchand,LW,BOS,2020
43,Neal Pionk,D,WPG,2020
44,Elias Lindholm,CGY,C/RW,2020
45,Tom Wilson,RW,WSH,2020
46,Mark Scheifele,C,WPG,2020
47,Robin Lehner,G,VGK,2020
48,Kris Letang,D,PIT,2020
49,Ryan Pulock,D,NYI,2020
50,Shea Theodore,D,VGK,2020
51,Filip Forsberg,LW,NSH,2020
52,Aleksander Barkov,C,FLA,2020
53,Travis Konecny,RW,PHI,2020
54,Jonathan Marchessault,C/LW,VGK,2020
55,David Pastrnak,RW,BOS,2020
56,Ryan Nugent-Hopkins,C/LW,EDM,2020
57,Jordan Binnington,G,STL,2020
58,Philipp Grubauer,G,COL,2020
59,Kyle Connor,LW,WPG,2020
60,Morgan Rielly,D,TOR,2020
61,Quinn Hughes,D,VAN,2020
62,Seth Jones,D,CLB,2020
63,Carter Hart,G,PHI,2020
64,Anton Khudobin,G,DAL,2020
65,Darcy Kuemper,G,ARI,2020
66,Erik Karlsson,D,SJ,2020
67,Shea Weber,D,MTL,2020
68,Jacob Trouba,D,NYR,2020
69,Patrice Bergeron,C,BOS,2020
70,Jamie Benn,C/LW,DAL,2020
71,Darnell Nurse,D,EDM,2020
72,Ivan Provorov,D,PHI,2020
73,Thomas Chabot,D,OTT,2020
74,Rasmus Dahlin,D,BUF,2020
75,Connor Hellebuyck,G,WPG,2020
76,Frederik Andersen,G,TOR,2020
77,Tuukka Rask,G,BOS,2020
78,Miro Heiskanen,D,DAL,2020
79,Rasmus Ristolainen,D,BUF,2020
80,Teuvo Teravainen,LW/RW,CAR,2020
81,Brayden Point,C,TB,2020
82,Johnny Gaudreau,LW,CGY,2020
83,Bo Horvat,C,VAN,2020
84,Bryan Rust,LW/RW,PIT,2020
85,Carey Price,G,MTL,2020
86,Pavel Francouz,G,COL,2020
87,Charlie McAvoy,D,BOS,2020
88,Chris Kreider,LW,NYR,2020
89,Kevin Fiala,LW/RW,MIN,2020
90,John Klingberg,D,DAL,2020
91,Pierre-Luc Dubois,C,CLB,2020
92,Brock Boeser,RW,VAN,2020
93,Mathew Barzal,C,NYI,2020
94,Dylan Larkin,C,DET,2020
95,Jeff Petry,D,MTL,2020
96,Ilya Samsonov,G,WSH,2020
97,Jacob Markstrom,G,CGY,2020
