Rank,Name,year
1,"Connor McDavid (EDM - C,F)",2021
2,"Leon Draisaitl (EDM - C,LW)",2021
3,Nathan MacKinnon (COL - C),2021
4,Nikita Kucherov (TB - RW),2021
5,Andrei Vasilevskiy (TB - G),2021
6,"Artemi Panarin (NYR - LW,F)",2021
7,"Mikko Rantanen (COL - RW,F)",2021
8,"David Pastrnak (BOS - RW,F)",2021
9,"Patrick Kane (DET - RW,F)",2021
10,"Auston Matthews (TOR - C,F)",2021
11,"Brad Marchand (BOS - LW,F)",2021
12,"Alex Ovechkin (WSH - LW,F)",2021
13,Cale Makar (COL - D),2021
14,"Mitchell Marner (TOR - RW,F)",2021
15,"Jonathan Huberdeau (CGY - LW,F)",2021
16,"Aleksander Barkov Jr. (FLA - C,F)",2021
17,Sebastian Aho (CAR - C),2021
18,"Brayden Point (TB - C,F)",2021
19,Mika Zibanejad (NYR - C),2021
20,Robin Lehner (VGK - G),2021
21,John Carlson (WSH - D),2021
22,Adam Fox (NYR - D),2021
23,Brady Tkachuk (OTT - LW),2021
24,"Andrei Svechnikov (CAR - LW,RW)",2021
25,Kirill Kaprizov (MIN - LW),2021
26,"Alex DeBrincat (DET - LW,RW)",2021
27,"Jake Guentzel (CAR - LW,RW)",2021
28,Darcy Kuemper (LA - G),2021
29,Victor Hedman (TB - D),2021
30,"Steven Stamkos (TB - C,F)",2021
31,Connor Hellebuyck (WPG - G),2021
32,"Max Pacioretty (WSH - LW,F)",2021
33,"Matthew Tkachuk (FLA - LW,F)",2021
34,"Mark Scheifele (WPG - C,F)",2021
35,"Sidney Crosby (PIT - C,F)",2021
36,"John Tavares (TOR - C,F)",2021
37,Igor Shesterkin (NYR - G),2021
38,Elias Pettersson (VAN - C),2021
39,"Mark Stone (VGK - RW,F)",2021
40,Frederik Andersen (CAR - G),2021
41,Quinn Hughes (VAN - D),2021
42,"Patrice Bergeron (BOS - C,F)",2021
43,"Gabriel Landeskog (COL - C,LW)",2021
44,"J.T. Miller (VAN - LW,RW)",2021
45,Aaron Ekblad (FLA - D),2021
46,Alex Pietrangelo (VGK - D),2021
47,"Kyle Connor (WPG - LW,F)",2021
48,Semyon Varlamov (NYI - G),2021
49,Ilya Sorokin (NYI - G),2021
50,Marc-Andre Fleury (MIN - G),2021
51,Morgan Rielly (TOR - D),2021
52,"Mathew Barzal (NYI - C,F)",2021
53,Charlie McAvoy (BOS - D),2021
54,Roope Hintz (DAL - LW),2021
55,"Nikolaj Ehlers (WPG - LW,RW,F)",2021
56,Ryan O'Reilly (NSH - C),2021
57,Cam Talbot (LA - G),2021
58,"Evgeny Kuznetsov (CAR - C,F)",2021
59,Dougie Hamilton (NJ - D),2021
60,Ilya Samsonov (TOR - G),2021
61,Tyson Barrie (NSH - D),2021
62,Spencer Knight (FLA - G),2021
63,"Johnny Gaudreau (CBJ - LW,F)",2021
64,"Ondrej Palat (NJ - LW,F)",2021
65,"Anze Kopitar (LA - C,F)",2021
66,"Jack Eichel (VGK - C,F)",2021
67,Brock Boeser (VAN - RW),2021
68,Roman Josi (NSH - D),2021
69,"Ryan Nugent-Hopkins (EDM - LW,C)",2021
70,Philipp Grubauer (SEA - G),2021
71,Jack Campbell (EDM - G),2021
72,Petr Mrazek (CHI - G),2021
73,Juuse Saros (NSH - G),2021
74,Seth Jones (CHI - D),2021
75,Linus Ullmark (BOS - G),2021
76,Miro Heiskanen (DAL - D),2021
77,"Alexander Radulov (DAL - RW,F)",2021
78,"Sam Reinhart (FLA - C,RW,F)",2021
