Rank,Player,Position,year
1,Connor McDavid,C,2022
2,Leon Draisaitl,"C,LW",2022
3,Auston Matthews,C,2022
4,Nathan MacKinnon,C,2022
5,Cale Makar,D,2022
6,Kirill Kaprizov,LW,2022
7,Nikita Kucherov,RW,2022
8,Mikko Rantanen,"C,RW",2022
9,Andrei Vasilevskiy,G,2022
10,Igor Shesterkin,G,2022
11,Jonathan Huberdeau,LW,2022
12,Alex Ovechkin,LW,2022
13,Aleksander Barkov,C,2022
14,Victor Hedman,D,2022
15,Adam Fox,D,2022
16,Matthew Tkachuk,RW,2022
17,Mitchell Marner,RW,2022
18,Johnny Gaudreau,LW,2022
19,Roman Josi,D,2022
20,Steven Stamkos,"C,LW",2022
21,Sidney Crosby,C,2022
22,J.T. Miller,"C,LW",2022
23,Artemi Panarin,LW,2022
24,Chris Kreider,"LW,RW",2022
25,Mika Zibanejad,C,2022
26,Kyle Connor,LW,2022
27,Sebastian Aho,C,2022
28,David Pastrnak,RW,2022
29,Jake Guentzel,LW,2022
30,Brady Tkachuk,LW,2022
31,Gabriel Landeskog,"C,LW",2022
32,Aaron Ekblad,D,2022
33,Timo Meier,"LW,RW",2022
34,Ilya Sorokin,G,2022
35,Andrei Svechnikov,LW,2022
36,Alex DeBrincat,LW,2022
37,John Carlson,D,2022
38,Jack Eichel,C,2022
39,Patrick Kane,RW,2022
40,Jason Robertson,LW,2022
41,Jacob Markstrom,G,2022
42,Juuse Saros,G,2022
43,Elias Lindholm,C,2022
44,Moritz Seider,D,2022
45,Claude Giroux,"C,RW",2022
46,Jake Oettinger,G,2022
47,Elias Pettersson,"C,LW",2022
48,Quinn Hughes,D,2022
49,Vladimir Tarasenko,RW,2022
50,Evgeny Kuznetsov,C,2022
51,Evgeni Malkin,C,2022
52,Filip Forsberg,LW,2022
53,Morgan Rielly,D,2022
54,Nazem Kadri,C,2022
55,Nikolaj Ehlers,"LW,RW",2022
56,John Tavares,C,2022
57,Kevin Fiala,"LW,RW",2022
58,Frederik Andersen,G,2022
59,Thatcher Demko,G,2022
60,Sam Reinhart,"C,RW",2022
61,William Nylander,"LW,RW",2022
62,Pavel Buchnevich,"LW,RW",2022
63,Josh Norris,C,2022
64,Patrice Bergeron,C,2022
65,Marc-Andre Fleury,G,2022
66,Sergei Bobrovsky,G,2022
67,Darcy Kuemper,G,2022
68,Jack Hughes,C,2022
69,Devon Toews,D,2022
70,Tristan Jarry,G,2022
71,Kris Letang,D,2022
72,Mark Stone,RW,2022
73,Trevor Zegras,C,2022
74,Connor Hellebuyck,G,2022
75,Drew Doughty,D,2022
76,Drake Batherson,RW,2022
77,Evander Kane,LW,2022
78,Matt Duchene,RW,2022
79,Pierre-Luc Dubois,C,2022
80,Anze Kopitar,C,2022
81,Rasmus Dahlin,D,2022
82,Robert Thomas,C,2022
83,MacKenzie Weegar,D,2022
84,Tim Stuetzle,"C,LW",2022
85,Teuvo Teravainen,"LW,RW",2022
86,Shea Theodore,D,2022
87,Alex Pietrangelo,D,2022
88,Jeremy Swayman,G,2022
89,Bryan Rust,RW,2022
90,Mats Zuccarello,RW,2022
91,Joe Pavelski,"C,RW",2022
92,Spencer Knight,G,2022
93,Patrik Laine,"LW,RW",2022
94,Cam Talbot,G,2022
95,Brayden Schenn,"C,LW",2022
96,Noah Dobson,D,2022
97,Mark Scheifele,C,2022
98,Brock Boeser,RW,2022
99,Sam Bennett,C,2022
100,Jordan Kyrou,"LW,RW",2022
101,Zach Werenski,D,2022
102,Bo Horvat,C,2022
103,Dylan Larkin,C,2022
104,Miro Heiskanen,D,2022
105,Torey Krug,D,2022
106,Brayden Point,C,2022
107,Matt Boldy,"LW,RW",2022
108,Dougie Hamilton,D,2022
109,Tage Thompson,C,2022
110,Jesper Bratt,RW,2022
111,Anton Lundell,C,2022
112,Brent Burns,D,2022
113,Jonathan Marchessault,"LW,RW",2022
114,Zach Hyman,"LW,RW",2022
115,Ryan O'Reilly,C,2022
116,Jack Campbell,G,2022
117,Owen Power,D,2022
118,Evan Bouchard,D,2022
119,John Klingberg,D,2022
120,Tomas Hertl,C,2022
121,Darnell Nurse,D,2022
122,Ryan Hartman,C,2022
123,Cole Caufield,"LW,RW",2022
124,Roope Hintz,C,2022
125,Clayton Keller,"LW,RW",2022
126,Troy Terry,RW,2022
127,Ryan Nugent-Hopkins,"C,LW",2022
128,Jonathan Quick,G,2022
129,Lucas Raymond,RW,2022
130,Brock Nelson,C,2022
131,Jacob Trouba,D,2022
132,David Perron,RW,2022
133,Mathew Barzal,C,2022
134,Alexandar Georgiev,G,2022
135,Logan Thompson,G,2022
136,Boone Jenner,C,2022
137,Bowen Byram,D,2022
138,Alex Tuch,RW,2022
139,Thomas Chabot,D,2022
140,Nico Hischier,C,2022
141,Nick Suzuki,C,2022
142,Michael Bunting,LW,2022
143,Vasily Podkolzin,"LW,RW",2022
144,Jakub Vrana,LW,2022
145,Ville Husso,G,2022
146,Anton Forsberg,G,2022
147,Ilya Samsonov,G,2022
148,Seth Jones,D,2022
149,Tony DeAngelo,D,2022
150,Seth Jarvis,"LW,RW",2022
151,Joel Eriksson Ek,C,2022
