,,,,,,,Even Strength,Even Strength,Even Strength,Even Strength,,Power Play,Power Play,Power Play,Power Play,,Short Handed,Short Handed,Short Handed,Short Handed,-additional
Rk,Player,Tm,Pos,Shift,GP,,TOI,CF% Rel,GF/60,GA/60,,TOI,CF% Rel,GF/60,GA/60,,TOI,CF% Rel,GF/60,GA/60,-9999
1,A.J. Greer,CGY,LW,0:28,59,,8:28,-4.1,1.8,2.6,,0:05,-2.7,10.2,0.0,,0:15,-7.1,0.0,7.6,greeraj01
2,Aaron Ekblad,FLA,D,0:35,51,,16:23,-0.1,3.3,1.4,,1:25,1.5,8.2,1.6,,3:02,-4.8,1.2,4.2,ekblaaa01
3,Adam Beckman,MIN,LW,0:38,11,,9:23,-11.2,1.2,2.3,,0:00,,0.0,0.0,,0:00,,,,beckmad01
4,Adam Boqvist,CBJ,D,0:46,35,,16:08,-0.5,2.9,3.6,,2:04,2.9,4.1,0.8,,0:03,-10.8,0.0,0.0,boqviad01
5,Adam Edstrom,NYR,C,0:39,11,,8:23,-9.2,1.9,0.6,,0:00,,0.0,0.0,,0:00,,,,edstrad01
6,Adam Erne,EDM,LW,0:30,24,,7:32,-8.7,2.0,2.0,,0:04,9.1,0.0,0.0,,0:11,-15.9,0.0,0.0,ernead01
7,Adam Fantilli,CBJ,C,0:49,49,,13:25,0.3,2.8,4.6,,2:16,-1.2,2.7,1.1,,0:01,,0.0,0.0,fantiad01
8,Adam Fox,NYR,D,0:43,72,,18:20,5.9,3.1,2.1,,3:32,5.7,12.0,0.9,,1:33,6.0,1.6,5.9,foxad01
9,Adam Gaudette,STL,C,0:34,2,,9:48,7.4,3.1,3.1,,0:00,,,,,0:00,,,,gaudead01
10,Adam Ginning,PHI,D,0:47,9,,13:21,4.2,2.0,2.0,,0:00,,,,,0:47,-12.5,0.0,0.0,ginniad01
11,Adam Henrique,TOT,C,0:50,82,,12:51,2.3,2.7,2.8,,1:52,7.6,9.3,0.4,,2:07,0.9,2.0,7.8,henriad01
12,Adam Klapka,CGY,F,0:44,6,,6:45,-20.8,1.5,3.0,,0:00,,,,,0:00,,,,klapkad01
13,Adam Larsson,SEA,D,0:45,81,,19:50,-0.5,2.4,2.2,,0:11,-2.2,3.8,0.0,,2:54,-8.2,0.8,8.4,larssad01
14,Adam Lowry,WPG,LW,0:28,81,,13:30,1.0,2.5,1.6,,0:28,-0.3,6.2,1.5,,2:06,-0.4,0.7,8.4,lowryad01
15,Adam Pelech,NYI,D,0:33,58,,17:40,0.9,2.5,2.8,,0:04,-86.9,0.0,0.0,,2:31,-2.9,0.8,9.8,pelecad01
16,Adam Raška,MIN,RW,0:59,5,,6:43,5.1,1.8,1.8,,0:00,,,,,0:04,-3.2,0.0,0.0,raskaad01
17,Adam Ružička,TOT,C,0:37,42,,8:30,-17.8,2.4,4.8,,1:30,,0.0,0.0,,0:00,-6.5,,,ruzicad01
18,Adrian Kempe,LAK,LW,0:47,77,,14:08,0.0,3.3,2.4,,3:06,-4.1,9.5,1.5,,1:41,2.2,1.8,3.7,kempead01
19,Akil Thomas,LAK,C,0:35,7,,8:31,-4.5,4.0,4.0,,0:00,,0.0,0.0,,0:12,-10.4,0.0,0.0,thomaak01
20,Akito Hirose,VAN,D,0:39,3,,11:02,2.2,1.8,0.0,,0:49,11.8,0.0,0.0,,0:15,,0.0,0.0,hirosak01
21,Aku Raty,ARI,RW,0:45,1,,11:45,-15.1,5.1,5.1,,0:00,,,,,0:00,,,,ratyak01
22,Alec Martinez,VEG,D,0:41,55,,17:09,-5.3,3.1,3.2,,0:38,-1.4,8.4,1.7,,1:13,0.2,0.9,7.1,martial01
23,Aleksander Barkov,FLA,C,1:00,73,,14:08,3.4,4.2,2.0,,3:30,5.0,9.6,1.4,,1:59,3.0,0.8,5.0,barkoal01
24,Alex Barré-Boulet,TBL,F,0:41,36,,10:18,-1.7,1.9,3.4,,0:53,6.5,7.5,0.0,,0:00,,0.0,0.0,barreal01
25,Alex DeBrincat,DET,RW,0:42,82,,14:57,5.4,3.5,3.1,,2:53,-1.9,8.8,1.8,,0:01,-10.1,0.0,0.0,debrial01
26,Alex Goligoski,MIN,D,0:47,36,,13:54,-0.9,2.3,3.2,,0:49,-5.3,4.0,0.0,,0:04,23.1,0.0,0.0,goligal01
27,Alex Iafallo,WPG,C,0:44,82,,12:15,-1.4,2.6,1.7,,1:42,-2.8,6.4,0.9,,1:20,0.4,0.5,8.2,iafalal01
28,Alex Killorn,ANA,C/LW,0:42,63,,15:08,6.3,2.5,3.3,,2:17,-3.9,5.4,2.1,,1:17,0.8,1.5,8.1,killoal01
29,Alex Laferriere,LAK,RW,0:36,81,,12:31,-3.8,2.0,2.8,,0:37,3.5,7.1,0.0,,0:04,16.3,0.0,20.6,laferal01
30,Alex Newhook,MTL,C,0:46,55,,13:52,-2.1,3.1,3.5,,3:01,-1.7,5.8,2.2,,0:01,,0.0,0.0,newhoal01
31,Alex Ovechkin,WSH,LW,0:51,79,,14:39,2.8,2.8,3.7,,4:33,20.7,7.8,0.8,,0:00,,0.0,0.0,ovechal01
32,Alex Pietrangelo,VEG,D,0:47,64,,18:24,0.4,3.4,4.0,,2:23,-4.0,7.1,0.4,,2:46,0.7,2.4,6.1,pietral01
33,Alex Steeves,TOR,F,0:46,1,,9:20,-2.4,0.0,6.4,,0:54,20.0,0.0,0.0,,0:00,,,,steeval02
34,Alex Tuch,BUF,RW,0:33,75,,15:14,1.4,3.5,2.9,,2:38,5.2,7.6,1.2,,1:37,8.9,1.0,6.4,tuchal01
35,Alex Turcotte,LAK,C,0:35,20,,9:09,2.4,3.0,1.3,,0:07,16.3,0.0,0.0,,0:00,,,,turcoal02
36,Alex Vlasic,CHI,D,0:45,76,,18:25,2.0,2.3,2.5,,0:43,-3.4,6.5,1.1,,2:19,-3.1,0.3,7.5,vlasial01
