Name,year,Position
Aleksander Barkov,2018,C
Alex Chiasson,2018,RW
Alex Killorn,2018,"LW,RW"
Alexander Edler,2018,D
Andrew Shaw,2018,RW
Andy Greene,2018,D
Ben Chiarot,2018,D
Blake Coleman,2018,"LW,RW"
Blake Coleman,2018,"LW,RW"
Blake Coleman,2018,"LW,RW"
Brady Skjei,2018,D
Brady Tkachuk,2018,"C,LW"
Brady Tkachuk,2018,"C,LW"
Brandon Pirri,2018,C
Brandon Tanev,2018,"LW,RW"
Brandon Tanev,2018,"LW,RW"
Brandon Tanev,2018,"LW,RW"
Brayden McNabb,2018,D
Brayden McNabb,2018,D
Brenden Dillon,2018,D
Brent Seabrook,2018,D
Brian Dumoulin,2018,D
Brooks Orpik,2018,D
Bryan Rust,2018,RW
Bryan Rust,2018,RW
Cedric Paquette,2018,C
Chris Wagner,2018,RW
Dion Phaneuf,2018,D
Dylan Strome,2018,C
Erik Gudbranson,2018,D
Erik Gustafsson,2018,D
Erik Gustafsson,2018,D
Henri Jokiharju,2018,D
Ian Cole,2018,D
Jack Johnson,2018,D
Jamie Oleksiak,2018,D
Jason Pominville,2018,"LW,RW"
Jeff Petry,2018,D
Joel Edmundson,2018,D
Kasperi Kapanen,2018,RW
Kasperi Kapanen,2018,RW
Kasperi Kapanen,2018,RW
Kris Russell,2018,D
Kris Russell,2018,D
Lawson Crouse,2018,LW
Leo Komarov,2018,C
Marcus Foligno,2018,LW
Mark Borowiecki,2018,D
Mark Borowiecki,2018,D
Max Comtois,2018,C
Michal Kempny,2018,D
Michal Kempny,2018,D
Nate Schmidt,2018,D
Neal Pionk,2018,D
Neal Pionk,2018,D
Niklas Hjalmarsson,2018,D
Noel Acciari,2018,C
Patrik Nemeth,2018,D
Radko Gudas,2018,D
Radko Gudas,2018,D
Robert Hagg,2018,D
Robert Hagg,2018,D
Ron Hainsey,2018,D
Ryan Reaves,2018,RW
Sam Bennett,2018,C
Sam Bennett,2018,C
Scott Mayfield,2018,D
TJ Brodie,2018,D
Travis Hamonic,2018,D
William Carrier,2018,LW
Zach Aston-Reese,2018,C
Aleksander Barkov,2019,C
Alex Goligoski,2019,D
Anthony Duclair,2019,C
Barclay Goodrow,2019,C
Brendan Lemieux,2019,LW
Brendan Lemieux,2019,LW
Brian Dumoulin,2019,D
Calvin de Haan,2019,D
Carl Gunnarsson,2019,D
Connor Murphy,2019,D
Conor Garland,2019,RW
Damon Severson,2019,D
Deryk Engelland,2019,D
Deryk Engelland,2019,D
Dominik Kubalik,2019,LW
Dominik Kubalik,2019,LW
Ian Cole,2019,D
Ian Cole,2019,D
Ian Cole,2019,D
Ian Cole,2019,D
Jakob Chychrun,2019,D
Jakob Chychrun,2019,D
Jakob Chychrun,2019,D
Jared McCann,2019,"C,LW"
Jared McCann,2019,"C,LW"
Jared McCann,2019,"C,LW"
Joel Edmundson,2019,D
Joonas Donskoi,2019,RW
Mark Borowiecki,2019,D
Michal Kempny,2019,D
Nick Suzuki,2019,C
Nick Suzuki,2019,C
Rasmus Sandin,2019,D
Rasmus Sandin,2019,D
Robert Hagg,2019,D
Robert Hagg,2019,D
Roman Polak,2019,D
Roman Polak,2019,D
Ryan Graves,2019,D
Ryan Graves,2019,D
Ryan Strome,2019,C
Scott Mayfield,2019,D
Tony DeAngelo,2019,D
Tony DeAngelo,2019,D
Tony DeAngelo,2019,D
Tyler Ennis,2019,"LW,RW"
Victor Olofsson,2019,LW
Victor Olofsson,2019,LW
Zach Sanford,2019,LW
Zdeno Chara,2019,D
Aaron Ekblad,2020,D
Adam Fox,2020,D
Adam Larsson,2020,D
Adam Lowry,2020,C
Adrian Kempe,2020,C
Alec Martinez,2020,D
Aleksander Barkov,2020,C
Alex DeBrincat,2020,LW
Alex Goligoski,2020,D
Alex Goligoski,2020,D
Alex Killorn,2020,"LW,RW"
Alex Killorn,2020,"LW,RW"
Alex Killorn,2020,"LW,RW"
Alex Ovechkin,2020,LW
Alex Pietrangelo,2020,D
Alex Tuch,2020,"LW,RW"
Alex Tuch,2020,"LW,RW"
Alex Tuch,2020,"LW,RW"
Alexander Edler,2020,D
Alexander Radulov,2020,D
Alexander Romanov,2020,D
Alexis Lafreniere,2020,LW
Anders Lee,2020,LW
Andre Burakovsky,2020,LW
Andre Burakovsky,2020,LW
Andrei Svechnikov,2020,RW
Andrew Copp,2020,C
Andrew Copp,2020,C
Andrew Copp,2020,C
Anthony Duclair,2020,C
Anthony Mantha,2020,RW
Anze Kopitar,2020,C
Artemi Panarin,2020,LW
Auston Matthews,2020,C
Ben Chiarot,2020,D
Ben Chiarot,2020,D
Blake Coleman,2020,"LW,RW"
Blake Coleman,2020,"LW,RW"
Blake Coleman,2020,"LW,RW"
Blake Wheeler,2020,RW
Blake Wheeler,2020,RW
Bo Horvat,2020,D
Bobby Ryan,2020,"LW,RW"
Brad Marchand,2020,LW
Brady Tkachuk,2020,"C,LW"
Brandon Tanev,2020,"LW,RW"
Brandon Tanev,2020,"LW,RW"
Brayden McNabb,2020,D
Brayden McNabb,2020,D
Brayden McNabb,2020,D
Brayden Point,2020,C
Brayden Schenn,2020,C
Brendan Gallagher,2020,LW
Brendan Lemieux,2020,LW
Brendan Smith,2020,D
Brenden Dillon,2020,D
Brenden Dillon,2020,D
Brenden Dillon,2020,D
Brent Burns,2020,D
Brock Boeser,2020,RW
Brock McGinn,2020,LW
Brock Nelson,2020,C
Bryan Rust,2020,RW
Cal Clutterbuck,2020,D
Cale Makar,2020,D
Calvin de Haan,2020,D
Calvin de Haan,2020,D
Cam Atkinson,2020,RW
Carter Verhaeghe,2020,"C,LW"
Carter Verhaeghe,2020,"C,LW"
Casey Mittelstadt,2020,C
Chandler Stephenson,2020,C
Charlie McAvoy,2020,D
Charlie McAvoy,2020,D
Chris Kreider,2020,LW
Christian Dvorak,2020,LW
Christian Dvorak,2020,LW
Claude Giroux,2020,C
Clayton Keller,2020,"LW,RW"
Clayton Keller,2020,"LW,RW"
Cody Ceci,2020,D
Colton Parayko,2020,D
Colton Parayko,2020,D
Colton Parayko,2020,D
Connor Brown,2020,RW
Connor McDavid,2020,C
Connor Murphy,2020,D
Connor Murphy,2020,D
Conor Garland,2020,RW
Conor Garland,2020,RW
Craig Smith,2020,RW
Danny DeKeyser,2020,D
Darnell Nurse,2020,D
David Krejci,2020,C
David Krejci,2020,C
David Pastrnak,2020,RW
David Perron,2020,"LW,RW"
David Savard,2020,D
Denis Gurianov,2020,RW
Derek Forbort,2020,D
Devon Toews,2020,D
Devon Toews,2020,D
Dmitry Orlov,2020,D
Dominik Kubalik,2020,LW
Dominik Kubalik,2020,LW
Dominik Kubalik,2020,LW
Dougie Hamilton,2020,D
Drake Batherson,2020,RW
Drake Batherson,2020,RW
Drew Doughty,2020,D
Drew Doughty,2020,D
Dustin Brown,2020,"C,RW"
Dustin Brown,2020,"C,RW"
Dustin Brown,2020,"C,RW"
Dylan Larkin,2020,C
Dylan Larkin,2020,C
Dylan Strome,2020,C
Eeli Tolvanen,2020,"LW,RW"
Elias Lindholm,2020,"C,LW,RW"
Elias Pettersson,2020,C
Erik Cernak,2020,D
Erik Cernak,2020,D
Erik Gudbranson,2020,D
Erik Karlsson,2020,D
Esa Lindell,2020,D
Esa Lindell,2020,D
Evander Kane,2020,LW
Evgeni Malkin,2020,C
Evgenii Dadonov,2020,"LW,RW"
Evgeny Kuznetsov,2020,C
Evgeny Kuznetsov,2020,C
Filip Forsberg,2020,"LW,RW"
Filip Hronek,2020,D
Frank Vatrano,2020,"C,LW"
Gabriel Landeskog,2020,"C,LW"
Garnet Hathaway,2020,RW
Garnet Hathaway,2020,RW
Garnet Hathaway,2020,RW
Ivan Provorov,2020,D
J.T. Miller,2020,"C,RW"
Jaccob Slavin,2020,D
Jack Eichel,2020,C
Jack Hughes,2020,C
Jack Hughes,2020,C
Jacob Trouba,2020,D
Jacob Trouba,2020,D
Jacob Trouba,2020,D
Jacob Trouba,2020,D
Jacob Trouba,2020,D
Jaden Schwartz,2020,"C,LW"
Jake DeBrusk,2020,LW
Jake Guentzel,2020,LW
Jake Muzzin,2020,D
Jakob Chychrun,2020,D
Jakob Chychrun,2020,D
Jakub Voracek,2020,RW
Jakub Vrana,2020,LW
Jakub Vrana,2020,LW
James van Riemsdyk,2020,LW
Jamie Benn,2020,"C,LW"
Jamie Benn,2020,"C,LW"
Jamie Drysdale,2020,D
Jamie Oleksiak,2020,D
Jani Hakanpaa,2020,D
Jared McCann,2020,"C,LW"
Jared Spurgeon,2020,D
Jared Spurgeon,2020,D
Jason Robertson,2020,"LW,RW"
Jean-Gabriel Pageau,2020,C
Jeff Carter,2020,"C,RW"
Jeff Carter,2020,"C,RW"
Jeff Petry,2020,D
Jeff Skinner,2020,LW
Joe Pavelski,2020,"C,RW"
Joe Thornton,2020,C
Joel Edmundson,2020,D
Joel Edmundson,2020,D
Joel Eriksson Ek,2020,C
Joel Eriksson Ek,2020,C
Joel Eriksson Ek,2020,C
Joel Farabee,2020,LW
Joel Farabee,2020,LW
John Carlson,2020,D
John Klingberg,2020,D
John Klingberg,2020,D
John Tavares,2020,C
Johnny Gaudreau,2020,LW
Jonas Brodin,2020,D
Jonathan Drouin,2020,LW
Jonathan Huberdeau,2020,LW
