Forwards/Defensemen,,,Offense,,,,,,,,
,Name,,GP*,G,A,+/-,PIM,PPP,SOG,HIT,BLK
?,Leon Draisaitl,?,69,43,65,-7,18,43,213,26,16
?,William Karlsson,?,27,8,13,3,12,3,57,18,21
?,Alex Pietrangelo,?,70,16,36,11,20,22,225,47,89
?,Thomas Chabot,?,68,6,32,-17,42,11,179,76,85
?,Sean Monahan,?,35,9,18,-12,12,10,88,36,11
?,Nazem Kadri,?,38,14,10,2,68,8,102,42,9
?,Matthew Tkachuk,?,69,23,39,-5,74,19,188,122,22
?,Milan Lucic,?,9,0,1,0,26,0,12,27,2
?,Viktor Arvidsson,?,17,4,6,0,2,3,39,9,6
?,Mikko Rantanen,?,37,16,17,2,14,11,95,25,23
?,Matt Dumba,?,51,5,13,-7,29,6,124,77,66
?,Patrick Kane,?,67,32,49,7,40,23,266,21,18
?,Ivan Provorov,?,69,12,23,10,24,15,149,84,111
?,Pierre-Luc Dubois,?,52,10,25,-8,28,7,120,57,41
?,Colton Parayko,?,31,2,5,1,4,0,68,44,59
?,Jakub Voracek,?,50,7,32,13,21,10,96,13,16
?,Cam Atkinson,?,1,0,0,0,0,0,1,0,0
?,Jared McCann,?,1,0,0,-1,0,0,1,0,1
?,Bo Horvat,?,20,8,7,-9,9,4,47,18,19
?,Brady Tkachuk,?,30,7,11,-8,73,4,104,146,20
?,Blake Coleman,?,10,0,1,2,18,0,22,26,7
?,Mikael Backlund,?,1,0,0,-4,0,0,1,0,1
?,Tyler Toffoli,?,9,5,4,3,4,3,34,14,2
,Totals,,831,227,407,-24,538,202,2231,928,645
Goaltenders,,,Offense,Goaltending,,,,,,,
,Name,,GP*,W,GA*,GAA,SV*,SA*,SV%,SHO,
?,Jacob Markstrom,?,32,17,89,2.8,951,1040,0.914,1,
?,Philipp Grubauer,?,28,16,66,2.42,779,845,0.922,2,
?,Henrik Lundqvist,?,2,0,8,5.29,41,49,0.837,0,
?,Antti Raanta,?,1,1,0,0,31,31,1,1,
?,Alexandar Georgiev,?,1,1,0,0,33,33,1,1,
?,Tristan Jarry,?,16,10,41,2.55,421,462,0.911,2,
?,Thatcher Demko,?,2,1,7,3.47,57,64,0.891,0,
?,Joonas Korpisalo,?,3,1,10,3.81,81,91,0.89,0,
?,Alex Stalock,?,4,2,13,3.28,131,144,0.91,0,
,Totals,,89,49,234,2.68,2525,2759,0.915,7,
Legends and Glossaries,,,,,,,,,,,
Legend?,,,,,,,,,,,
Stats?,,,,,,,,,,,
Positions?,,,,,,,,,,,
Advanced Stats Glossary?,,,,,,,,,,,
The Fine Print,,,,,,,,,,,
Projections Powered by Rotowire,,,,,,,,,,,
All game times are shown in MDT.,,,,,,,,,,,
* Non-scoring stats,,,,,,,,,,,
