Forwards/Defensemen,,,Offense,,,,,,,,
,Name,,GP*,G,A,+/-,PIM,PPP,SOG,HIT,BLK
?,Brayden Schenn,?,52,13,19,-2,29,7,108,111,33
?,David Perron,?,48,16,33,5,20,19,133,37,23
?,Mikhail Sergachev,?,54,4,25,6,26,8,103,65,71
?,Ben Chiarot,?,2,0,0,-2,5,0,3,7,2
?,Dylan Larkin,?,13,4,3,-4,11,1,40,14,5
?,Nicklas Backstrom,?,51,15,35,-1,14,20,88,21,25
?,Jonathan Marchessault,?,27,8,13,7,33,2,89,17,6
?,Evander Kane,?,55,22,27,3,40,7,193,94,22
?,Blake Wheeler,?,40,10,23,-17,36,13,87,45,20
?,Andrei Svechnikov,?,51,14,25,0,44,17,134,106,17
?,Charlie McAvoy,?,46,4,23,17,32,7,84,58,72
?,Ryan Ellis,?,21,2,7,-7,6,4,43,8,37
?,Rasmus Ristolainen,?,44,4,10,-15,32,5,64,173,60
?,Jonathan Huberdeau,?,49,20,41,17,30,24,102,48,10
?,Dominik Kubalik,?,25,9,6,-1,6,3,69,29,7
?,Mattias Ekholm,?,16,2,6,6,4,1,35,12,18
?,Nick Leddy,?,15,1,5,-3,4,1,22,19,16
?,Vladimir Tarasenko,?,10,2,5,1,0,3,29,13,7
?,Nick Foligno,?,3,0,2,2,2,0,2,8,2
?,Kasperi Kapanen,?,2,0,1,1,0,0,5,5,0
?,Alex Killorn,?,4,1,2,-2,2,2,8,4,0
?,Blake Coleman,?,8,4,3,3,6,0,27,19,5
?,Travis Hamonic,?,2,0,0,-1,0,0,6,4,2
?,Erik Cernak,?,4,1,2,0,2,0,6,9,3
?,Filip Hronek,?,1,0,0,0,0,0,2,1,1
?,Luke Schenn,?,2,0,0,2,2,0,4,6,0
?,John Klingberg,?,1,0,0,-1,0,0,2,0,0
?,Colton Parayko,?,1,0,0,-2,0,0,2,1,1
,Totals,,647,156,316,12,386,144,1490,934,465
Goaltenders,,,Offense,Goaltending,,,,,,,
,Name,,GP*,W,GA*,GAA,SV*,SA*,SV%,SHO,
?,Jordan Binnington,?,39,16,100,2.61,1032,1132,0.912,0,
?,Tristan Jarry,?,35,22,92,2.78,910,1002,0.908,2,
?,Casey DeSmith,?,4,3,13,3.17,99,112,0.884,0,
?,Mackenzie Blackwood,?,12,4,39,3.36,309,348,0.888,0,
?,Cam Talbot,?,14,9,41,2.9,384,425,0.904,0,
,Totals,,104,54,285,2.82,2734,3019,0.906,2,
Legends and Glossaries,,,,,,,,,,,
Legend?,,,,,,,,,,,
Stats?,,,,,,,,,,,
Positions?,,,,,,,,,,,
Advanced Stats Glossary?,,,,,,,,,,,
The Fine Print,,,,,,,,,,,
Projections Powered by Rotowire,,,,,,,,,,,
All game times are shown in MDT.,,,,,,,,,,,
* Non-scoring stats,,,,,,,,,,,
