Forwards/Defensemen,,,Offense,,,,,,,,
,Name,,GP*,G,A,+/-,PIM,PPP,SOG,HIT,BLK
?,Shea Theodore,?,76,14,37,7,24,11,203,37,93
?,Nick Suzuki,?,21,4,11,-7,2,5,45,17,11
?,Jonathan Toews,?,2,0,0,-1,0,0,3,2,0
?,Artemi Panarin,?,75,22,74,21,18,37,177,22,14
?,Chris Kreider,?,81,52,25,22,24,33,258,141,39
?,Patrick Kane,?,75,26,64,-17,16,30,276,10,25
?,Dominik Kubalik,?,5,2,0,-5,2,1,11,10,3
?,Tyson Barrie,?,52,4,22,-1,10,12,102,21,54
?,Samuel Girard,?,5,0,2,-5,2,0,4,3,8
?,Sebastian Aho,?,78,35,44,18,38,28,214,76,23
?,Alexander Radulov,?,5,0,1,-1,0,0,9,6,6
?,Roman Josi,?,79,22,73,13,44,36,276,66,132
?,Ryan Ellis,?,4,1,4,2,0,2,6,1,6
?,Jaccob Slavin,?,1,0,1,0,0,0,0,0,1
?,Jeff Carter,?,1,0,0,-1,0,0,4,1,0
?,Erik Karlsson,?,9,2,2,2,2,2,21,5,8
?,Mats Zuccarello,?,3,1,1,-1,2,0,7,0,1
?,Nate Schmidt,?,4,0,2,0,0,2,5,2,9
?,Zack Kassian,?,1,0,0,-2,0,0,0,3,0
?,Blake Coleman,?,5,1,0,2,4,0,13,10,3
?,Mason Marchment,?,9,0,2,1,13,0,12,20,2
?,Josh Norris,?,13,3,3,-6,4,3,26,16,10
?,Marco Scandella,?,3,0,0,1,0,0,3,2,3
?,Ivan Provorov,?,14,2,5,-11,8,3,33,8,31
?,Ryan Pulock,?,1,0,0,-2,0,0,2,0,4
?,Tyler Bertuzzi,?,3,0,1,-1,2,0,7,5,3
?,Jamie Oleksiak,?,8,0,3,1,0,0,13,16,11
?,Ryan Hartman,?,33,11,12,11,44,2,93,25,19
?,Roope Hintz,?,62,32,32,19,22,21,163,64,43
?,Mathew Barzal,?,14,4,11,1,4,5,30,9,3
?,Evan Bouchard,?,8,0,3,0,2,0,16,8,11
?,Andre Burakovsky,?,6,0,3,2,4,0,6,3,2
?,Vladislav Gavrikov,?,1,0,0,-4,0,0,0,1,1
?,Sam Reinhart,?,1,1,0,0,0,0,5,0,0
?,Blake Wheeler,?,3,1,4,1,2,2,13,3,1
?,Ryan McDonagh,?,1,0,0,-1,0,0,0,0,0
?,Jonas Brodin,?,1,0,0,2,2,0,2,2,1
?,John Klingberg,?,10,0,3,-8,6,0,15,5,9
?,Elias Pettersson,?,4,0,2,1,0,0,6,0,4
?,Jared Spurgeon,?,17,2,8,10,4,4,26,12,23
?,Clayton Keller,?,1,1,0,-1,2,0,4,1,2
?,Tanner Jeannot,?,44,14,5,-3,92,1,64,191,39
?,Rasmus Andersson,?,3,0,0,-5,2,0,3,5,8
?,Torey Krug,?,27,2,14,10,24,7,49,24,39
?,Tomas Hertl,?,8,2,5,1,6,2,17,12,6
?,Brady Skjei,?,2,0,1,-1,0,0,5,1,3
?,Esa Lindell,?,3,1,1,-3,2,0,10,3,4
?,Luke Schenn,?,15,1,3,8,13,0,19,62,31
?,Mikael Backlund,?,2,0,0,0,0,0,6,3,0
?,Jeff Petry,?,22,3,11,1,12,2,55,36,54
?,Trevor Zegras,?,6,3,1,-7,8,4,20,6,4
?,Jake DeBrusk,?,4,1,0,1,2,0,9,5,2
?,Jakob Chychrun,?,1,0,0,0,0,0,0,0,0
?,Anders Lee,?,5,3,1,0,4,1,7,7,3
?,Dylan Strome,?,1,0,0,0,2,0,1,0,1
?,Valeri Nichushkin,?,3,0,1,-2,0,1,7,3,1
?,Andrew Copp,?,10,5,5,11,8,0,24,7,3
?,Hampus Lindholm,?,5,0,3,2,4,1,10,4,11
?,Erik Cernak,?,9,0,2,-4,2,0,15,26,11
?,Alexander Romanov,?,3,0,0,-1,2,0,4,5,5
?,Brock Nelson,?,3,0,1,-1,0,0,2,0,2
?,Brayden Schenn,?,8,4,3,4,4,3,12,15,3
?,Gustav Forsling,?,7,2,2,6,0,0,18,1,11
?,Robert Thomas,?,9,5,11,10,0,4,19,0,7
?,Mattias Ekholm,?,1,0,0,0,0,0,2,2,0
?,Mark Giordano,?,5,0,2,3,2,1,7,5,13
?,Pat Maroon,?,2,0,1,1,4,0,3,3,2
,Totals,,1003,289,528,93,500,266,2497,1059,882
Goaltenders,,,Offense,Goaltending,,,,,,,
,Name,,GP*,W,GA*,GAA,SV*,SA*,SV%,SHO,
?,Petr Mrazek,?,1,0,3,4.5,23,26,0.885,0,
?,Elvis Merzlikins,?,19,11,56,3.16,565,621,0.91,1,
?,Anton Khudobin,?,1,0,3,3.06,24,27,0.889,0,
?,Spencer Knight,?,8,4,26,3.4,192,218,0.881,0,
?,Semyon Varlamov,?,11,1,29,2.73,295,324,0.91,0,
?,Alex Nedeljkovic,?,2,0,5,3.8,34,39,0.872,0,
?,Ilya Samsonov,?,12,6,38,3.24,299,337,0.887,0,
?,Kaapo Kahkonen,?,7,4,14,2.18,201,215,0.935,0,
?,Tuukka Rask,?,4,2,14,4.28,76,90,0.844,0,
?,Ville Husso,?,24,15,66,2.77,665,731,0.91,0,
?,Mikko Koskinen,?,11,6,35,3.13,315,350,0.9,1,
?,Mike Smith,?,6,3,18,3.44,147,165,0.891,0,
?,Sam Montembeault,?,1,0,7,9.23,16,23,0.696,0,
?,Anton Forsberg,?,3,2,10,3.29,74,84,0.881,0,
?,Erik Kallgren,?,4,2,14,3.52,101,115,0.878,0,
?,Casey DeSmith,?,3,2,9,3.06,93,102,0.912,0,
,Totals,,117,58,347,3.12,3120,3467,0.9,2,
Legends and Glossaries,,,,,,,,,,,
Legend?,,,,,,,,,,,
Stats?,,,,,,,,,,,
Positions?,,,,,,,,,,,
Advanced Stats Glossary?,,,,,,,,,,,
The Fine Print,,,,,,,,,,,
Projections Powered by Rotowire,,,,,,,,,,,
All game times are shown in MDT.,,,,,,,,,,,
* Non-scoring stats,,,,,,,,,,,
