Forwards/Defensemen,,,Offense,,,,,,,,
,Name,,GP*,G,A,+/-,PIM,PPP,SOG,HIT,BLK
?,Matt Duchene,?,67,20,33,5,30,12,159,27,32
?,Mark Borowiecki,?,4,0,0,0,12,0,1,5,1
?,Mika Zibanejad,?,78,39,52,28,20,39,242,66,47
?,Ryan Reaves,?,11,0,0,-5,5,0,3,38,4
?,Elias Pettersson,?,77,39,60,18,14,24,248,68,87
?,Ryan Nugent-Hopkins,?,76,34,64,18,35,48,189,45,24
?,Mitchell Marner,?,77,29,68,18,26,36,190,52,41
?,Quinn Hughes,?,70,7,60,14,34,28,139,29,61
?,Morgan Rielly,?,60,4,31,-12,14,16,115,65,74
?,Luke Schenn,?,64,3,15,7,82,0,73,288,91
?,John Klingberg,?,18,0,7,-12,8,3,24,17,22
?,Jonathan Huberdeau,?,77,14,39,3,36,13,123,62,26
?,Andrew Mangiapane,?,70,14,22,6,34,4,157,78,19
?,Ivan Provorov,?,73,6,19,-16,22,2,109,90,137
?,Jaccob Slavin,?,18,0,3,4,2,0,32,15,33
?,Jared Spurgeon,?,62,7,18,25,12,3,112,58,139
?,Clayton Keller,?,58,29,34,8,39,13,168,11,25
?,Neal Pionk,?,49,3,12,-12,25,1,86,102,75
,Totals,,1009,248,537,97,450,242,2170,1116,938
Goaltenders,,,Offense,Goaltending,,,,,,,
,Name,,GP*,W,GA*,GAA,SV*,SA*,SV%,SHO,
?,Jake Oettinger,?,62,37,144,2.37,1632,1776,0.919,5,
?,Connor Hellebuyck,?,64,37,157,2.49,1807,1964,0.92,4,
,Totals,,126,74,301,2.43,3439,3740,0.92,9,
Legends and Glossaries,,,,,,,,,,,
Legend?,,,,,,,,,,,
Stats?,,,,,,,,,,,
Positions?,,,,,,,,,,,
Advanced Stats Glossary?,,,,,,,,,,,
The Fine Print,,,,,,,,,,,
Projections Powered by Rotowire,,,,,,,,,,,
All game times are shown in MDT.,,,,,,,,,,,
* Non-scoring stats,,,,,,,,,,,
