Forwards/Defensemen,,,Offense,,,,,,,,
,Name,,GP*,G,A,+/-,PIM,PPP,SOG,HIT,BLK
?,Seth JonesCHI - D,?,23,0,9,-2,10,0,52,21,54
,No new player Notes,,,,,,,,,,
?,"Elias PetterssonVAN - C,LW ?",?,79,32,54,19,12,30,197,99,66
,No new player Notes,,,,,,,,,,
?,"Ryan Nugent-HopkinsEDM - C,LW ?",?,75,18,48,12,32,26,175,60,30
,Player Note,,,,,,,,,,
?,"Pierre-Luc DuboisWSH - C,LW",?,32,6,9,-6,20,1,63,22,13
,Player Note,,,,,,,,,,
?,Michael BuntingPIT - LW,?,42,10,19,-16,34,13,73,10,13
,No new player Notes,,,,,,,,,,
?,Mitchell MarnerTOR - RW ?,?,67,26,56,19,18,25,156,52,51
,No new player Notes,,,,,,,,,,
?,Quinn HughesVAN - D ?,?,81,17,74,39,38,37,199,26,54
,No new player Notes,,,,,,,,,,
?,Charlie McAvoyBOS - D,?,70,12,36,3,60,13,124,130,151
,No new player Notes,,,,,,,,,,
?,Josh MorrisseyWPG - D,?,79,10,57,34,44,18,192,82,99
,No new player Notes,,,,,,,,,,
?,"Boone JennerCBJ - C,LW",?,49,14,12,-9,18,6,119,74,57
,No new player Notes,,,,,,,,,,
,O,,,,,,,,,,
?,"Jonathan MarchessaultVGK - LW,RW",?,74,40,25,-1,40,17,242,81,22
,No new player Notes,,,,,,,,,,
?,Shayne GostisbehereDET - D,?,38,5,16,-23,12,11,71,16,37
,No new player Notes,,,,,,,,,,
?,K'Andre MillerNYR - D,?,10,0,3,5,8,0,9,10,16
,No new player Notes,,,,,,,,,,
?,"Mathew BarzalNYI - C,RW",?,70,20,48,-6,28,20,206,41,44
,No new player Notes,,,,,,,,,,
?,Brady SkjeiCAR - D,?,56,10,22,4,30,11,137,43,57
,No new player Notes,,,,,,,,,,
?,Bo HorvatNYI - C,?,49,21,18,-7,29,12,154,24,25
,No new player Notes,,,,,,,,,,
?,Gustav ForslingFLA - D,?,43,5,17,31,8,1,84,64,53
,No new player Notes,,,,,,,,,,
?,"Brandon HagelTB - LW,RW",?,37,13,27,4,38,3,78,27,18
,No new player Notes,,,,,,,,,,
?,"Viktor ArvidssonLA - LW,RW",?,10,5,5,2,8,3,32,3,15
,No new player Notes,,,,,,,,,,
?,"Jared McCannSEA - C,LW",?,25,5,16,-6,8,8,72,11,8
,No new player Notes,,,,,,,,,,
,Totals,,1009,269,571,96,495,255,2435,896,883
Goaltenders,,,Offense,Goaltending,,,,,,,
,Name,,GP*,W,GA*,GAA,SV*,SA*,SV%,SHO,
?,Juuse SarosNSH - G,?,64,35,173,2.86,1672,1845,0.906,3,
,No new player Notes,,,,,,,,,,
?,Jake OettingerDAL - G ?,?,52,34,135,2.7,1283,1418,0.905,3,
,No new player Notes,,,,,,,,,,
?,Scott WedgewoodDAL - G,?,3,1,6,2.48,53,59,0.898,0,
,No new player Notes,,,,,,,,,,
,Totals,,119,70,314,2.78,3008,3322,0.905,6,
Legends and Glossaries,,,,,,,,,,,
Legend?,,,,,,,,,,,
Stats?,,,,,,,,,,,
Positions?,,,,,,,,,,,
Advanced Stats Glossary?,,,,,,,,,,,
The Fine Print,,,,,,,,,,,
Projections Powered by Rotowire,,,,,,,,,,,
All game times are shown in MDT.,,,,,,,,,,,
* Non-scoring stats,,,,,,,,,,,
