Forwards/Defensemen,,,Offense,,,,,,,,
,Name,,GP*,G,A,+/-,PIM,PPP,GWG,HIT,BLK
?,Evgeny Kuznetsov,?,68,19,43,5,48,19,3,42,18
?,Jake Gardiner,?,26,2,12,7,6,3,0,25,26
?,Mathew Barzal,?,65,15,37,-5,32,15,3,20,42
?,Clayton Keller,?,26,5,13,-13,10,9,1,7,6
?,Travis Konecny,?,12,1,3,1,8,0,0,10,4
?,Mikael Granlund,?,35,10,17,-3,10,12,3,7,21
?,Cam Atkinson,?,72,38,26,3,20,13,8,23,25
?,Roman Josi,?,76,15,40,11,42,12,4,51,126
?,Dougie Hamilton,?,74,14,19,-1,48,6,1,139,78
?,Erik Johnson,?,69,6,16,10,33,0,0,105,112
?,Jake Muzzin,?,40,4,12,8,23,1,0,93,70
?,Ryan Johansen,?,35,6,20,6,16,7,2,39,12
?,Jonathan Huberdeau,?,75,23,59,-16,36,32,4,48,43
?,Nikita Kucherov,?,74,37,82,23,56,46,7,41,26
?,Colton Sissons,?,30,5,6,2,10,1,1,43,21
?,Yanni Gourde,?,30,7,6,2,17,2,0,37,13
?,Zach Werenski,?,41,6,20,-5,6,7,1,40,48
,Totals,,848,213,431,35,421,185,38,770,691
Goaltenders,,,Offense,Goaltending,,,,,,,
,Name,,GP*,W,GA*,GAA,SV*,SA*,SV%,SHO,
?,Andrei Vasilevskiy,?,38,28,84,2.19,1145,1229,0.932,6,
?,Philipp Grubauer,?,30,15,68,2.52,792,860,0.921,3,
?,Cory Schneider,?,7,0,25,5.01,135,160,0.844,0,
?,Robin Lehner,?,20,10,40,2.12,526,566,0.929,3,
,Totals,,95,53,217,2.43,2598,2815,0.923,12,
