Forwards/Defensemen,,Offense,,,,,,,,
,Name,GP*,G,A,+/-,PIM,PPP,SOG,HIT,BLK
?,Filip Forsberg,35,14,14,3,18,6,106,59,15
?,Kevin Fiala,63,19,47,2,48,22,192,49,15
?,Mark Stone,41,17,19,10,8,8,107,31,20
?,Mikhail Sergachev,77,8,49,9,53,24,152,123,148
?,Nathan MacKinnon,71,42,69,28,30,34,366,53,40
?,Evander Kane,35,13,10,-3,49,2,134,108,15
?,Teuvo Teravainen,4,0,1,0,2,0,9,1,0
?,Darnell Nurse,79,12,27,23,57,1,196,138,157
?,Hampus Lindholm,73,10,36,40,54,14,140,74,86
?,Jack Hughes,73,38,55,6,6,30,320,12,28
?,Brady Tkachuk,80,35,47,-12,121,29,339,233,9
?,Josh Morrissey,76,15,57,2,41,25,167,84,117
?,Sam Bennett,34,6,9,-9,30,3,104,87,18
?,Mason Marchment,7,2,2,1,2,0,17,9,3
?,Brayden McNabb,28,1,3,-6,6,0,37,74,62
?,Martin Necas,31,9,11,1,16,6,103,19,8
?,Jamie Benn,13,4,9,6,5,4,31,12,7
?,Jake DeBrusk,1,0,0,1,0,0,2,0,0
?,Jeff Petry,14,0,7,0,8,3,21,39,32
?,Arber Xhekaj,1,0,0,0,0,0,0,4,0
?,Joel Eriksson Ek,10,3,2,-1,4,2,28,11,10
?,Matt Roy,2,0,0,0,0,0,4,2,2
?,Claude Giroux,4,1,0,-1,2,0,10,4,1
?,Dylan Cozens,3,1,0,-1,0,0,4,2,0
?,Noah Hanifin,4,0,2,2,5,0,14,3,4
?,Nico Hischier,2,2,0,-1,2,0,4,0,1
?,Pierre-Luc Dubois,15,4,9,6,22,5,51,17,6
?,Evan Rodrigues,3,0,2,2,2,0,4,0,1
?,Mark Scheifele,20,8,6,-12,8,4,35,14,7
?,Eeli Tolvanen,2,0,0,0,0,0,5,1,1
?,Tyler Seguin,5,2,1,1,2,0,13,8,3
?,Alex Tuch,9,5,4,0,4,1,23,6,11
?,Brock Nelson,17,11,6,10,4,5,46,5,5
?,Frank Vatrano,2,1,0,-1,0,0,3,3,3
?,Anthony Beauvillier,1,0,0,-2,0,0,2,1,0
?,Ondrej Palat,3,0,1,0,0,0,6,4,1
?,Max Domi,3,1,2,-1,0,2,16,1,1
?,J.T. Compher,7,1,1,0,2,0,13,3,9
?,Carter Verhaeghe,8,0,5,-7,4,1,23,2,3
?,Anthony Duclair,4,1,0,2,2,0,11,1,3
?,Tyler Bertuzzi,4,0,1,0,2,0,5,2,1
?,Dawson Mercer,7,1,1,-2,0,0,11,3,8
?,Rasmus Sandin,9,0,5,-11,0,2,11,11,11
?,Calle Jarnkrok,9,3,1,1,0,2,15,5,1
?,Denis Malgin,3,0,0,-1,0,0,4,3,2
?,Nick Suzuki,4,1,0,-6,0,0,6,2,3
?,Matt Boldy,8,6,3,1,0,3,21,7,2
?,Andrei Kuzmenko,8,2,4,-1,0,3,9,0,0
,Totals,1012,299,528,79,619,241,2940,1330,880
Goaltenders,,Offense,Goaltending,,,,,,,
,Name,GP*,W,GA*,GAA,SV*,SA*,SV%,SHO,
?,Jack Campbell,10,6,39,4.27,268,307,0.873,0,
?,Thatcher Demko,11,1,44,4.02,305,349,0.874,0,
?,Martin Jones,7,6,30,4.23,162,192,0.844,0,
?,Stuart Skinner,26,15,70,2.79,720,790,0.911,1,
?,Charlie Lindgren,9,7,18,2.13,218,236,0.924,0,
?,Antti Raanta,1,0,3,2.77,15,18,0.833,0,
?,Pavel Francouz,6,3,13,2.14,171,184,0.929,1,
?,Pheonix Copley,10,5,22,2.34,224,246,0.911,0,
?,Filip Gustavsson,12,8,21,1.71,378,399,0.947,2,
?,Pyotr Kochetkov,1,0,5,5,19,24,0.792,0,
,Totals,93,51,265,2.92,2480,2745,0.903,4,
Legends and Glossaries,,,,,,,,,,
Legend?,,,,,,,,,,
Stats?,,,,,,,,,,
Positions?,,,,,,,,,,
Advanced Stats Glossary?,,,,,,,,,,
The Fine Print,,,,,,,,,,
Projections Powered by Rotowire,,,,,,,,,,
All game times are shown in MDT.,,,,,,,,,,
* Non-scoring stats,,,,,,,,,,
