Forwards/Defensemen,,,Offense,,,,,,,,
,Name,,GP*,G,A,+/-,PIM,PPP,SOG,HIT,BLK
?,Mikko Rantanen,?,68,47,39,9,58,32,251,72,37
?,Patrice Bergeron,?,71,26,29,33,18,18,230,61,49
?,William Nylander,?,75,36,42,9,28,24,268,18,23
?,Zach Hyman,?,21,6,17,0,8,6,82,27,7
?,Garnet Hathaway,?,76,12,9,6,58,0,79,242,77
?,Martin Fehervary,?,7,0,1,3,2,0,8,29,8
?,Nazem Kadri,?,75,22,29,-13,44,17,249,98,28
?,Josh Norris,?,2,0,0,-3,2,0,2,1,1
?,Alex DeBrincat,?,65,21,33,-26,31,26,218,79,33
?,Matthew Tkachuk,?,72,37,63,25,82,32,293,56,27
?,Aaron Ekblad,?,65,12,22,-12,60,16,200,72,72
?,Dougie Hamilton,?,82,22,52,23,50,28,275,64,86
?,Noah Hanifin,?,11,1,2,-3,4,1,30,14,8
?,Samuel Girard,?,6,0,1,-6,2,1,6,6,1
?,Anders Lee,?,24,5,9,-1,22,6,71,42,16
?,Connor Clifton,?,15,2,2,6,14,0,22,39,17
?,Radko Gudas,?,65,2,13,12,73,0,99,296,119
?,Nick Jensen,?,7,0,2,-1,2,0,10,10,12
?,Rasmus Sandin,?,24,3,9,3,8,4,34,46,30
?,Erik Cernak,?,14,1,3,6,8,0,13,40,14
?,Jeff Skinner,?,45,20,24,9,15,10,131,8,9
?,Parker Kelly,?,6,0,0,0,4,0,10,26,4
?,Kirby Dach,?,12,4,4,2,11,3,25,12,13
?,Dillon Dube,?,6,1,3,-2,0,1,10,11,1
?,Mike Matheson,?,5,1,3,3,0,1,20,6,8
?,Mikael Granlund,?,1,0,2,0,0,1,2,0,0
?,T.J. Oshie,?,12,4,6,-6,19,1,18,24,4
?,Bowen Byram,?,10,2,2,-4,13,2,13,28,7
?,K'Andre Miller,?,1,0,0,0,2,0,1,1,3
?,Tony DeAngelo,?,6,1,2,-4,4,2,19,3,5
?,Bryan Rust,?,6,2,0,1,4,0,14,2,7
,Totals,,955,290,423,69,646,232,2703,1433,726
Goaltenders,,,Offense,Goaltending,,,,,,,
,Name,,GP*,W,GA*,GAA,SV*,SA*,SV%,SHO,
?,Matt Murray,?,1,0,4,4.05,19,23,0.826,0,
?,Jake Allen,?,9,4,29,3.19,268,297,0.902,0,
?,Sergei Bobrovsky,?,12,4,43,3.84,310,353,0.878,0,
?,Carter Hart,?,12,3,36,3.06,341,377,0.905,0,
?,Karel Vejmelka,?,20,7,69,3.58,612,681,0.899,1,
?,Dan Vladar,?,6,4,18,2.97,156,174,0.897,0,
?,Marc-Andre Fleury,?,21,12,53,2.66,613,666,0.92,1,
?,Filip Gustavsson,?,8,5,17,2.16,207,224,0.924,0,
?,Antti Raanta,?,9,7,13,1.56,192,205,0.937,2,
?,Joonas Korpisalo,?,10,6,20,2.14,231,251,0.92,1,
?,Michael Hutchinson,?,1,1,4,3.96,34,38,0.895,0,
,Totals,,109,53,306,2.92,2983,3289,0.907,5,
Legends and Glossaries,,,,,,,,,,,
Legend?,,,,,,,,,,,
Stats?,,,,,,,,,,,
Positions?,,,,,,,,,,,
Advanced Stats Glossary?,,,,,,,,,,,
The Fine Print,,,,,,,,,,,
Projections Powered by Rotowire,,,,,,,,,,,
All game times are shown in MDT.,,,,,,,,,,,
* Non-scoring stats,,,,,,,,,,,
