Forwards/Defensemen,,,Offense,,,,,,,,
,Name,,GP*,G,A,+/-,PIM,PPP,SOG,HIT,BLK
?,"Chandler StephensonVGK - C,LW",?,11,2,6,-2,0,3,11,5,4
,No new player Notes,,,,,,,,,,
?,Luke SchennNSH - D,?,31,0,5,2,18,0,36,91,40
,No new player Notes,,,,,,,,,,
?,"Adrian KempeLA - C,RW",?,63,24,40,11,62,23,197,72,25
,No new player Notes,,,,,,,,,,
?,"Jake DeBruskBOS - LW,RW",?,6,0,1,1,4,0,12,5,4
,No new player Notes,,,,,,,,,,
?,William NylanderTOR - RW ?,?,76,33,54,-4,24,30,290,28,25
,No new player Notes,,,,,,,,,,
?,Mikko RantanenCOL - RW ?,?,72,40,56,24,44,36,249,36,46
,No new player Notes,,,,,,,,,,
?,"Carter VerhaegheFLA - C,LW",?,73,34,35,18,34,20,232,55,18
,Player Note,,,,,,,,,,
?,Jeff SkinnerBUF - LW,?,33,11,13,-4,8,7,114,8,5
,No new player Notes,,,,,,,,,,
?,"Matthew TkachukFLA - LW,RW ?",?,73,25,60,22,74,31,258,121,24
,Player Note,,,,,,,,,,
?,Dougie HamiltonNJ - D ?,?,20,5,11,-8,20,8,61,11,24
,No new player Notes,,,,,,,,,,
,NA,,,,,,,,,,
?,Luke HughesNJ - D,?,3,0,0,0,2,0,5,0,1
,No new player Notes,,,,,,,,,,
?,Radko GudasANA - D,?,62,6,11,13,120,0,81,184,146
,No new player Notes,,,,,,,,,,
?,Brayden McNabbVGK - D,?,39,2,13,7,18,0,38,51,108
,No new player Notes,,,,,,,,,,
?,Jake WalmanDET - D,?,30,6,6,-1,16,3,50,11,78
,No new player Notes,,,,,,,,,,
?,Bryan RustPIT - RW,?,7,4,1,4,0,0,21,5,7
,No new player Notes,,,,,,,,,,
?,Nico HischierNJ - C,?,53,22,31,-6,6,16,142,27,31
,No new player Notes,,,,,,,,,,
?,"Dylan CozensBUF - C,RW",?,1,0,0,1,0,0,0,0,0
,No new player Notes,,,,,,,,,,
?,"Owen TippettPHI - LW,RW",?,3,1,0,-1,0,0,9,3,1
,No new player Notes,,,,,,,,,,
?,William KarlssonVGK - C,?,26,12,7,1,14,8,72,6,15
,No new player Notes,,,,,,,,,,
?,"Sam LaffertyVAN - C,RW",?,7,0,2,1,0,0,6,10,4
,No new player Notes,,,,,,,,,,
?,Nazem KadriCGY - C,?,56,22,35,5,26,18,191,30,17
,No new player Notes,,,,,,,,,,
?,Ryan O'ReillyNSH - C,?,5,1,0,-4,0,1,16,2,1
,No new player Notes,,,,,,,,,,
?,"Ivan BarbashevVGK - C,LW",?,40,10,14,3,22,2,55,82,20
,No new player Notes,,,,,,,,,,
?,Mattias EkholmEDM - D,?,49,7,24,40,31,0,106,73,59
,Player Note,,,,,,,,,,
?,Jamie DrysdalePHI - D,?,2,0,0,-4,0,0,3,0,8
,No new player Notes,,,,,,,,,,
,O,,,,,,,,,,
?,Nino NiederreiterWPG - RW,?,3,0,2,2,0,1,8,8,1
,No new player Notes,,,,,,,,,,
?,Trevor ZegrasANA - C,?,4,2,0,1,0,0,9,0,1
,No new player Notes,,,,,,,,,,
?,"Cole PerfettiWPG - C,LW",?,1,0,0,0,0,0,0,0,1
,No new player Notes,,,,,,,,,,
?,Noah HanifinVGK - D,?,34,5,14,10,6,5,85,22,53
,No new player Notes,,,,,,,,,,
?,Dylan StromeWSH - C,?,1,0,1,1,0,0,0,0,0
,No new player Notes,,,,,,,,,,
?,"Eeli TolvanenSEA - LW,RW",?,4,1,0,-6,2,0,6,9,3
,No new player Notes,,,,,,,,,,
?,Samuel GirardCOL - D,?,31,0,8,5,6,1,31,36,46
,No new player Notes,,,,,,,,,,
?,"Brayden SchennSTL - C,LW",?,2,1,0,-1,0,0,5,3,1
,No new player Notes,,,,,,,,,,
?,Sean MonahanWPG - C,?,4,0,0,-2,0,0,9,1,2
,No new player Notes,,,,,,,,,,
?,Corey PerryEDM - RW,?,2,0,1,2,0,0,2,1,0
,Player Note,,,,,,,,,,
?,Jake McCabeTOR - D,?,29,4,7,16,22,0,24,101,54
,No new player Notes,,,,,,,,,,
?,"Mason McTavishANA - C,LW",?,2,0,1,0,2,0,2,0,0
,No new player Notes,,,,,,,,,,
,O,,,,,,,,,,
?,"Yegor SharangovichCGY - C,LW,RW",?,19,5,8,-17,2,8,40,3,10
,No new player Notes,,,,,,,,,,
?,Marcus PetterssonPIT - D,?,5,0,2,4,8,0,3,7,9
,No new player Notes,,,,,,,,,,
,Totals,,982,285,469,134,591,221,2479,1107,892
Goaltenders,,,Offense,Goaltending,,,,,,,
,Name,,GP*,W,GA*,GAA,SV*,SA*,SV%,SHO,
