Forwards/Defensemen,,,Offense,,,,,,,,
,Name,,GP*,G,A,+/-,PIM,PPP,SOG,HIT,BLK
?,Ryan McDonagh,?,1,0,0,-3,0,0,2,2,2
?,Leon Draisaitl,?,75,54,51,19,40,38,261,46,25
?,T.J. Oshie,?,24,5,9,-5,14,4,35,40,14
?,Kyle Connor,?,75,42,45,-3,4,26,299,32,22
?,Conor Garland,?,9,1,7,3,4,1,13,8,2
?,Oliver Ekman-Larsson,?,26,2,3,2,28,2,74,37,19
?,Andrei Svechnikov,?,72,27,38,14,71,21,222,175,14
?,Sam Reinhart,?,57,26,42,20,9,27,139,31,22
?,Drew Doughty,?,38,7,23,3,30,13,96,58,51
?,Kirill Kaprizov,?,68,36,54,20,30,27,241,57,24
?,Jared Spurgeon,?,11,1,1,1,2,1,12,5,18
?,Ryan Graves,?,4,0,3,4,2,0,4,7,7
?,Johnny Gaudreau,?,73,34,69,60,24,21,236,9,9
?,Elias Lindholm,?,62,35,29,45,10,16,182,43,39
?,Jason Robertson,?,61,33,33,13,20,18,174,42,20
?,Jordan Staal,?,6,1,1,3,4,0,10,14,3
?,Artem Zub,?,7,0,2,-2,6,0,6,12,14
?,Ryan Pulock,?,1,0,1,-1,0,1,0,3,1
?,Rasmus Andersson,?,30,2,14,16,14,7,56,27,40
?,Gustav Forsling,?,7,0,3,0,6,0,12,4,4
?,Shayne Gostisbehere,?,11,1,4,-1,2,2,25,3,15
?,Adrian Kempe,?,30,14,6,-1,10,6,91,30,9
?,Devon Toews,?,63,11,43,48,20,11,152,52,83
?,Nazem Kadri,?,56,23,46,13,45,22,207,38,16
?,Alex Goligoski,?,4,1,1,5,2,0,4,3,5
?,Tage Thompson,?,6,2,1,-2,0,1,22,4,2
?,Evan Bouchard,?,12,2,2,-4,14,0,29,13,16
?,Connor Murphy,?,3,0,0,-2,4,0,3,9,8
?,Ryan Getzlaf,?,2,0,1,-2,2,1,3,4,1
?,Noah Dobson,?,5,0,0,-1,0,0,21,5,10
?,Tyler Toffoli,?,27,8,10,-5,6,6,81,27,11
?,Dmitry Orlov,?,12,2,2,6,6,1,21,19,16
,Totals,,938,370,544,263,429,273,2733,859,542
Goaltenders,,,Offense,Goaltending,,,,,,,
,Name,,GP*,W,GA*,GAA,SV*,SA*,SV%,SHO,
?,Connor Hellebuyck,?,64,28,186,2.95,1912,2098,0.911,4,
?,Vitek Vanecek,?,34,16,85,2.63,840,925,0.908,3,
?,Linus Ullmark,?,16,10,47,3.02,401,448,0.895,0,
,Totals,,114,54,318,2.86,3153,3471,0.908,7,
Legends and Glossaries,,,,,,,,,,,
Legend?,,,,,,,,,,,
Stats?,,,,,,,,,,,
Positions?,,,,,,,,,,,
Advanced Stats Glossary?,,,,,,,,,,,
The Fine Print,,,,,,,,,,,
Projections Powered by Rotowire,,,,,,,,,,,
All game times are shown in MDT.,,,,,,,,,,,
* Non-scoring stats,,,,,,,,,,,
