Forwards/Defensemen,,,Offense,,,,,,,,
,Name,,GP*,G,A,+/-,PIM,PPP,SOG,HIT,BLK
?,Elias Pettersson,?,26,10,11,1,6,5,63,11,9
?,Brayden Point,?,54,23,23,4,11,14,126,23,16
?,Jake Guentzel,?,53,22,34,12,28,18,132,39,31
?,Brandon Tanev,?,15,3,1,1,7,0,19,67,15
?,Brendan Gallagher,?,34,14,9,7,16,3,101,43,12
?,Nick Suzuki,?,8,2,5,1,8,4,18,13,4
?,Jeff Petry,?,54,12,30,5,20,15,127,95,59
?,Tyson Barrie,?,51,7,35,8,10,20,131,24,48
?,Nikita Zadorov,?,2,0,0,-1,0,0,1,4,2
?,Taylor Hall,?,32,7,14,0,6,5,89,24,11
?,Zach Werenski,?,33,7,12,-8,13,5,75,21,39
?,Evgenii Dadonov,?,2,0,0,1,0,0,3,1,0
?,Brenden Dillon,?,8,0,1,-4,4,0,5,20,8
?,Tyler Toffoli,?,47,25,15,-2,24,8,146,72,10
?,Miro Heiskanen,?,40,4,12,-11,10,6,77,34,39
?,Joe Pavelski,?,49,20,22,21,12,15,121,58,33
?,Tyler Myers,?,1,0,0,1,0,0,3,0,2
?,Samuel Girard,?,2,0,1,1,2,0,2,1,1
?,Radko Gudas,?,42,2,7,3,34,0,66,198,54
?,William Karlsson,?,1,0,0,0,0,0,2,0,0
?,Blake Coleman,?,4,1,0,3,2,0,3,9,0
?,David Krejci,?,1,0,0,0,2,0,0,0,0
?,Clayton Keller,?,5,0,1,-5,0,0,10,1,2
?,Joe Thornton,?,4,1,4,4,0,2,3,0,0
?,Ryan McDonagh,?,13,0,1,4,0,0,20,20,27
?,Marcus Foligno,?,6,1,4,3,7,0,4,13,4
?,Dustin Brown,?,3,2,0,-4,0,2,14,3,0
?,Calvin de Haan,?,1,0,0,0,0,0,1,1,2
?,Yanni Gourde,?,1,0,0,-1,0,0,4,0,1
?,Jacob Trouba,?,2,0,0,-2,0,0,2,4,3
?,Jamie Benn,?,31,6,13,7,10,5,75,46,13
?,Adrian Kempe,?,4,0,0,-4,2,0,6,4,1
?,Mats Zuccarello,?,6,1,5,-1,0,1,14,1,3
?,Brayden McNabb,?,7,0,0,-5,4,0,4,18,14
?,Ryan Reaves,?,3,0,0,2,0,0,3,11,0
?,Tomas Hertl,?,1,1,0,1,0,0,2,2,1
?,Evgeny Kuznetsov,?,9,2,5,0,2,1,16,6,4
?,Andrew Copp,?,3,1,1,1,2,0,5,1,1
?,Phil Kessel,?,9,2,6,-6,2,1,24,2,0
?,Ryan Graves,?,2,0,1,2,0,0,6,4,2
?,Noel Acciari,?,4,0,0,2,0,0,7,8,5
?,Jordan Eberle,?,14,3,5,1,6,1,31,7,5
?,Alex Goligoski,?,4,0,2,0,0,1,7,5,9
?,Garnet Hathaway,?,6,1,1,1,26,0,9,18,3
,Totals,,697,180,281,43,276,132,1577,932,493
Goaltenders,,,Offense,Goaltending,,,,,,,
,Name,,GP*,W,GA*,GAA,SV*,SA*,SV%,SHO,
?,Carey Price,?,23,11,61,2.69,533,594,0.897,1,
?,Connor Hellebuyck,?,40,22,99,2.55,1093,1192,0.917,3,
?,Joonas Korpisalo,?,10,4,34,3.67,261,295,0.885,0,
?,Jonathan Quick,?,1,0,3,3.13,27,30,0.9,0,
?,Brian Elliott,?,2,2,3,1.5,49,52,0.942,1,
?,Kevin Lankinen,?,1,0,3,3.03,18,21,0.857,0,
?,Martin Jones,?,1,0,4,4.05,29,33,0.879,0,
?,Jake Allen,?,1,0,3,3.12,23,26,0.885,0,
,Totals,,79,39,210,2.74,2033,2243,0.906,5,
Legends and Glossaries,,,,,,,,,,,
Legend?,,,,,,,,,,,
Stats?,,,,,,,,,,,
Positions?,,,,,,,,,,,
Advanced Stats Glossary?,,,,,,,,,,,
The Fine Print,,,,,,,,,,,
Projections Powered by Rotowire,,,,,,,,,,,
All game times are shown in MDT.,,,,,,,,,,,
* Non-scoring stats,,,,,,,,,,,
