Forwards/Defensemen,,,Offense,,,,,,,,
,Name,,GP*,G,A,+/-,PIM,PPP,GWG,HIT,BLK
?,Timo Meier,?,71,28,30,13,49,8,2,80,37
?,Joe Pavelski,?,70,37,26,-1,20,20,6,65,58
?,Charlie McAvoy,?,7,1,5,1,10,0,0,9,14
?,Sidney Crosby,?,72,32,58,18,36,26,3,78,40
?,Boone Jenner,?,10,2,0,-1,6,1,0,19,8
?,Chris Kreider,?,66,22,23,10,51,11,2,130,41
?,Kevin Fiala,?,4,0,0,-2,2,0,0,0,2
?,Andrei Svechnikov,?,11,2,2,-1,12,0,2,11,0
?,Vincent Trocheck,?,16,3,10,-2,22,7,0,32,9
?,Ty Rattie,?,3,0,1,2,0,0,0,4,1
?,Victor Hedman,?,67,10,41,23,40,24,4,56,95
?,Adam Larsson,?,39,1,11,-1,22,0,0,120,64
?,Darnell Nurse,?,1,0,0,-3,2,0,0,2,1
?,Ryan Pulock,?,3,0,0,-1,0,0,0,2,5
?,Henri Jokiharju,?,4,0,0,-2,0,0,0,7,3
?,Tyson Barrie,?,66,10,38,-3,30,22,2,45,79
?,Kasperi Kapanen,?,10,2,2,4,6,0,1,16,2
?,Alex Galchenyuk,?,11,3,6,-1,4,5,0,7,5
?,Keith Yandle,?,66,8,42,-16,42,36,2,34,60
?,Mika Zibanejad,?,57,21,31,-7,37,15,4,93,41
?,Torey Krug,?,15,0,11,-7,21,8,0,13,18
?,Ben Chiarot,?,3,0,0,2,2,0,0,5,2
?,Josh Anderson,?,12,6,1,4,6,2,0,25,3
?,Marcus Foligno,?,3,0,0,-1,2,0,0,11,1
?,Alex Tuch,?,45,10,16,1,8,1,4,50,21
?,Shea Weber,?,50,11,17,14,24,5,3,113,96
?,William Carrier,?,15,1,0,-2,2,0,0,77,4
?,David Krejci,?,6,3,1,-6,0,0,0,1,3
?,Tomas Tatar,?,12,2,6,3,4,1,1,9,1
?,Mark Borowiecki,?,8,0,0,0,9,0,0,35,18
?,Jakub Voracek,?,25,9,16,8,13,6,1,3,11
?,Michal Kempny,?,5,0,3,-4,2,0,0,8,12
?,Colin Miller,?,2,0,0,-2,2,0,0,7,2
?,Rickard Rakell,?,8,0,1,-7,4,1,0,14,6
?,Nazem Kadri,?,5,2,1,-2,0,2,1,3,0
?,Sam Bennett,?,11,1,2,-4,10,0,0,17,4
?,Niklas Hjalmarsson,?,1,0,1,2,0,0,0,2,4
?,Mikael Backlund,?,4,1,1,-2,0,0,1,4,0
?,Jonathan Drouin,?,2,0,0,-1,0,0,0,2,0
?,Ryan Getzlaf,?,9,2,6,2,8,2,0,24,8
?,Micheal Ferland,?,1,0,0,0,0,0,0,0,0
?,Jack Johnson,?,3,0,0,2,0,0,0,8,7
?,Evgenii Dadonov,?,1,0,0,-1,0,0,0,1,0
?,Anders Lee,?,4,0,0,1,0,0,0,6,2
?,Chris Wagner,?,2,0,0,2,0,0,0,2,0
?,Lawson Crouse,?,1,0,0,-1,0,0,0,4,2
,Totals,,907,230,409,31,508,203,39,1254,790
Goaltenders,,,Offense,Goaltending,,,,,,,
,Name,,GP*,W,GA*,GAA,SV*,SA*,SV%,SHO,
?,Pekka Rinne,?,49,24,117,2.51,1225,1342,0.913,3,
?,Ben Bishop,?,39,22,75,2.01,1071,1146,0.935,6,
?,Juuse Saros,?,3,1,12,4.04,90,102,0.882,0,
?,Jack Campbell,?,5,2,9,1.82,138,147,0.939,0,
?,Jaroslav Halak,?,2,1,7,3.46,54,61,0.885,0,
?,Casey DeSmith,?,8,5,20,2.48,222,242,0.917,0,
?,Jake Allen,?,2,1,6,3.01,54,60,0.9,0,
?,Mikko Koskinen,?,5,2,12,3.4,93,105,0.886,0,
?,Mackenzie Blackwood,?,4,2,13,3.32,92,105,0.876,0,
?,Anton Khudobin,?,2,1,6,3.04,85,91,0.934,0,
?,Carter Hart,?,1,0,2,2.06,33,35,0.943,0,
,Totals,,120,61,279,2.44,3157,3436,0.919,9,
Legends and Glossaries,,,,,,,,,,,
Legend?,,,,,,,,,,,
Stats?,,,,,,,,,,,
Positions?,,,,,,,,,,,
Advanced Stats Glossary?,,,,,,,,,,,
The Fine Print,,,,,,,,,,,
Projections Powered by Rotowire,,,,,,,,,,,
All game times are shown in MDT.,,,,,,,,,,,
* Non-scoring stats,,,,,,,,,,,
