Forwards/Defensemen,,Offense,,,,,,,,
,Name,GP*,G,A,+/-,PIM,PPP,GWG,HIT,BLK
?,Nicklas Backstrom,72,18,50,8,26,25,4,50,24
?,Ryan Getzlaf,40,7,22,-9,27,5,2,82,41
?,Brad Marchand,74,32,60,18,92,30,8,45,18
?,Rickard Rakell,5,1,2,-3,0,2,0,11,7
?,David Pastrnak,59,33,37,7,24,29,3,48,24
?,Brendan Gallagher,33,11,5,1,20,4,3,47,13
?,Jake Guentzel,6,4,0,-2,0,1,0,7,4
?,Mark Stone,5,1,1,-2,2,0,0,4,1
?,John Klingberg,56,10,31,9,10,18,5,34,69
?,Zach Werenski,29,5,11,-9,8,7,0,20,30
?,Tyson Barrie,3,0,0,1,2,0,0,0,2
?,Max Domi,72,25,39,17,76,10,2,46,33
?,Evgenii Dadonov,14,5,8,-2,0,5,0,3,14
?,Zdeno Chara,4,0,1,1,0,0,0,4,6
?,Alexander Edler,31,5,11,-1,28,7,2,84,91
?,Robert Hagg,3,0,2,2,2,0,0,11,3
?,Anders Lee,18,4,4,-1,14,4,0,26,13
?,Jack Eichel,54,20,36,-5,18,16,2,46,38
?,Brady Skjei,1,0,0,-2,0,0,0,2,2
?,Seth Jones,68,9,33,-5,26,9,4,100,122
?,Thomas Chabot,52,10,28,-8,26,11,1,54,91
?,Jason Pominville,1,1,0,1,0,0,0,1,0
?,Erik Gudbranson,3,1,0,0,10,0,0,5,5
?,Tom Wilson,57,22,16,14,119,5,2,177,50
?,Neal Pionk,12,1,5,5,0,4,0,24,12
?,Max Pacioretty,5,2,3,3,0,1,0,4,1
?,Michal Kempny,27,2,10,12,26,0,1,32,37
?,Torey Krug,40,4,27,3,10,19,1,32,30
?,Matt Niskanen,2,0,0,-2,2,0,0,2,1
?,Brandon Tanev,2,1,0,2,0,0,0,9,0
?,Sam Reinhart,2,0,2,-2,0,0,0,0,0
?,Zach Aston-Reese,2,0,0,0,0,0,0,3,2
?,Brady Tkachuk,1,0,0,-1,2,0,0,0,0
?,Nate Schmidt,1,0,0,0,0,0,0,0,2
?,Sam Bennett,1,0,0,-2,0,0,0,1,0
?,Brandon Pirri,2,1,1,1,0,1,0,2,0
?,Kevin Fiala,3,0,2,0,0,0,0,2,0
?,Nick Foligno,21,5,3,-4,27,2,0,54,15
?,TJ Brodie,1,0,0,-2,0,0,0,0,0
?,Blake Coleman,1,0,0,0,2,0,0,3,2
?,Josh Anderson,2,0,0,-1,2,0,0,6,1
?,Nino Niederreiter,4,3,0,4,2,1,1,2,1
?,Mats Zuccarello,9,3,7,3,2,2,0,15,7
?,Jake Gardiner,1,0,0,-1,4,0,0,0,0
?,Micheal Ferland,11,2,3,3,7,2,0,14,4
?,Noel Acciari,1,0,0,0,0,0,0,3,1
?,Dylan Strome,18,3,11,0,4,3,0,2,14
?,Danton Heinen,4,0,2,2,2,1,0,2,3
?,Justin Williams,9,4,1,1,4,1,1,5,5
?,David Krejci,5,0,3,-2,0,0,0,4,0
?,Kyle Palmieri,1,0,1,0,0,0,0,0,0
?,Jakob Silfverberg,6,3,3,2,2,2,2,2,4
?,Brandon Montour,2,0,2,1,2,0,0,4,2
?,Shayne Gostisbehere,1,0,0,-1,4,0,0,1,3
?,Kris Letang,2,0,2,2,2,1,0,1,5
?,Erik Gustafsson,3,2,0,-1,2,0,0,11,5
,Totals,962,260,485,55,638,228,44,1147,858
Goaltenders,,Offense,Goaltending,,,,,,,
,Name,GP*,W,GA*,GAA,SV*,SA*,SV%,SHO,
?,Connor Hellebuyck,56,32,156,2.85,1646,1802,0.913,2,
?,Semyon Varlamov,47,19,130,2.86,1308,1438,0.91,2,
?,Jaroslav Halak,4,3,12,3.02,131,143,0.916,0,
?,Michael Hutchinson,2,2,2,1,55,57,0.965,1,
,Totals,109,56,300,2.83,3140,3440,0.913,5,
Legends and Glossaries,,,,,,,,,,
Legend?,,,,,,,,,,
Stats?,,,,,,,,,,
Positions?,,,,,,,,,,
Advanced Stats Glossary?,,,,,,,,,,
The Fine Print,,,,,,,,,,
Projections Powered by Rotowire,,,,,,,,,,
All game times are shown in MDT.,,,,,,,,,,
* Non-scoring stats,,,,,,,,,,
