Forwards/Defensemen,,,Offense,,,,,,,,
,Name,,GP*,G,A,+/-,PIM,PPP,SOG,HIT,BLK
?,Brayden Schenn,?,66,23,28,3,42,18,133,109,21
?,Shea Theodore,?,69,13,31,12,23,15,216,20,68
?,Sebastian Aho,?,63,34,26,7,24,16,190,46,17
?,Johnny Gaudreau,?,61,17,35,-9,12,17,192,1,11
?,Nino Niederreiter,?,15,2,5,-6,12,2,29,12,6
?,David Pastrnak,?,66,44,46,17,38,38,258,44,20
?,Patric Hornqvist,?,14,4,5,3,6,2,37,30,12
?,Rasmus Ristolainen,?,69,6,27,-2,46,9,128,203,82
?,Mattias Ekholm,?,58,8,22,7,28,4,129,41,83
?,Mathew Barzal,?,58,16,31,0,42,8,148,19,38
?,Jakub Voracek,?,4,2,1,-3,2,2,13,1,1
?,Ryan Pulock,?,67,10,25,8,14,8,160,108,135
?,Shayne Gostisbehere,?,2,0,0,1,2,0,2,1,1
?,Filip Forsberg,?,57,20,23,-5,27,14,170,74,24
?,Neal Pionk,?,18,0,7,3,4,4,37,37,17
?,Brock Boeser,?,34,10,11,4,12,5,109,18,8
?,David Perron,?,54,18,25,2,34,20,121,47,18
?,Ryan Reaves,?,11,1,1,1,8,0,9,48,3
?,Quinn Hughes,?,31,3,20,-10,14,10,56,3,22
?,Josh Bailey,?,11,3,3,-2,0,0,12,2,6
,Totals,,828,234,372,31,390,192,2149,864,593
Goaltenders,,,Offense,Goaltending,,,,,,,
,Name,,GP*,W,GA*,GAA,SV*,SA*,SV%,SHO,
?,Braden Holtby,?,48,25,142,3.11,1243,1385,0.897,0,
?,Robin Lehner,?,32,16,86,2.8,1030,1116,0.923,1,
?,Joonas Korpisalo,?,11,6,20,1.84,290,310,0.935,1,
?,Mikko Koskinen,?,8,3,20,2.72,250,270,0.926,0,
,Totals,,99,50,268,2.83,2813,3081,0.913,2,
Legends and Glossaries,,,,,,,,,,,
Legend?,,,,,,,,,,,
Stats?,,,,,,,,,,,
Positions?,,,,,,,,,,,
Advanced Stats Glossary?,,,,,,,,,,,
The Fine Print,,,,,,,,,,,
Projections Powered by Rotowire,,,,,,,,,,,
All game times are shown in MDT.,,,,,,,,,,,
* Non-scoring stats,,,,,,,,,,,
