Forwards/Defensemen,,,Offense,,,,,,,,
,Name,,GP*,G,A,+/-,PIM,PPP,GWG,HIT,BLK
?,John Tavares,?,74,41,41,20,30,17,6,50,49
?,Patrice Bergeron,?,33,16,24,7,20,15,1,27,30
?,Patrick Marleau,?,33,8,8,0,10,4,3,27,20
?,David Backes,?,5,0,0,0,2,0,0,8,3
?,John Carlson,?,75,12,53,19,34,31,1,49,157
?,Max Pacioretty,?,18,5,2,-11,10,1,0,35,5
?,Gabriel Landeskog,?,66,33,34,11,45,25,9,114,56
?,Patrick Kane,?,71,38,60,-3,22,28,7,20,16
?,Kris Letang,?,58,14,36,11,34,17,3,104,98
?,Ryan Ellis,?,73,6,29,22,20,5,1,65,140
?,Rasmus Dahlin,?,11,1,1,-2,4,0,1,14,8
?,Ilya Kovalchuk,?,21,5,9,-11,4,6,0,14,8
?,Dion Phaneuf,?,14,0,0,-11,13,0,0,32,24
?,Brayden Point,?,67,34,45,24,22,30,6,27,34
?,Kevin Fiala,?,7,1,4,1,4,1,0,2,1
?,Zach Hyman,?,47,16,9,9,57,0,3,64,24
?,Darnell Nurse,?,27,2,12,-8,40,7,0,69,51
?,Matt Niskanen,?,13,1,5,1,10,1,0,31,31
?,Nikolaj Ehlers,?,35,14,11,7,6,5,3,12,8
?,Jason Zucker,?,10,2,2,-5,4,3,1,7,8
?,Jake Gardiner,?,18,0,9,8,10,1,0,19,21
?,Bryan Rust,?,2,0,2,2,0,0,0,1,0
?,Boone Jenner,?,8,0,3,0,0,0,0,15,7
?,Sam Reinhart,?,1,0,0,-2,0,0,0,2,0
?,Craig Smith,?,3,0,1,3,0,1,0,1,3
?,Josh Anderson,?,22,4,11,1,14,2,1,56,15
?,Brendan Gallagher,?,26,15,9,12,10,2,1,46,7
?,Micheal Ferland,?,2,0,0,-3,7,0,0,6,0
?,Nikita Zadorov,?,24,2,1,2,30,0,0,86,30
?,Kris Russell,?,1,0,0,-1,0,0,0,1,2
?,Charlie Coyle,?,1,0,0,-1,0,0,0,0,1
?,Brandon Tanev,?,2,0,0,-3,0,0,0,7,3
?,Andrei Svechnikov,?,7,4,1,7,2,0,1,10,3
?,Nino Niederreiter,?,2,1,1,2,0,1,0,1,0
?,Morgan Rielly,?,17,5,6,4,8,3,0,16,31
?,Justin Faulk,?,3,0,2,0,0,0,0,9,3
?,Blake Coleman,?,3,1,0,-2,8,0,0,5,4
?,Radko Gudas,?,7,1,3,-2,8,0,0,25,14
?,Dmitry Orlov,?,1,0,0,1,0,0,0,2,1
,Totals,,908,282,434,109,488,206,48,1079,916
Goaltenders,,,Offense,Goaltending,,,,,,,
,Name,,GP*,W,GA*,GAA,SV*,SA*,SV%,SHO,
?,Frederik Andersen,?,54,34,142,2.71,1600,1742,0.918,1,
?,Cam Talbot,?,14,5,44,3.31,350,394,0.888,0,
?,Jaroslav Halak,?,6,1,21,3.83,171,192,0.891,0,
?,David Rittich,?,5,2,12,2.43,136,148,0.919,0,
?,Matt Murray,?,30,19,72,2.44,906,978,0.926,3,
?,Casey DeSmith,?,4,1,13,3.29,109,122,0.893,0,
?,Mike Smith,?,4,2,8,2.04,93,101,0.921,0,
,Totals,,117,64,312,2.75,3365,3677,0.915,4,
Legends and Glossaries,,,,,,,,,,,
Legend?,,,,,,,,,,,
Stats?,,,,,,,,,,,
Positions?,,,,,,,,,,,
Advanced Stats Glossary?,,,,,,,,,,,
The Fine Print,,,,,,,,,,,
Projections Powered by Rotowire,,,,,,,,,,,
All game times are shown in MDT.,,,,,,,,,,,
* Non-scoring stats,,,,,,,,,,,
