Forwards/Defensemen,,,Offense,,,,,,,,
,Name,,GP*,G,A,+/-,PIM,PPP,GWG,HIT,BLK
?,Bo Horvat,?,66,21,26,-6,18,14,1,49,54
?,Johnny Gaudreau,?,65,26,52,15,20,24,6,7,7
?,Sean Couturier,?,58,20,34,-4,22,12,3,31,47
?,James van Riemsdyk,?,45,19,12,-9,12,8,4,22,12
?,Anthony Mantha,?,10,1,2,-12,6,2,0,13,2
?,Patrik Laine,?,73,26,19,-20,36,22,2,60,42
?,Alexander Radulov,?,48,20,27,17,40,14,5,45,60
?,P.K. Subban,?,57,7,18,-3,54,8,1,51,65
?,Alex Pietrangelo,?,64,13,22,3,22,12,2,56,121
?,Tyler Myers,?,73,9,18,13,59,6,3,86,94
?,Leon Draisaitl,?,59,35,37,7,48,20,3,41,18
?,Aaron Ekblad,?,75,13,22,-2,41,10,1,107,76
?,Jordan Eberle,?,17,6,3,-8,8,3,3,8,9
?,Aleksander Barkov,?,58,27,46,4,4,26,4,23,40
?,Zach Hyman,?,2,0,0,-2,2,0,0,3,1
?,Zach Parise,?,56,18,19,-17,20,12,2,43,48
?,Ryan Nugent-Hopkins,?,39,10,16,-12,20,9,0,31,18
,Totals,,865,271,373,-36,432,202,40,676,714
Goaltenders,,,Offense,Goaltending,,,,,,,
,Name,,GP*,W,GA*,GAA,SV*,SA*,SV%,SHO,
?,Devan Dubnyk,?,63,29,157,2.6,1610,1767,0.911,2,
?,Antti Raanta,?,9,5,19,2.1,247,266,0.929,0,
?,Jacob Markstrom,?,43,20,109,2.56,1235,1344,0.919,1,
,Totals,,115,54,285,2.54,3092,3377,0.916,3,
Legends and Glossaries,,,,,,,,,,,
Legend?,,,,,,,,,,,
Stats?,,,,,,,,,,,
Positions?,,,,,,,,,,,
Advanced Stats Glossary?,,,,,,,,,,,
The Fine Print,,,,,,,,,,,
Projections Powered by Rotowire,,,,,,,,,,,
All game times are shown in MDT.,,,,,,,,,,,
* Non-scoring stats,,,,,,,,,,,
