Forwards/Defensemen,,,Offense,,,,,,,,
,Name,,GP*,G,A,+/-,PIM,PPP,GWG,HIT,BLK
?,Logan Couture,?,69,23,36,-2,18,15,3,50,46
?,Mitchell Marner,?,74,25,62,23,22,19,5,26,34
?,Sebastian Aho,?,75,30,50,25,24,22,7,58,33
?,Vladimir Tarasenko,?,55,27,21,5,22,15,5,57,33
?,Teuvo Teravainen,?,74,19,49,27,12,19,1,28,23
?,Kevin Shattenkirk,?,29,1,7,-1,0,2,0,29,45
?,Duncan Keith,?,75,6,31,12,66,3,1,40,133
?,Esa Lindell,?,75,9,20,11,31,6,1,142,140
?,Tyler Toffoli,?,44,8,7,-6,6,2,2,23,11
?,Connor McDavid,?,70,37,68,6,18,31,8,38,25
?,Steven Stamkos,?,75,39,50,1,33,40,6,67,34
?,Alex Killorn,?,54,8,15,13,35,3,0,60,14
?,Ryan McDonagh,?,76,9,31,39,34,3,1,90,147
?,William Nylander,?,28,2,14,1,16,4,0,10,7
?,Matt Niskanen,?,42,4,6,1,23,0,0,81,71
,Totals,,915,247,467,155,360,184,40,799,796
Goaltenders,,,Offense,Goaltending,,,,,,,
,Name,,GP*,W,GA*,GAA,SV*,SA*,SV%,SHO,
?,Marc-Andre Fleury,?,59,35,144,2.46,1529,1673,0.914,8,
?,Cam Ward,?,4,2,18,4.34,130,148,0.878,0,
?,Corey Crawford,?,22,6,68,3.29,624,692,0.902,1,
?,Jake Allen,?,19,8,44,2.39,467,511,0.914,2,
,Totals,,104,51,274,2.69,2750,3024,0.909,11,
Legends and Glossaries,,,,,,,,,,,
Legend?,,,,,,,,,,,
Stats?,,,,,,,,,,,
Positions?,,,,,,,,,,,
Advanced Stats Glossary?,,,,,,,,,,,
The Fine Print,,,,,,,,,,,
Projections Powered by Rotowire,,,,,,,,,,,
All game times are shown in MDT.,,,,,,,,,,,
* Non-scoring stats,,,,,,,,,,,
