Forwards/Defensemen,,,Offense,,,,,,,,
,Name,,GP*,G,A,+/-,PIM,PPP,SOG,HIT,BLK
?,Max Pacioretty,?,28,15,13,8,25,9,101,22,13
?,Alex Killorn,?,71,21,32,3,54,12,144,79,19
?,Vince Dunn,?,69,7,26,-16,61,11,118,70,77
?,Evgeny Kuznetsov,?,64,23,43,12,28,24,162,31,20
?,Tom Wilson,?,72,21,26,10,89,10,143,218,45
?,Brendan Gallagher,?,37,5,12,-4,50,5,89,34,21
?,John Carlson,?,78,17,54,13,20,25,195,73,112
?,Rasmus Sandin,?,30,0,9,5,2,2,24,52,20
?,Anders Lee,?,10,4,0,-3,6,0,27,14,1
?,Miro Heiskanen,?,68,5,30,1,24,11,154,52,90
?,Yegor Sharangovich,?,6,0,2,0,0,1,9,3,3
?,Patrice Bergeron,?,63,19,37,31,28,17,255,66,39
?,Auston Matthews,?,67,51,42,19,16,24,309,64,59
?,David Perron,?,62,22,28,6,48,24,159,78,10
?,Kevin Labanc,?,7,1,2,0,2,1,9,7,2
?,Alexander Radulov,?,14,0,5,-7,6,3,17,11,13
?,Rasmus Asplund,?,2,0,0,0,0,0,1,1,0
?,Jordan Eberle,?,54,10,15,-20,10,6,105,24,22
?,Mats Zuccarello,?,46,17,39,4,20,22,109,25,18
?,Erik Johnson,?,54,5,10,10,20,1,93,117,97
?,Trevor Moore,?,5,0,3,2,0,0,13,2,2
?,Tage Thompson,?,39,25,14,-14,24,10,130,34,14
,Totals,,946,268,442,60,533,218,2366,1077,697
Goaltenders,,,Offense,Goaltending,,,,,,,
,Name,,GP*,W,GA*,GAA,SV*,SA*,SV%,SHO,
?,Jack Campbell,?,47,29,118,2.65,1246,1364,0.913,5,
?,Sergei Bobrovsky,?,54,39,137,2.67,1428,1565,0.912,3,
?,Ilya Samsonov,?,3,2,7,2.8,42,49,0.857,0,
,Totals,,104,70,262,2.66,2716,2978,0.912,8,
Legends and Glossaries,,,,,,,,,,,
Legend?,,,,,,,,,,,
Stats?,,,,,,,,,,,
Positions?,,,,,,,,,,,
Advanced Stats Glossary?,,,,,,,,,,,
The Fine Print,,,,,,,,,,,
Projections Powered by Rotowire,,,,,,,,,,,
All game times are shown in MDT.,,,,,,,,,,,
* Non-scoring stats,,,,,,,,,,,
