Forwards/Defensemen,,,Offense,,,,,,,,
,Name,,GP*,G,A,+/-,PIM,PPP,SOG,HIT,BLK
?,Evgeni Malkin,?,29,8,16,-2,22,7,64,17,12
?,Alex DeBrincat,?,50,29,23,4,12,17,149,64,22
?,Blake Coleman,?,1,0,0,-1,0,0,2,0,1
?,Victor Hedman,?,54,9,36,4,28,24,138,51,73
?,Quinn Hughes,?,49,3,33,-24,22,17,88,16,39
?,Devon Toews,?,18,4,6,5,4,3,34,9,38
?,Max Domi,?,4,0,1,-5,2,0,4,2,1
?,Artemi Panarin,?,42,17,41,14,6,18,106,13,7
?,Max Pacioretty,?,47,23,27,18,14,12,169,33,29
?,Reilly Smith,?,9,2,2,5,0,0,19,10,4
?,Tony DeAngelo,?,6,0,1,-6,4,1,13,3,6
?,Neal Pionk,?,49,3,26,3,18,10,89,124,68
?,Joel Farabee,?,3,0,0,-1,0,0,6,1,1
?,Kirill Kaprizov,?,4,1,2,2,2,0,7,4,0
?,Aleksander Barkov,?,49,26,31,11,14,19,173,30,38
?,Jack Hughes,?,5,1,1,1,0,1,9,3,2
?,Oliver Bjorkstrand,?,48,14,22,-12,4,5,117,36,28
?,Jordan Kyrou,?,9,3,4,0,0,1,16,1,1
?,Jani Hakanpaa,?,40,2,2,1,27,0,41,161,52
?,Ryan Reaves,?,8,0,0,-2,11,0,10,30,4
?,Ryan McDonagh,?,1,0,0,0,2,0,2,1,3
?,Jakob Chychrun,?,42,14,14,-7,30,9,138,40,66
?,Teuvo Teravainen,?,3,0,2,1,2,1,9,1,0
?,Martin Necas,?,26,9,11,14,4,3,51,22,13
?,Max Comtois,?,8,1,5,5,4,0,16,14,9
?,Jeff Carter,?,2,0,0,-3,0,0,6,1,1
?,Dylan Larkin,?,4,0,3,-2,2,1,11,1,0
?,Scott Mayfield,?,2,0,0,1,2,0,1,3,3
?,Jonas Brodin,?,7,0,2,-2,4,1,7,3,11
?,Carter Verhaeghe,?,13,6,7,10,4,2,39,9,2
?,Brenden Dillon,?,10,1,4,1,7,0,8,20,10
?,Adam Lowry,?,1,0,0,-1,0,0,0,1,0
?,Brendan Lemieux,?,2,0,1,0,0,0,0,3,1
?,Brendan Smith,?,2,0,0,1,0,0,1,8,3
?,Blake Wheeler,?,2,1,1,-2,6,0,7,5,4
?,Andre Burakovsky,?,2,0,0,-2,0,0,3,0,1
,Totals,,651,177,324,29,257,152,1553,740,553
Goaltenders,,,Offense,Goaltending,,,,,,,
,Name,,GP*,W,GA*,GAA,SV*,SA*,SV%,SHO,
?,Mikko Koskinen,?,2,1,7,3.55,68,75,0.907,0,
?,Igor Shesterkin,?,33,14,77,2.6,833,910,0.915,2,
?,Mackenzie Blackwood,?,2,2,4,1.92,74,78,0.949,0,
?,Kaapo Kahkonen,?,10,6,33,3.3,284,317,0.896,2,
?,James Reimer,?,7,4,24,3.47,190,214,0.888,0,
?,Alexandar Georgiev,?,1,1,3,3,24,27,0.889,0,
?,Thatcher Demko,?,8,5,21,2.57,262,283,0.926,0,
?,Jack Campbell,?,16,12,36,2.33,376,412,0.913,0,
?,Martin Jones,?,4,0,14,3.77,89,103,0.864,0,
?,Jeremy Swayman,?,3,2,4,1.35,74,78,0.949,0,
,Totals,,86,47,223,2.72,2274,2497,0.911,4,
Legends and Glossaries,,,,,,,,,,,
Legend?,,,,,,,,,,,
Stats?,,,,,,,,,,,
Positions?,,,,,,,,,,,
Advanced Stats Glossary?,,,,,,,,,,,
The Fine Print,,,,,,,,,,,
Projections Powered by Rotowire,,,,,,,,,,,
All game times are shown in MDT.,,,,,,,,,,,
* Non-scoring stats,,,,,,,,,,,
