Forwards/Defensemen,,,Offense,,,,,,,,
,Name,,GP*,G,A,+/-,PIM,PPP,SOG,HIT,BLK
?,Roman JosiNSH - D ?,?,82,23,62,12,45,33,268,39,151
,No new player Notes,,,,,,,,,,
?,Sebastian AhoCAR - C ?,?,76,35,50,34,34,29,214,44,18
,No new player Notes,,,,,,,,,,
?,"Martin NecasCAR - C,RW",?,16,5,7,-10,6,4,38,14,6
,No new player Notes,,,,,,,,,,
?,Brad MarchandBOS - LW ?,?,82,29,38,4,78,26,208,103,35
,No new player Notes,,,,,,,,,,
?,Kevin FialaLA - LW,?,74,26,39,4,58,24,191,43,25
,No new player Notes,,,,,,,,,,
?,"J.T. MillerVAN - C,RW ?",?,81,37,66,32,58,40,192,190,61
,No new player Notes,,,,,,,,,,
?,"Valeri NichushkinCOL - LW,RW",?,1,0,0,-1,2,0,2,1,0
,No new player Notes,,,,,,,,,,
,IR-NR,,,,,,,,,,
?,Darnell NurseEDM - D,?,8,1,1,-1,6,0,18,16,18
,Player Note,,,,,,,,,,
?,Jakob ChychrunOTT - D,?,31,7,15,-9,14,8,78,17,54
,No new player Notes,,,,,,,,,,
?,Nico HischierNJ - C,?,3,0,0,1,2,0,4,4,1
,No new player Notes,,,,,,,,,,
?,Mats ZuccarelloMIN - RW,?,33,6,20,-3,12,10,82,11,19
,No new player Notes,,,,,,,,,,
?,"Patrik LaineCBJ - C,LW,RW",?,6,1,0,-5,0,0,15,1,7
,No new player Notes,,,,,,,,,,
,O,,,,,,,,,,
?,Logan CooleyARI - C,?,4,0,3,0,2,3,3,1,4
,No new player Notes,,,,,,,,,,
?,Rasmus SandinWSH - D,?,2,0,0,-1,2,0,1,1,3
,No new player Notes,,,,,,,,,,
?,Morgan RiellyTOR - D,?,69,7,48,5,27,19,167,77,132
,No new player Notes,,,,,,,,,,
?,Ryan JohansenPHI - C,?,2,0,0,-1,2,0,8,3,0
,No new player Notes,,,,,,,,,,
,NA,,,,,,,,,,
?,"Ryan StromeANA - LW,RW",?,3,0,1,1,0,0,4,2,0
,No new player Notes,,,,,,,,,,
?,Filip HronekVAN - D,?,66,5,34,23,28,10,122,70,66
,Player Note,,,,,,,,,,
?,"Eeli TolvanenSEA - LW,RW",?,21,5,7,-2,4,3,48,35,23
,No new player Notes,,,,,,,,,,
?,Mike MathesonMTL - D,?,68,8,43,-19,48,20,145,35,153
,No new player Notes,,,,,,,,,,
?,Mark ScheifeleWPG - C,?,56,19,29,19,40,11,115,46,32
,No new player Notes,,,,,,,,,,
?,"Pavel BuchnevichSTL - C,LW",?,8,4,4,-3,8,2,21,1,1
,No new player Notes,,,,,,,,,,
?,"Tanner JeannotTB - LW,RW",?,4,2,0,-2,5,1,3,15,2
,No new player Notes,,,,,,,,,,
?,Patrick KaneDET - RW,?,34,14,15,1,6,6,96,11,10
,No new player Notes,,,,,,,,,,
?,"Travis KonecnyPHI - LW,RW",?,46,16,27,-10,33,6,157,64,19
,No new player Notes,,,,,,,,,,
