Forwards/Defensemen,,,Offense,,,,,,,,
,Name,,GP*,G,A,+/-,PIM,PPP,GWG,HIT,BLK
?,Auston Matthews,?,42,22,22,-5,4,11,3,10,34
?,Joe Thornton,?,2,0,1,1,2,0,0,1,0
?,Matthew Tkachuk,?,71,30,38,12,60,22,2,91,13
?,Claude Giroux,?,73,19,56,10,24,21,4,28,17
?,Jack Eichel,?,8,3,5,-2,2,3,0,8,5
?,Nikolaj Ehlers,?,13,1,3,-7,7,1,0,10,4
?,Jason Zucker,?,1,0,0,-1,0,0,0,0,0
?,Patric Hornqvist,?,6,0,1,-1,0,0,0,10,1
?,Ryan Reaves,?,67,9,10,2,57,3,2,260,22
?,Josh Morrissey,?,7,0,5,1,0,2,0,8,18
?,Drew Doughty,?,74,5,36,-31,40,22,0,155,104
?,Mikhail Sergachev,?,25,0,8,2,6,4,0,30,35
?,Micheal Ferland,?,22,10,3,2,11,6,3,76,7
?,Brooks Orpik,?,8,0,0,0,2,0,0,24,7
?,Yanni Gourde,?,29,8,13,0,13,5,4,32,9
?,Brock Boeser,?,45,17,24,4,8,11,0,8,14
?,Robert Hagg,?,68,3,10,-1,51,0,0,209,134
?,Leo Komarov,?,1,0,0,-1,0,0,0,2,1
?,Jonathan Drouin,?,19,6,10,0,6,2,1,7,5
?,Travis Hamonic,?,3,0,0,-1,0,0,0,3,4
?,Matt Duchene,?,38,14,17,-6,4,5,0,21,19
?,Jacob Trouba,?,62,5,31,9,44,16,0,79,139
?,Ian Cole,?,39,1,5,-3,64,0,0,69,93
?,Jake Guentzel,?,52,29,23,9,18,8,4,63,27
?,Alexander Kerfoot,?,4,0,4,3,2,1,0,1,1
?,Ron Hainsey,?,1,0,0,-1,5,0,0,1,0
?,Gustav Nyquist,?,5,1,2,4,0,1,0,2,1
?,Evgenii Dadonov,?,24,4,8,-6,0,2,1,10,17
?,Andrew Shaw,?,24,5,9,4,31,1,1,53,12
?,Alex Chiasson,?,2,0,0,-1,0,0,0,2,0
?,Kasperi Kapanen,?,5,1,2,-1,0,1,0,10,1
?,Bryan Rust,?,14,6,4,8,4,0,2,23,11
?,Jordan Eberle,?,22,5,3,-1,0,3,1,7,12
?,Colton Parayko,?,20,1,6,3,9,4,0,29,45
?,Jake DeBrusk,?,8,5,2,4,2,2,0,5,4
?,Jonathan Toews,?,12,4,7,-3,4,2,0,9,7
,Totals,,916,214,368,6,480,159,28,1356,823
Goaltenders,,,Offense,Goaltending,,,,,,,
,Name,,GP*,W,GA*,GAA,SV*,SA*,SV%,SHO,
?,Braden Holtby,?,54,27,153,2.94,1504,1657,0.908,3,
?,Jake Allen,?,3,0,13,4.29,65,78,0.833,0,
?,Carter Hutton,?,30,14,79,2.77,828,907,0.913,0,
?,Keith Kinkaid,?,4,1,16,4.21,114,130,0.877,0,
?,Pheonix Copley,?,2,1,6,4.39,42,48,0.875,0,
?,Linus Ullmark,?,1,0,6,6,35,41,0.854,0,
?,Carter Hart,?,7,4,18,3.38,177,195,0.908,0,
?,Cam Ward,?,1,0,4,4.17,29,33,0.879,0,
?,John Gibson,?,7,5,20,2.86,216,236,0.915,0,
,Totals,,109,52,315,3.05,3010,3325,0.905,3,
Legends and Glossaries,,,,,,,,,,,
Legend?,,,,,,,,,,,
Stats?,,,,,,,,,,,
Positions?,,,,,,,,,,,
Advanced Stats Glossary?,,,,,,,,,,,
The Fine Print,,,,,,,,,,,
Projections Powered by Rotowire,,,,,,,,,,,
All game times are shown in MDT.,,,,,,,,,,,
* Non-scoring stats,,,,,,,,,,,
