Forwards/Defensemen,,,Offense,,,,,,,,
,Name,,GP*,G,A,+/-,PIM,PPP,SOG,HIT,BLK
?,Jonathan Marchessault,?,13,2,6,-2,4,3,48,22,1
?,Max Pacioretty,?,68,30,33,17,44,18,295,87,34
?,Mitchell Marner,?,54,16,51,7,16,24,148,21,31
?,Adam Larsson,?,21,0,2,-12,17,0,22,30,42
?,Nathan MacKinnon,?,69,35,58,14,12,31,318,51,31
?,Matt Duchene,?,54,11,26,0,24,9,105,38,17
?,Tomas Tatar,?,57,20,33,4,36,11,138,58,19
?,Jake DeBrusk,?,8,0,2,2,0,0,13,2,2
?,Joe Pavelski,?,32,7,9,4,14,5,63,27,25
?,Dougie Hamilton,?,47,14,26,30,32,12,170,52,63
?,Jacob Trouba,?,70,7,20,-12,61,8,168,173,128
?,Wayne Simmonds,?,31,4,8,-9,26,4,71,72,13
?,Robert Hagg,?,1,0,1,1,0,0,1,0,3
?,Jake Gardiner,?,11,1,2,-2,2,0,11,10,13
?,Colin Miller,?,15,0,3,-4,2,2,25,27,12
?,Jonathan Drouin,?,8,2,3,0,0,2,18,13,3
?,Tony DeAngelo,?,11,2,5,2,11,4,21,3,9
?,Travis Konecny,?,47,18,25,0,16,15,104,45,22
?,Scott Mayfield,?,2,0,0,0,0,0,4,3,6
?,Bryan Rust,?,44,19,23,6,28,16,120,59,29
?,Conor Garland,?,6,0,1,0,0,0,19,4,2
?,Filip Hronek,?,6,1,0,-7,8,0,11,10,6
?,Joel Armia,?,6,2,2,2,0,1,16,14,3
?,Jakob Chychrun,?,8,3,1,0,4,2,13,6,10
?,Jaden Schwartz,?,23,8,9,10,10,4,49,28,4
?,Ian Cole,?,9,1,3,2,4,0,9,12,12
?,Connor Murphy,?,28,1,7,3,23,0,60,59,70
?,Nick Foligno,?,27,6,9,3,17,1,56,85,24
?,Ryan Graves,?,23,2,7,9,10,0,45,36,60
?,Johnny Boychuk,?,2,0,0,-1,0,0,2,4,7
?,Darnell Nurse,?,22,1,11,-2,12,3,56,71,55
,Totals,,823,213,386,65,433,175,2199,1122,756
Goaltenders,,,Offense,Goaltending,,,,,,,
,Name,,GP*,W,GA*,GAA,SV*,SA*,SV%,SHO,
?,Marc-Andre Fleury,?,34,20,85,2.55,855,940,0.91,4,
?,Matt Murray,?,22,12,61,2.87,518,579,0.895,1,
?,Carter Hutton,?,17,8,45,2.63,481,526,0.914,2,
?,Linus Ullmark,?,12,6,28,2.38,307,335,0.916,0,
?,Martin Jones,?,1,0,4,4.1,20,24,0.833,0,
?,Jack Campbell,?,6,3,16,2.63,173,189,0.915,0,
?,Juuse Saros,?,7,5,10,1.61,209,219,0.954,2,
,Totals,,99,54,249,2.57,2563,2812,0.911,9,
Legends and Glossaries,,,,,,,,,,,
Legend?,,,,,,,,,,,
Stats?,,,,,,,,,,,
Positions?,,,,,,,,,,,
Advanced Stats Glossary?,,,,,,,,,,,
The Fine Print,,,,,,,,,,,
Projections Powered by Rotowire,,,,,,,,,,,
All game times are shown in MDT.,,,,,,,,,,,
* Non-scoring stats,,,,,,,,,,,
