Forwards/Defensemen,,,Offense,,,,,,,,
,Name,,GP*,G,A,+/-,PIM,PPP,SOG,HIT,BLK
?,Timo Meier,?,68,22,26,-21,42,9,198,153,37
?,Brady Tkachuk,?,36,12,10,-3,31,2,134,142,19
?,T.J. Oshie,?,61,23,19,3,24,10,122,82,51
?,Micheal Ferland,?,10,1,3,0,7,0,9,25,1
?,Brent Burns,?,70,12,33,-22,34,17,225,72,115
?,Darnell Nurse,?,45,3,14,1,34,2,107,90,79
?,Justin Faulk,?,29,1,6,-4,12,1,59,29,25
?,Vincent Trocheck,?,19,3,8,-3,6,2,43,25,14
?,Mika Zibanejad,?,50,35,33,13,12,27,180,50,45
?,Jamie Benn,?,65,18,19,-3,53,14,153,161,54
?,Esa Lindell,?,40,2,14,6,6,5,55,45,69
?,Mark Giordano,?,58,5,26,3,34,11,154,40,144
?,Dylan Larkin,?,36,8,13,-16,21,5,108,24,25
?,Anthony Mantha,?,29,13,13,-3,20,7,103,35,17
?,Chris Kreider,?,47,19,16,19,44,8,121,86,34
?,Bo Horvat,?,8,2,1,0,0,0,22,8,10
?,Brock Nelson,?,33,14,14,9,16,3,71,21,18
?,Alex Killorn,?,36,15,6,11,8,5,65,31,7
?,Viktor Arvidsson,?,7,2,0,-1,2,1,19,3,2
?,Sean Monahan,?,28,10,7,-3,13,5,68,22,9
?,Rasmus Dahlin,?,25,2,17,-6,14,9,38,33,29
?,Ilya Kovalchuk,?,24,6,7,3,2,2,68,31,13
?,Aaron Ekblad,?,22,0,15,2,8,2,44,13,25
?,Jaccob Slavin,?,10,0,8,-1,0,1,22,6,16
?,Adam Henrique,?,7,2,2,-1,2,1,10,6,3
,Totals,,863,230,330,-17,445,149,2198,1233,861
Goaltenders,,,Offense,Goaltending,,,,,,,
,Name,,GP*,W,GA*,GAA,SV*,SA*,SV%,SHO,
?,Martin Jones,?,35,14,107,3.21,866,973,0.89,0,
?,Pekka Rinne,?,36,18,105,3.17,899,1004,0.895,3,
?,Brian Elliott,?,6,3,17,2.94,118,135,0.874,1,
?,Matt Murray,?,6,2,17,2.84,154,171,0.901,0,
?,Cam Talbot,?,1,1,0,0,38,38,1,1,
?,Cory Schneider,?,1,1,0,0,34,34,1,1,
?,Corey Crawford,?,5,3,11,2.25,139,150,0.927,0,
,Totals,,90,42,257,3.02,2248,2505,0.897,6,
Legends and Glossaries,,,,,,,,,,,
Legend?,,,,,,,,,,,
Stats?,,,,,,,,,,,
Positions?,,,,,,,,,,,
Advanced Stats Glossary?,,,,,,,,,,,
The Fine Print,,,,,,,,,,,
Projections Powered by Rotowire,,,,,,,,,,,
All game times are shown in MDT.,,,,,,,,,,,
* Non-scoring stats,,,,,,,,,,,
