Forwards/Defensemen,,Offense,,,,,,,,
,Name,GP*,G,A,+/-,PIM,PPP,SOG,HIT,BLK
?,Tom Wilson,66,19,23,-5,93,7,145,248,57
?,Mark Stone,65,21,42,15,27,18,168,56,51
?,John Carlson,69,15,59,14,26,25,189,55,108
?,Tyson Barrie,67,5,29,-5,16,10,163,45,75
?,Alexander Edler,56,5,25,6,60,7,114,104,153
?,Colton Parayko,1,0,0,0,0,0,3,0,0
?,Tyler Seguin,68,17,33,1,22,15,239,88,31
?,Ryan Johansen,18,2,10,-2,12,6,33,17,7
?,Chris Kreider,5,0,3,-1,6,1,8,10,2
?,Kyle Connor,62,32,24,-3,20,12,207,17,16
?,Mikael Granlund,6,1,0,1,4,0,9,4,0
?,Jonathan Toews,3,0,0,-1,2,0,6,2,1
?,Radko Gudas,3,0,1,1,2,0,6,4,1
?,Max Domi,25,4,10,-3,6,5,62,12,6
?,Kevin Shattenkirk,31,4,17,10,18,4,69,29,30
?,Patrick Marleau,2,0,1,0,2,0,2,1,3
?,Oscar Klefbom,54,4,21,-19,22,14,139,34,162
?,Zack Kassian,9,1,3,2,8,0,12,31,1
?,J.T. Miller,59,22,38,4,43,21,140,103,31
?,Alexander Kerfoot,3,1,1,0,2,1,6,1,3
?,Travis Konecny,2,0,1,1,2,0,5,2,2
?,Jonathan Marchessault,50,19,19,9,20,8,178,72,11
?,Ryan Strome,53,13,30,19,36,13,126,34,23
?,David Krejci,5,2,2,1,0,1,6,3,4
?,Ryan Graves,19,3,3,13,8,0,48,40,33
?,Victor Olofsson,12,5,5,-4,0,4,28,2,5
?,Anthony Duclair,12,6,3,-6,4,4,22,14,9
?,Patric Hornqvist,24,8,7,2,12,5,89,38,13
?,Tony DeAngelo,24,4,13,8,24,7,54,12,27
?,Vincent Trocheck,3,1,0,0,7,0,7,6,0
?,Robert Hagg,1,0,0,0,0,0,1,3,1
?,Ondrej Palat,21,4,6,8,4,1,32,42,17
?,Brenden Dillon,6,0,0,1,13,0,6,12,4
?,Jaccob Slavin,4,1,0,2,0,0,11,4,6
,Totals,908,219,429,69,521,189,2333,1145,893
Goaltenders,,Offense,Goaltending,,,,,,,
,Name,GP*,W,GA*,GAA,SV*,SA*,SV%,SHO,
?,Andrei Vasilevskiy,48,32,119,2.48,1339,1458,0.918,3,
?,Carter Hart,39,22,87,2.42,916,1003,0.913,1,
?,Henrik Lundqvist,1,0,4,6,27,31,0.871,0,
?,Alex Stalock,1,0,5,5.01,20,25,0.8,0,
,Totals,89,54,215,2.51,2302,2517,0.915,4,
Legends and Glossaries,,,,,,,,,,
Legend?,,,,,,,,,,
Stats?,,,,,,,,,,
Positions?,,,,,,,,,,
Advanced Stats Glossary?,,,,,,,,,,
The Fine Print,,,,,,,,,,
Projections Powered by Rotowire,,,,,,,,,,
All game times are shown in MDT.,,,,,,,,,,
* Non-scoring stats,,,,,,,,,,
