Forwards/Defensemen,,,Offense,,,,,,,,
,Name,,GP*,G,A,+/-,PIM,PPP,GWG,HIT,BLK
?,Alex Ovechkin,?,73,47,36,6,38,26,3,194,38
?,Evander Kane,?,68,27,24,-3,151,10,1,149,23
?,James Neal,?,11,1,1,-4,10,0,0,10,5
?,Alex DeBrincat,?,67,34,31,-4,17,21,3,22,21
?,Jakub Voracek,?,33,9,20,-17,8,7,1,11,9
?,Sam Reinhart,?,31,9,8,-22,2,7,0,25,20
?,Dustin Byfuglien,?,16,2,11,5,22,8,1,31,20
?,Ivan Provorov,?,20,2,5,-4,10,0,0,28,40
?,Matt Dumba,?,32,12,10,-5,21,12,1,60,43
?,Colton Parayko,?,38,7,4,7,6,3,3,57,71
?,Anze Kopitar,?,72,21,33,-12,28,16,3,55,59
?,Jeff Carter,?,17,3,5,-6,6,4,0,19,6
?,Justin Faulk,?,27,1,7,3,19,2,0,45,39
?,Brent Seabrook,?,68,4,19,-12,22,10,1,108,152
?,Tyler Johnson,?,65,22,14,9,20,6,3,44,22
?,Josh Bailey,?,56,12,21,-2,6,5,3,11,23
?,Mark Stone,?,51,23,23,6,17,12,2,46,51
?,Travis Konecny,?,42,12,14,-10,20,3,1,32,20
?,Rasmus Dahlin,?,49,6,20,-16,20,13,2,56,43
?,Charlie McAvoy,?,38,5,14,14,21,1,3,76,62
?,Neal Pionk,?,19,0,2,-7,18,1,0,39,22
?,Ryan Pulock,?,16,1,2,5,4,0,1,29,30
,Totals,,909,260,324,-69,486,167,32,1147,819
Goaltenders,,,Offense,Goaltending,,,,,,,
,Name,,GP*,W,GA*,GAA,SV*,SA*,SV%,SHO,
?,Matt Murray,?,11,4,39,4.08,278,317,0.877,1,
?,Brian Elliott,?,20,10,49,2.63,509,558,0.912,1,
?,Keith Kinkaid,?,23,6,78,3.7,556,634,0.877,0,
?,Thomas Greiss,?,8,4,21,2.94,193,214,0.902,0,
?,Darcy Kuemper,?,29,18,63,2.2,818,881,0.928,3,
?,Collin Delia,?,11,3,39,4.11,310,349,0.888,0,
?,Corey Crawford,?,8,4,22,2.74,227,249,0.912,1,
,Totals,,110,49,311,3.03,2891,3202,0.903,6,
Legends and Glossaries,,,,,,,,,,,
Legend?,,,,,,,,,,,
Stats?,,,,,,,,,,,
Positions?,,,,,,,,,,,
Advanced Stats Glossary?,,,,,,,,,,,
The Fine Print,,,,,,,,,,,
Projections Powered by Rotowire,,,,,,,,,,,
All game times are shown in MDT.,,,,,,,,,,,
* Non-scoring stats,,,,,,,,,,,
