Forwards/Defensemen,,,Offense,,,,,,,,
,Name,,GP*,G,A,+/-,PIM,PPP,SOG,HIT,BLK
?,Steven Stamkos,?,79,42,64,27,36,36,239,91,31
?,Brandon Tanev,?,24,7,5,-1,13,2,41,89,13
?,Alex Ovechkin,?,75,49,40,7,18,29,325,151,25
?,Max Comtois,?,4,0,0,-5,0,0,9,7,0
?,Darnell Nurse,?,69,8,26,19,50,6,194,190,128
?,Neal Pionk,?,77,3,31,7,46,12,140,185,91
?,Anze Kopitar,?,79,18,48,-7,14,22,202,70,68
?,Carter Verhaeghe,?,54,19,19,19,36,1,120,34,13
?,Martin Necas,?,3,0,1,-1,2,0,1,2,2
?,Dougie Hamilton,?,59,8,20,-24,34,7,185,78,88
?,Brad Marchand,?,69,30,48,15,90,27,234,78,20
?,Vladimir Tarasenko,?,73,33,48,11,30,21,221,81,45
?,Rasmus Ristolainen,?,64,2,13,-10,36,1,91,223,120
?,Timo Meier,?,73,34,37,-4,50,17,304,153,56
?,Andrew Copp,?,36,9,11,-2,6,4,101,25,22
?,Mikael Granlund,?,45,5,25,-10,23,16,71,52,25
?,Samuel Girard,?,4,0,0,3,2,0,3,3,7
?,Bowen Byram,?,1,0,0,-3,4,0,4,2,1
?,Jeff Carter,?,2,0,2,1,0,1,9,3,4
?,Rasmus Andersson,?,1,0,0,2,2,0,5,1,1
?,Jaccob Slavin,?,25,2,9,7,4,2,50,15,51
?,Mark Borowiecki,?,1,0,0,0,0,0,0,1,0
?,Cole Caufield,?,15,8,4,-10,4,4,46,5,1
?,Elias Pettersson,?,11,10,7,0,4,6,42,10,4
?,Martin Fehervary,?,8,0,2,0,2,0,8,28,8
,Totals,,951,287,460,41,506,214,2645,1577,824
Goaltenders,,,Offense,Goaltending,,,,,,,
,Name,,GP*,W,GA*,GAA,SV*,SA*,SV%,SHO,
?,Mike Smith,?,10,6,27,2.82,325,352,0.923,1,
?,Igor Shesterkin,?,48,32,98,2.12,1361,1459,0.933,5,
?,Cal Petersen,?,30,16,87,2.97,724,811,0.893,2,
?,Mikko Koskinen,?,17,11,53,3.19,479,532,0.9,0,
?,Braden Holtby,?,11,5,35,3.27,305,340,0.897,0,
?,Petr Mrazek,?,7,3,22,3.9,155,177,0.876,0,
?,James Reimer,?,4,0,10,2.82,96,106,0.906,0,
,Totals,,127,73,332,2.73,3445,3777,0.912,8,
Legends and Glossaries,,,,,,,,,,,
Legend?,,,,,,,,,,,
Stats?,,,,,,,,,,,
Positions?,,,,,,,,,,,
Advanced Stats Glossary?,,,,,,,,,,,
The Fine Print,,,,,,,,,,,
Projections Powered by Rotowire,,,,,,,,,,,
All game times are shown in MDT.,,,,,,,,,,,
* Non-scoring stats,,,,,,,,,,,
