Forwards/Defensemen,,,Offense,,,,,,,,
,Name,,GP*,G,A,+/-,PIM,PPP,SOG,HIT,BLK
?,Artemi Panarin,?,74,28,60,6,34,35,191,22,11
?,Nikita Kucherov,?,73,26,72,4,32,40,241,53,25
?,Artturi Lehkonen,?,46,14,20,10,20,13,106,62,34
?,Elias Lindholm,?,63,18,32,5,8,17,144,62,33
?,Evgeni Malkin,?,74,27,53,-6,78,35,218,47,25
?,Sam Reinhart,?,12,4,2,-2,2,5,39,3,3
?,Marcus Foligno,?,6,1,2,-4,11,2,9,18,3
?,MacKenzie Weegar,?,81,4,27,15,43,3,160,186,117
?,Thomas Chabot,?,68,11,30,-11,52,20,165,79,123
?,Nikolaj Ehlers,?,25,5,14,0,0,8,75,15,6
?,Neal Pionk,?,16,4,7,-2,2,1,35,39,23
?,Jordan Kyrou,?,68,29,24,-44,20,18,241,12,32
?,Colton Parayko,?,10,0,2,-8,2,1,19,13,13
?,Roope Hintz,?,48,27,27,27,24,15,125,29,29
?,Alex Tuch,?,10,1,3,-5,0,2,22,7,7
?,Reilly Smith,?,19,7,4,-2,12,0,37,18,7
?,Nikita Zadorov,?,71,11,6,2,63,1,111,138,67
?,Jason Zucker,?,14,3,2,0,8,2,37,45,4
?,Jake DeBrusk,?,14,6,5,5,2,3,35,23,5
?,Filip Hronek,?,46,5,20,-2,22,11,84,77,43
?,Brandon Hagel,?,38,14,13,15,28,3,92,37,25
?,Jamie Benn,?,27,12,14,1,10,9,64,29,11
,Totals,,903,257,439,4,473,244,2250,1014,646
Goaltenders,,,Offense,Goaltending,,,,,,,
,Name,,GP*,W,GA*,GAA,SV*,SA*,SV%,SHO,
?,Igor Shesterkin,?,55,35,137,2.48,1510,1647,0.917,3,
?,Alexandar Georgiev,?,62,40,155,2.51,1749,1904,0.919,5,
,Totals,,117,75,292,2.5,3259,3551,0.918,8,
Legends and Glossaries,,,,,,,,,,,
Legend?,,,,,,,,,,,
Stats?,,,,,,,,,,,
Positions?,,,,,,,,,,,
Advanced Stats Glossary?,,,,,,,,,,,
The Fine Print,,,,,,,,,,,
Projections Powered by Rotowire,,,,,,,,,,,
All game times are shown in MDT.,,,,,,,,,,,
* Non-scoring stats,,,,,,,,,,,
