Forwards/Defensemen,,,Offense,,,,,,,,
,Name,,GP*,G,A,+/-,PIM,PPP,GWG,HIT,BLK
?,Sean Monahan,?,72,29,45,7,10,21,4,32,22
?,Nazem Kadri,?,42,11,15,1,27,8,4,42,6
?,Mark Giordano,?,73,16,54,37,65,21,2,51,139
?,Josh Manson,?,44,3,6,-1,41,0,0,123,54
?,Brayden Schenn,?,39,7,19,1,19,6,2,59,14
?,Jamie Benn,?,69,26,24,15,56,10,1,121,64
?,Kyle Connor,?,72,32,29,-3,14,18,4,8,16
?,Blake Wheeler,?,70,18,66,4,54,32,3,65,50
?,Wayne Simmonds,?,59,16,7,-19,88,8,2,110,19
?,Nikita Zadorov,?,35,3,2,10,39,0,0,103,22
?,Brayden McNabb,?,9,0,0,0,2,0,0,26,12
?,Radko Gudas,?,61,2,13,9,47,0,0,196,106
?,Max Comtois,?,1,0,0,-1,0,0,0,3,2
?,Milan Lucic,?,43,2,7,-6,53,2,0,153,6
?,Jordan Staal,?,4,0,0,-4,2,0,0,6,2
?,David Perron,?,36,12,13,2,36,6,0,38,10
?,Rickard Rakell,?,30,8,11,-10,8,4,0,23,11
?,Jake Muzzin,?,29,4,13,9,16,3,1,53,43
?,Vincent Trocheck,?,25,3,5,-8,20,2,0,47,18
?,Colin Miller,?,7,0,2,-1,2,1,0,14,9
?,Erik Gustafsson,?,15,3,12,-6,6,5,0,18,22
?,Tomas Tatar,?,14,6,3,5,4,0,1,16,7
?,Anders Lee,?,8,3,0,0,6,0,1,12,6
?,Darnell Nurse,?,15,1,7,4,12,1,0,33,23
?,Kevin Hayes,?,3,2,3,4,0,0,0,0,1
?,Patric Hornqvist,?,6,1,1,-1,2,1,0,12,2
?,Justin Schultz,?,8,0,2,-2,2,1,0,11,14
?,Cam Fowler,?,8,1,4,1,0,1,0,4,11
,Totals,,897,209,363,47,631,151,25,1379,711
Goaltenders,,,Offense,Goaltending,,,,,,,
,Name,,GP*,W,GA*,GAA,SV*,SA*,SV%,SHO,
?,Tuukka Rask,?,41,26,91,2.34,1008,1099,0.917,4,
?,John Gibson,?,43,15,113,2.9,1233,1346,0.916,2,
?,Roberto Luongo,?,20,6,61,3.57,467,528,0.884,1,
?,Jordan Binnington,?,15,12,29,1.94,375,404,0.928,3,
?,Kevin Boyle,?,1,0,2,2.04,26,28,0.929,0,
,Totals,,120,59,296,2.67,3109,3405,0.913,10,
Legends and Glossaries,,,,,,,,,,,
Legend?,,,,,,,,,,,
Stats?,,,,,,,,,,,
Positions?,,,,,,,,,,,
Advanced Stats Glossary?,,,,,,,,,,,
The Fine Print,,,,,,,,,,,
Projections Powered by Rotowire,,,,,,,,,,,
All game times are shown in MDT.,,,,,,,,,,,
* Non-scoring stats,,,,,,,,,,,
