Forwards/Defensemen,,,Offense,,,,,,,,
,Name,Position,GP*,G,A,+/-,PIM,PPP,SOG,HIT,BLK
?,Mikhail Sergachev?,D,34,2,17,-16,16,7,53,31,70
?,Alex Pietrangelo,D,62,4,28,-5,24,9,139,39,159
?,Shea Theodore,D,19,3,11,2,0,7,50,4,25
?,Nathan MacKinnon?,C,81,51,88,35,42,47,402,46,69
?,Elias Lindholm,C,20,5,8,-5,6,4,49,14,10
?,Brady Tkachuk?,"C,LW",80,37,37,1,132,22,350,264,33
?,Tyler Bertuzzi,LW,5,1,0,2,10,1,11,6,3
?,Zach Hyman,"LW,RW",76,52,23,40,48,19,277,72,36
?,Rasmus Andersson,D,74,8,28,-13,37,8,149,33,177
?,Jack Hughes?,"C,LW",60,26,47,-10,12,31,261,8,23
?,Matt Boldy?,"LW,RW",10,1,7,-3,8,2,29,1,3
?,Jordan Kyrou,"C,RW",7,0,2,-6,2,1,22,4,5
?,Gustav Forsling,"C,RW",3,0,0,1,2,0,4,2,3
?,Clayton Keller,"LW,RW",65,24,32,-30,26,25,192,16,28
?,Sean Durzi,D,37,7,14,8,35,9,62,16,79
?,Brady Skjei,D,5,0,1,0,2,0,5,5,5
?,Frank Vatrano,"C,LW",47,19,17,-20,43,13,153,57,39
?,Filip Forsberg,LW,73,46,39,17,35,27,308,109,41
?,Ivan Barbashev,"LW,RW",3,1,0,1,2,0,5,6,2
?,Evan Rodrigues,"C,LW",5,0,0,0,0,0,15,7,3
?,Lawson Crouse,"LW,RW",6,1,0,1,2,0,11,10,6
?,Drake Batherson,"LW,RW",55,19,23,-4,28,12,131,59,23
?,Trevor Moore,LW,1,0,0,0,0,0,3,2,1
?,Josh Manson,D,53,7,14,13,55,0,90,139,73
?,Neal Pionk,D,53,4,19,0,43,6,96,143,79
?,Brock Nelson,C,1,0,0,-1,0,0,4,0,0
?,Gabriel Vilardi,LW,13,5,2,8,2,2,28,3,9
?,Joel Farabee,LW,7,4,3,-2,0,3,21,5,4
?,Charlie Coyle,"C,LW",4,2,4,5,2,1,7,5,2
?,Robert Thomas,"C,RW",20,7,13,2,12,9,40,3,9
?,Bryan Rust,RW,4,3,2,-2,4,3,12,3,0
?,Vince Dunn,D,9,3,4,6,26,2,16,5,12
?,Tom Wilson?,RW,11,4,4,-5,30,4,20,31,16
?,Jake Neighbours,"LW,RW",6,2,1,-2,2,1,11,13,2
?,Pavel Zacha,"C,LW",1,0,1,0,0,0,2,4,0
?,Luke Hughes,D,9,0,7,-7,2,3,16,3,9
?,William Karlsson,"C,LW",4,2,2,0,0,0,10,6,2
?,Evgeni Malkin,C,5,2,3,-1,4,2,16,3,4
?,Filip Hronek,D,4,0,0,0,2,0,4,8,7
?,Andrei Kuzmenko,"LW,RW",3,1,2,2,0,1,7,0,1
,Totals,,1035,353,503,12,696,281,3081,1185,1072
Goaltenders,,,Offense,Goaltending,,,,,,,
,Name,,GP*,W,GA*,GAA,SV*,SA*,SV%,SHO,
?,Adin Hill,G,35,19,89,2.71,891,980,0.909,2,
?,Filip Gustavsson,G,7,2,30,4.89,203,233,0.871,1,
?,Joseph Woll,G,6,3,22,3.63,126,148,0.851,0,
?,John Gibson,G,6,0,18,3.32,143,161,0.888,0,
?,Alex Lyon,G,4,2,9,2.89,98,107,0.916,0,
?,Connor Ingram,G,8,3,22,3.04,188,210,0.895,2,
?,Jonathan Quick,G,1,0,4,4.36,24,28,0.857,0,
?,Martin Jones,G,11,5,28,2.58,274,302,0.907,1,
?,Casey DeSmith,G,1,0,4,4,21,25,0.84,0,
?,Scott Wedgewood,G,1,0,4,4.45,14,18,0.778,0,
?,Antti Raanta,G,1,0,3,3.08,14,17,0.824,0,
?,Charlie Lindgren,G,1,0,6,6.02,25,31,0.806,0,
?,Ilya Samsonov,G,21,15,62,2.94,549,611,0.899,1,
,Totals,,103,49,301,3.09,2570,2871,0.895,7,
