Forwards/Defensemen,,,Offense,,,,,,,,
,Name,,GP*,G,A,+/-,PIM,PPP,GWG,HIT,BLK
?,Elias Lindholm,?,69,27,47,33,18,24,5,71,33
?,Brent Burns,?,74,12,63,17,30,25,5,78,93
?,Cam Fowler,?,33,3,8,-11,18,1,1,16,62
?,Evgeni Malkin,?,57,14,43,-21,75,21,3,44,24
?,Mark Scheifele,?,73,34,43,12,38,21,6,46,49
?,Jeff Skinner,?,62,32,19,-8,26,15,6,22,17
?,Pierre-Luc Dubois,?,65,20,24,4,52,8,2,81,45
?,Mikko Rantanen,?,69,30,53,8,52,32,4,55,39
?,Shayne Gostisbehere,?,44,5,13,-11,8,7,2,29,62
?,Oliver Ekman-Larsson,?,74,11,27,-19,46,17,2,149,47
?,Rasmus Ristolainen,?,74,5,34,-42,36,14,2,218,119
?,Mike Hoffman,?,67,27,31,-21,22,29,4,34,23
?,Ryan O'Reilly,?,52,18,30,17,4,15,3,21,24
?,J.T. Miller,?,48,8,19,11,22,11,3,66,18
?,Scott Mayfield,?,17,0,6,4,15,0,0,27,31
?,Blake Coleman,?,7,1,1,-1,6,0,0,22,2
?,Justin Faulk,?,9,2,1,5,6,2,0,12,17
?,Joel Edmundson,?,6,0,2,1,8,0,0,9,9
?,Brandon Tanev,?,10,0,1,0,2,0,0,41,10
?,Mikhail Sergachev,?,3,0,0,-2,4,0,0,2,6
,Totals,,913,249,465,-24,488,242,48,1043,730
Goaltenders,,,Offense,Goaltending,,,,,,,
,Name,,GP*,W,GA*,GAA,SV*,SA*,SV%,SHO,
?,Martin Jones,?,57,34,160,2.91,1411,1571,0.898,3,
?,Mike Smith,?,25,14,71,3.04,565,636,0.888,2,
?,Roberto Luongo,?,1,0,3,3.06,22,25,0.88,0,
?,Jaroslav Halak,?,1,0,3,2.77,36,39,0.923,0,
?,Thomas Greiss,?,14,8,25,2.09,334,359,0.93,2,
,Totals,,98,56,262,2.84,2368,2630,0.9,7,
Legends and Glossaries,,,,,,,,,,,
Legend?,,,,,,,,,,,
Stats?,,,,,,,,,,,
Positions?,,,,,,,,,,,
Advanced Stats Glossary?,,,,,,,,,,,
The Fine Print,,,,,,,,,,,
Projections Powered by Rotowire,,,,,,,,,,,
All game times are shown in MDT.,,,,,,,,,,,
* Non-scoring stats,,,,,,,,,,,
