Forwards/Defensemen,,,Offense,,,,,,,,
,Name,,GP*,G,A,+/-,PIM,PPP,SOG,HIT,BLK
?,"Jared McCannSEA - C,LW",?,15,5,2,-6,8,2,45,6,8
,No new player Notes,,,,,,,,,,
?,"Brandon HagelTB - LW,RW",?,29,6,16,-2,21,3,63,14,22
,No new player Notes,,,,,,,,,,
?,Nikita KucherovTB - RW ?,?,76,43,89,3,20,52,298,37,34
,No new player Notes,,,,,,,,,,
?,Vince DunnSEA - D,?,49,8,31,2,52,14,102,27,52
,No new player Notes,,,,,,,,,,
,O,,,,,,,,,,
?,Kris LetangPIT - D,?,67,8,32,6,60,4,138,99,109
,No new player Notes,,,,,,,,,,
,O,,,,,,,,,,
?,"Andrei KuzmenkoCGY - LW,RW",?,1,0,1,1,0,1,3,0,0
,No new player Notes,,,,,,,,,,
?,Mika ZibanejadNYR - C,?,3,0,4,2,2,1,8,1,1
,No new player Notes,,,,,,,,,,
?,Vincent TrocheckNYR - C,?,68,17,42,9,44,18,181,111,73
,No new player Notes,,,,,,,,,,
?,Artemi PanarinNYR - LW ?,?,82,49,71,18,24,44,303,15,15
,No new player Notes,,,,,,,,,,
?,"Sam ReinhartFLA - C,RW",?,74,51,34,24,29,31,204,55,56
,No new player Notes,,,,,,,,,,
?,"Matt DucheneDAL - C,RW",?,1,0,0,0,0,0,0,3,1
,No new player Notes,,,,,,,,,,
?,Miro HeiskanenDAL - D,?,69,8,43,5,36,20,154,54,96
,No new player Notes,,,,,,,,,,
?,Owen PowerBUF - D,?,12,0,4,-3,2,0,20,3,21
,No new player Notes,,,,,,,,,,
?,"Evan RodriguesFLA - C,LW,RW",?,4,0,2,2,2,1,9,3,2
,Player Note,,,,,,,,,,
?,"Andrew MangiapaneCGY - LW,RW",?,3,0,0,0,4,0,1,1,1
,No new player Notes,,,,,,,,,,
?,Roope HintzDAL - C ?,?,60,24,22,15,18,12,134,25,30
,No new player Notes,,,,,,,,,,
?,"Tage ThompsonBUF - C,RW ?",?,49,17,18,-5,25,11,163,51,22
,No new player Notes,,,,,,,,,,
,O,,,,,,,,,,
?,Noah HanifinVGK - D,?,4,0,0,-6,0,0,6,2,2
,No new player Notes,,,,,,,,,,
?,"Marcus FolignoMIN - LW,RW",?,8,1,3,3,0,0,9,15,5
,No new player Notes,,,,,,,,,,
,O,,,,,,,,,,
?,Travis SanheimPHI - D,?,5,0,2,-9,4,0,10,4,3
,No new player Notes,,,,,,,,,,
?,"Mason McTavishANA - C,LW",?,12,3,3,-12,14,2,31,3,6
,No new player Notes,,,,,,,,,,
,O,,,,,,,,,,
?,Troy TerryANA - RW,?,1,0,1,1,0,0,5,0,0
,No new player Notes,,,,,,,,,,
