Forwards/Defensemen,,,Offense,,,,,,,,
,Name,,GP*,G,A,+/-,PIM,PPP,SOG,HIT,BLK
?,Connor McDavid,?,52,29,67,22,20,35,185,60,24
?,Bo Horvat,?,37,15,14,2,10,8,84,47,25
?,Mitchell Marner,?,49,16,47,25,18,13,137,20,39
?,Brock Boeser,?,44,16,20,-10,12,11,103,24,14
?,Morgan Rielly,?,51,5,30,18,12,11,94,57,56
?,Ivan Provorov,?,52,6,16,-3,26,8,117,54,95
?,Patrice Bergeron,?,48,21,25,28,14,13,157,46,33
?,Johnny Gaudreau,?,51,18,21,-2,4,17,100,8,9
?,Jakub Vrana,?,26,9,11,9,6,3,52,20,3
?,Patrik Laine,?,44,11,12,-26,23,7,79,33,15
?,Ryan Pulock,?,51,2,14,16,4,1,113,87,98
?,P.K. Subban,?,34,3,11,-10,24,5,77,30,35
?,John Klingberg,?,40,6,24,-6,19,15,83,32,39
?,Jakub Voracek,?,5,2,2,-2,2,1,10,3,2
?,Max Domi,?,4,0,1,-4,0,1,6,0,1
?,Erik Gudbranson,?,5,0,0,-3,2,0,5,10,4
?,Josh Anderson,?,22,6,2,-6,13,0,44,54,13
?,Jared Spurgeon,?,19,3,11,-1,2,6,27,15,42
?,Ryan Nugent-Hopkins,?,8,1,3,0,6,2,21,4,5
,Totals,,642,169,331,47,217,157,1494,604,552
Goaltenders,,,Offense,Goaltending,,,,,,,
,Name,,GP*,W,GA*,GAA,SV*,SA*,SV%,SHO,
?,Semyon Varlamov,?,30,16,65,2.19,782,847,0.923,4,
?,Darcy Kuemper,?,19,7,47,2.55,492,539,0.913,1,
?,Petr Mrazek,?,8,4,14,1.94,203,217,0.935,2,
?,Alexandar Georgiev,?,1,0,2,2.03,16,18,0.889,0,
?,Jake Oettinger,?,3,1,5,1.7,78,83,0.94,0,
?,Mackenzie Blackwood,?,3,3,7,2.31,86,93,0.925,0,
,Totals,,64,31,140,2.25,1657,1797,0.922,7,
Legends and Glossaries,,,,,,,,,,,
Legend?,,,,,,,,,,,
Stats?,,,,,,,,,,,
Positions?,,,,,,,,,,,
Advanced Stats Glossary?,,,,,,,,,,,
The Fine Print,,,,,,,,,,,
Projections Powered by Rotowire,,,,,,,,,,,
All game times are shown in MDT.,,,,,,,,,,,
* Non-scoring stats,,,,,,,,,,,
