Forwards/Defensemen,,,Offense,,,,,,,,
,Name,,GP*,G,A,+/-,PIM,PPP,GWG,HIT,BLK
?,Brock Boeser,?,4,1,1,-3,2,1,1,0,1
?,Morgan Rielly,?,56,14,39,21,4,16,5,38,70
?,Michael Del Zotto,?,2,0,0,0,0,0,0,6,3
?,Jonathan Marchessault,?,70,24,27,-2,38,15,5,88,18
?,Nathan MacKinnon,?,59,28,46,14,26,27,3,38,19
?,Reilly Smith,?,26,5,6,-2,2,5,1,11,12
?,Jaden Schwartz,?,3,0,0,-4,2,0,0,5,3
?,Phil Kessel,?,75,24,50,-21,28,33,9,11,17
?,Craig Smith,?,1,0,1,1,0,0,0,1,1
?,Alec Martinez,?,16,1,4,0,2,0,1,27,32
?,Ryan Nugent-Hopkins,?,1,0,0,0,0,0,0,0,0
?,Taylor Hall,?,33,11,26,-6,16,12,3,22,29
?,Jakob Silfverberg,?,3,2,0,2,2,0,0,1,1
?,Elias Pettersson,?,60,23,33,4,8,17,6,39,42
?,Viktor Arvidsson,?,47,27,12,7,20,2,4,15,19
?,Jeff Petry,?,73,11,27,-15,28,11,3,177,111
?,Tomas Tatar,?,11,5,1,-3,0,1,1,10,2
?,Mark Borowiecki,?,2,0,0,-1,0,0,0,10,4
?,Josh Morrissey,?,48,5,18,11,12,7,2,47,82
?,Rickard Rakell,?,1,0,1,0,0,0,0,0,1
?,Mark Stone,?,7,1,4,2,2,3,0,7,5
?,Patric Hornqvist,?,27,7,7,-4,2,3,1,42,12
?,Patrik Nemeth,?,2,0,0,-1,5,0,0,3,2
?,Eric Staal,?,20,5,7,-2,4,4,0,9,4
?,Dustin Brown,?,21,8,8,6,6,3,1,47,9
?,Jamie Oleksiak,?,2,0,0,-1,7,0,0,8,0
?,Nikolaj Ehlers,?,1,1,0,2,0,0,1,0,0
?,Boone Jenner,?,10,1,0,-5,8,0,1,23,8
?,Dustin Byfuglien,?,20,2,14,0,36,8,0,33,25
?,Brenden Dillon,?,2,0,0,0,0,0,0,1,0
?,Kris Russell,?,11,1,1,2,2,0,0,21,28
?,Kasperi Kapanen,?,6,0,3,-2,5,1,0,6,3
?,Anthony Mantha,?,1,0,0,0,0,0,0,0,0
?,Brayden McNabb,?,47,4,9,22,28,0,1,129,76
?,Andy Greene,?,2,0,0,-2,0,0,0,0,6
?,Evgenii Dadonov,?,1,1,0,1,0,1,0,0,0
?,Oscar Klefbom,?,1,0,0,1,2,0,0,0,2
?,Darnell Nurse,?,1,0,1,1,0,0,0,1,0
?,Josh Anderson,?,1,0,1,1,0,0,0,2,0
?,Cedric Paquette,?,3,1,1,2,7,0,0,7,1
?,Brian Dumoulin,?,22,0,9,7,6,0,0,39,35
?,Brady Tkachuk,?,1,0,0,-1,0,0,0,1,0
?,Jonathan Drouin,?,4,1,0,-4,2,0,0,7,0
?,Anders Lee,?,13,4,5,4,8,2,1,14,10
?,Micheal Ferland,?,2,0,1,1,0,0,0,4,0
?,Ryan Dzingel,?,6,2,4,-4,0,3,1,6,5
?,Justin Williams,?,1,0,0,0,0,0,0,0,1
?,Paul Stastny,?,1,0,1,-2,2,0,0,3,0
?,Andrei Svechnikov,?,1,0,0,-1,0,0,0,2,0
?,Jason Zucker,?,1,0,1,1,0,0,0,4,1
?,David Krejci,?,5,2,4,4,0,2,1,3,1
?,Nico Hischier,?,2,0,0,1,0,0,0,0,0
?,Patrice Bergeron,?,14,9,7,9,4,3,1,6,13
?,Ryan Pulock,?,2,0,2,-2,2,2,0,5,4
?,Tomas Hertl,?,13,3,5,4,4,0,0,10,11
?,Erik Karlsson,?,2,0,0,-2,0,0,0,0,0
?,Milan Lucic,?,9,0,2,3,22,0,0,27,5
?,Nino Niederreiter,?,8,1,3,-7,2,0,0,10,3
?,Mikael Backlund,?,6,3,4,9,6,1,1,2,2
,Totals,,890,238,396,46,362,183,54,1028,739
Goaltenders,,,Offense,Goaltending,,,,,,,
,Name,,GP*,W,GA*,GAA,SV*,SA*,SV%,SHO,
?,Henrik Lundqvist,?,34,13,103,3.08,959,1062,0.903,0,
?,Sergei Bobrovsky,?,55,31,140,2.66,1426,1566,0.911,7,
?,Jacob Markstrom,?,2,1,7,3.5,67,74,0.905,0,
?,David Rittich,?,26,17,71,2.8,685,756,0.906,0,
?,Mikko Koskinen,?,2,0,6,4.79,29,35,0.829,0,
?,Jaroslav Halak,?,6,5,12,1.99,178,190,0.937,1,
,Totals,,125,67,339,2.81,3344,3683,0.908,8,
Legends and Glossaries,,,,,,,,,,,
Legend?,,,,,,,,,,,
Stats?,,,,,,,,,,,
Positions?,,,,,,,,,,,
Advanced Stats Glossary?,,,,,,,,,,,
The Fine Print,,,,,,,,,,,
Projections Powered by Rotowire,,,,,,,,,,,
All game times are shown in MDT.,,,,,,,,,,,
* Non-scoring stats,,,,,,,,,,,
