Forwards/Defensemen,,,Offense,,,,,,,,
,Name,,GP*,G,A,+/-,PIM,PPP,SOG,HIT,BLK
?,Chandler Stephenson,?,41,11,25,0,14,7,55,42,25
?,Victor Hedman,?,82,20,65,25,36,38,218,94,129
?,J.T. Miller,?,79,32,66,11,47,38,202,170,55
?,Elias Pettersson,?,16,2,7,-3,2,6,46,5,7
?,Anthony Mantha,?,2,1,1,-1,2,1,7,2,3
?,Jesse Puljujarvi,?,31,10,13,5,12,5,87,35,7
?,Jeff Petry,?,5,0,0,0,0,0,6,3,4
?,Jake Guentzel,?,74,39,42,9,44,22,259,71,37
?,Anthony Duclair,?,37,17,16,22,8,7,80,18,13
?,Esa Lindell,?,24,1,3,0,2,0,45,43,44
?,David Pastrnak,?,72,40,37,13,20,26,312,63,14
?,Torey Krug,?,19,2,7,1,18,5,33,13,15
?,Colton Parayko,?,16,1,6,-2,8,1,30,11,31
?,Mike Hoffman,?,9,4,0,-4,0,2,12,4,4
?,Cal Clutterbuck,?,1,0,0,0,0,0,2,9,1
?,Erik Cernak,?,3,0,0,1,0,0,3,3,3
?,Evan Bouchard,?,4,0,2,-1,0,1,8,5,7
?,Ryan Getzlaf,?,12,0,9,3,4,1,25,17,13
?,Ryan Hartman,?,2,1,1,3,0,0,7,3,2
?,Jonas Brodin,?,2,0,0,-3,0,0,1,1,3
?,Ben Chiarot,?,17,2,1,-10,12,1,33,29,24
?,Sidney Crosby,?,67,31,53,22,30,30,205,48,37
?,Erik Johnson,?,6,1,2,2,0,0,14,9,8
?,Zach Whitecloud,?,1,0,0,1,0,0,0,0,4
?,Rasmus Andersson,?,4,0,3,5,2,0,6,5,8
?,Evan Rodrigues,?,1,0,1,-3,0,0,6,4,1
?,Garnet Hathaway,?,35,5,7,9,31,0,56,108,35
?,Andreas Johnsson,?,2,0,0,-1,0,0,6,2,0
?,Tyler Myers,?,57,1,11,16,49,1,90,94,95
?,Sonny Milano,?,2,1,0,1,0,0,2,0,0
?,Brenden Dillon,?,48,2,12,4,41,0,43,128,66
?,Ryan Johansen,?,1,0,0,0,0,0,1,0,0
?,Joel Eriksson Ek,?,37,13,10,6,10,8,110,71,16
?,Matt Roy,?,15,0,2,5,8,0,36,37,12
?,Denis Gurianov,?,1,0,0,0,0,0,1,1,1
?,Ivan Provorov,?,3,0,0,-4,0,0,7,4,3
?,Michael Bunting,?,1,1,0,-1,0,0,1,1,1
?,Erik Karlsson,?,1,0,0,-2,2,0,3,0,0
?,Blake Wheeler,?,40,15,25,-16,22,14,104,30,25
?,Evander Kane,?,43,22,16,25,60,4,152,135,11
?,Noah Dobson,?,44,7,27,-6,10,16,99,34,79
?,Mark Giordano,?,5,0,3,-7,2,1,18,4,9
?,Boone Jenner,?,8,1,2,-6,4,1,20,19,4
?,Tim Stutzle,?,9,3,5,-5,0,4,23,8,4
?,Josh Manson,?,14,1,3,-6,4,0,19,43,17
?,Bo Horvat,?,13,8,3,2,6,4,34,15,10
?,Oliver Bjorkstrand,?,7,2,2,-8,4,2,20,4,1
?,Paul Stastny,?,1,1,0,2,0,0,4,0,0
?,Jordan Greenway,?,1,0,0,0,0,0,0,0,0
?,Brayden McNabb,?,1,0,0,1,0,0,2,3,0
?,Alexander Romanov,?,5,0,1,-9,2,0,12,10,7
?,Brock Boeser,?,1,0,1,0,0,0,1,2,1
?,Andrew Mangiapane,?,1,0,0,1,0,0,1,1,0
,Totals,,1023,298,490,97,516,246,2567,1461,896
Goaltenders,,,Offense,Goaltending,,,,,,,
,Name,,GP*,W,GA*,GAA,SV*,SA*,SV%,SHO,
?,Braden Holtby,?,7,2,18,2.6,187,205,0.912,0,
?,Cam Talbot,?,44,28,120,2.82,1172,1292,0.907,3,
?,Adin Hill,?,1,1,3,3,20,23,0.87,0,
?,Ilya Samsonov,?,4,2,9,2.88,76,85,0.894,1,
?,Jonathan Quick,?,14,5,40,2.95,338,378,0.894,1,
?,James Reimer,?,10,6,29,3.11,275,304,0.905,1,
?,Alex Nedeljkovic,?,11,3,34,3.32,276,310,0.89,1,
?,Pavel Francouz,?,12,8,28,2.41,326,354,0.921,1,
?,Jake Oettinger,?,25,14,64,2.59,661,725,0.912,1,
,Totals,,128,69,345,2.8,3331,3676,0.906,9,
Legends and Glossaries,,,,,,,,,,,
Legend?,,,,,,,,,,,
Stats?,,,,,,,,,,,
Positions?,,,,,,,,,,,
Advanced Stats Glossary?,,,,,,,,,,,
The Fine Print,,,,,,,,,,,
Projections Powered by Rotowire,,,,,,,,,,,
All game times are shown in MDT.,,,,,,,,,,,
* Non-scoring stats,,,,,,,,,,,
