Forwards/Defensemen,,,Offense,,,,,,,,
,Name,,GP*,G,A,+/-,PIM,PPP,SOG,HIT,BLK
?,Sidney CrosbyPIT - C ?,?,68,34,42,2,36,20,234,72,32
,No new player Notes,,,,,,,,,,
?,"Reilly SmithPIT - LW,RW",?,5,1,1,0,0,0,13,4,1
,No new player Notes,,,,,,,,,,
?,Jake GuentzelCAR - LW,?,63,28,41,19,16,19,225,37,26
,No new player Notes,,,,,,,,,,
?,Rickard RakellPIT - RW,?,15,2,3,2,8,1,41,26,7
,No new player Notes,,,,,,,,,,
?,Adam LarssonSEA - D,?,73,4,13,1,55,0,118,130,139
,No new player Notes,,,,,,,,,,
?,Auston MatthewsTOR - C ?,?,71,61,34,28,16,26,322,78,82
,No new player Notes,,,,,,,,,,
?,"Tim StutzleOTT - C,LW ?",?,67,18,47,-7,28,19,174,73,38
,No new player Notes,,,,,,,,,,
,O,,,,,,,,,,
?,Evander KaneEDM - LW,?,53,19,13,-3,52,6,164,163,23
,Player Note,,,,,,,,,,
?,"Drake BathersonOTT - LW,RW",?,11,4,4,-6,2,3,32,10,7
,No new player Notes,,,,,,,,,,
?,"Ryan HartmanMIN - C,RW",?,12,3,2,-4,22,1,33,9,9
,No new player Notes,,,,,,,,,,
?,"Jesper BrattNJ - LW,RW",?,81,27,54,-6,12,25,241,49,33
,No new player Notes,,,,,,,,,,
?,Jacob TroubaNYR - D,?,58,3,19,2,52,1,112,139,164
,No new player Notes,,,,,,,,,,
?,Moritz SeiderDET - D,?,81,9,33,-7,49,17,135,178,209
,No new player Notes,,,,,,,,,,
?,Noah DobsonNYI - D,?,79,10,60,11,36,24,175,67,179
,No new player Notes,,,,,,,,,,
?,Joel Eriksson EkMIN - C,?,59,25,28,15,48,17,194,107,44
,No new player Notes,,,,,,,,,,
?,"Teuvo TeravainenCAR - LW,RW",?,4,1,1,-2,2,1,7,0,0
,No new player Notes,,,,,,,,,,
?,Mikey AndersonLA - D,?,1,0,0,1,0,0,1,0,2
,No new player Notes,,,,,,,,,,
?,Erik HaulaNJ - LW,?,3,0,1,-1,0,1,2,1,2
,No new player Notes,,,,,,,,,,
?,"Travis KonecnyPHI - LW,RW",?,9,2,1,8,4,0,23,3,6
,No new player Notes,,,,,,,,,,
?,"Matt DucheneDAL - C,RW",?,63,19,29,8,16,12,130,19,37
,No new player Notes,,,,,,,,,,
?,Nikolaj EhlersWPG - LW,?,10,4,6,7,2,1,30,3,4
,No new player Notes,,,,,,,,,,
?,Pavel MintyukovANA - D,?,2,0,0,-3,0,0,2,3,2
,No new player Notes,,,,,,,,,,
,O,,,,,,,,,,
?,JJ PeterkaBUF - RW,?,8,2,3,4,2,0,28,2,3
,No new player Notes,,,,,,,,,,
?,Mason MarchmentDAL - LW,?,4,1,0,-2,0,0,9,2,2
,No new player Notes,,,,,,,,,,
?,"Vladimir TarasenkoFLA - LW,RW",?,2,0,0,-3,2,0,7,0,1
,Player Note,,,,,,,,,,
?,Jake SandersonOTT - D,?,8,0,3,-4,2,1,15,8,16
,No new player Notes,,,,,,,,,,
?,Nick SuzukiMTL - C,?,1,0,0,-3,0,0,2,1,0
,No new player Notes,,,,,,,,,,
?,"Trevor MooreLA - LW,RW",?,12,2,3,-10,2,0,42,9,11
,No new player Notes,,,,,,,,,,
?,Pontus HolmbergTOR - RW,?,1,0,1,1,0,0,3,1,0
,No new player Notes,,,,,,,,,,
?,"Jared McCannSEA - C,LW",?,5,2,4,3,0,2,12,1,1
,No new player Notes,,,,,,,,,,
