Forwards/Defensemen,,,Offense,,,,,,,,
,Name,,GP*,G,A,+/-,PIM,PPP,SOG,HIT,BLK
?,Brayden PointTB - C ?,?,69,36,37,-21,10,26,188,15,35
,No new player Notes,,,,,,,,,,
?,Jack EichelVGK - C ?,?,53,28,35,0,12,21,233,19,55
,No new player Notes,,,,,,,,,,
?,Mark StoneVGK - RW,?,56,16,37,1,22,14,117,28,40
,No new player Notes,,,,,,,,,,
?,Erik KarlssonPIT - D ?,?,80,11,43,8,38,16,208,36,95
,No new player Notes,,,,,,,,,,
?,Tyson BarrieNSH - D,?,30,1,10,-8,12,3,39,6,32
,No new player Notes,,,,,,,,,,
?,John TavaresTOR - C,?,66,24,29,2,22,17,240,103,27
,No new player Notes,,,,,,,,,,
?,Cale MakarCOL - D ?,?,76,20,68,13,14,38,228,33,146
,No new player Notes,,,,,,,,,,
?,Drew DoughtyLA - D,?,70,14,28,11,34,18,127,78,112
,No new player Notes,,,,,,,,,,
?,Kirill KaprizovMIN - LW ?,?,67,45,45,13,34,39,253,41,34
,No new player Notes,,,,,,,,,,
?,Jamie BennDAL - LW,?,55,15,26,11,25,14,102,52,36
,No new player Notes,,,,,,,,,,
?,Alex TuchBUF - RW,?,40,14,19,-1,32,7,107,31,43
,No new player Notes,,,,,,,,,,
?,Johnny GaudreauCBJ - LW,?,16,2,4,-3,4,1,42,0,5
,No new player Notes,,,,,,,,,,
?,"Andrei KuzmenkoCGY - LW,RW",?,21,4,2,-6,0,3,30,2,4
,No new player Notes,,,,,,,,,,
?,Aaron EkbladFLA - D,?,45,4,12,25,42,4,88,58,53
,No new player Notes,,,,,,,,,,
?,"Matt BoldyMIN - LW,RW ?",?,40,14,27,3,16,16,124,22,17
,No new player Notes,,,,,,,,,,
?,Hampus LindholmBOS - D,?,17,0,6,15,14,1,14,20,16
,No new player Notes,,,,,,,,,,
?,"Seth JarvisCAR - C,RW",?,38,18,15,19,6,9,68,36,29
,No new player Notes,,,,,,,,,,
?,"Pavel BuchnevichSTL - C,LW",?,24,11,12,1,14,9,55,12,5
,No new player Notes,,,,,,,,,,
?,"Claude GirouxOTT - C,RW",?,33,6,14,-17,6,9,61,11,12
,No new player Notes,,,,,,,,,,
?,Colton ParaykoSTL - D,?,5,0,1,-3,2,0,7,12,13
,No new player Notes,,,,,,,,,,
?,Ryan LindgrenNYR - D,?,3,0,2,1,0,0,3,2,6
,No new player Notes,,,,,,,,,,
?,Travis SanheimPHI - D,?,1,0,0,1,0,0,3,1,1
,No new player Notes,,,,,,,,,,
?,Matt RoyLA - D,?,1,0,0,-2,0,0,2,6,0
,No new player Notes,,,,,,,,,,
?,Jake SandersonOTT - D,?,19,2,5,-3,4,5,29,14,31
,No new player Notes,,,,,,,,,,
?,Kris LetangPIT - D,?,14,2,9,7,2,1,24,17,27
,No new player Notes,,,,,,,,,,
,O,,,,,,,,,,
,Totals,,939,287,486,67,365,271,2392,655,874
Goaltenders,,,Offense,Goaltending,,,,,,,
,Name,,GP*,W,GA*,GAA,SV*,SA*,SV%,SHO,
?,Sergei BobrovskyFLA - G,?,52,33,119,2.31,1304,1423,0.916,6,
,New Player Note,,,,,,,,,,
?,Jeremy SwaymanBOS - G,?,38,21,94,2.52,1043,1137,0.917,3,
,No new player Notes,,,,,,,,,,
?,Darcy KuemperLA - G,?,16,8,49,3.17,434,483,0.899,1,
,Player Note,,,,,,,,,,
?,Joel HoferSTL - G,?,1,1,1,1.01,30,31,0.968,0,
,No new player Notes,,,,,,,,,,
?,Pyotr KochetkovCAR - G,?,13,9,27,2.08,324,351,0.923,2,
,No new player Notes,,,,,,,,,,
,Totals,,120,72,290,2.46,3135,3425,0.915,12,
Legends and Glossaries,,,,,,,,,,,
Legend?,,,,,,,,,,,
Stats?,,,,,,,,,,,
Positions?,,,,,,,,,,,
Advanced Stats Glossary?,,,,,,,,,,,
The Fine Print,,,,,,,,,,,
Projections Powered by Rotowire,,,,,,,,,,,
All game times are shown in MDT.,,,,,,,,,,,
* Non-scoring stats,,,,,,,,,,,
