Forwards/Defensemen,,,Offense,,,,,,,,
,Name,,GP*,G,A,+/-,PIM,PPP,SOG,HIT,BLK
?,Sidney Crosby,?,40,15,28,-9,15,15,106,28,17
?,Artemi Panarin,?,69,32,63,36,20,24,209,25,18
?,Patrik Laine,?,45,16,26,9,12,9,145,68,24
?,Torey Krug,?,58,9,35,-3,31,25,138,31,47
?,John Klingberg,?,17,1,3,-10,14,2,36,13,18
?,Aaron Ekblad,?,40,5,18,11,18,3,94,17,54
?,Sean Couturier,?,55,15,31,22,14,8,149,49,20
?,Boone Jenner,?,4,0,0,-3,6,0,11,5,2
?,Alex DeBrincat,?,57,14,23,-7,8,12,165,51,18
?,Kyle Palmieri,?,58,23,16,-8,39,18,135,67,31
?,Erik Karlsson,?,56,6,34,-15,16,13,120,26,74
?,Pierre-Luc Dubois,?,4,2,1,1,5,1,9,10,3
?,Jeff Skinner,?,30,11,6,-4,14,3,102,10,4
?,Brayden Point,?,15,7,8,2,0,3,29,8,9
?,Jonathan Toews,?,2,1,0,-2,0,0,5,2,1
?,Jakob Silfverberg,?,8,2,3,-2,6,0,16,1,8
?,Deryk Engelland,?,2,0,0,-3,2,0,1,7,5
?,Shayne Gostisbehere,?,1,0,0,-1,2,0,2,1,0
?,Hampus Lindholm,?,1,0,0,0,4,0,1,0,2
?,Zdeno Chara,?,13,2,5,4,8,0,16,17,17
?,Matt Niskanen,?,6,0,1,-4,2,1,11,16,6
?,Jean-Gabriel Pageau,?,42,15,11,-11,38,10,88,88,31
?,Brent Seabrook,?,1,0,1,0,0,0,1,3,1
?,Calvin de Haan,?,2,0,0,0,0,0,0,7,6
?,Jared McCann,?,3,1,1,0,4,0,6,4,0
?,Vladislav Namestnikov,?,1,0,0,0,0,0,1,0,0
?,Alex Goligoski,?,30,2,12,-4,6,5,41,31,51
?,Brendan Lemieux,?,5,0,1,-3,16,0,5,9,3
?,Brock Nelson,?,2,0,1,-1,0,0,5,2,1
?,Ben Chiarot,?,44,6,5,3,49,0,83,95,91
?,Zack Kassian,?,25,6,6,-9,42,0,43,53,2
?,Dustin Brown,?,4,0,1,0,2,1,10,13,0
?,Alex Tuch,?,5,1,1,0,0,0,12,7,2
?,Noel Acciari,?,2,0,0,-1,0,0,2,6,3
?,Andre Burakovsky,?,3,0,0,-3,0,0,3,2,3
?,William Karlsson,?,7,0,1,1,0,0,17,2,5
?,Ondrej Palat,?,4,1,1,0,0,0,6,10,6
?,Kevin Shattenkirk,?,18,1,4,6,8,0,27,18,16
?,Phillip Danault,?,2,1,0,0,0,0,7,1,0
?,Dominik Kubalik,?,8,5,1,0,4,0,22,2,0
?,Dylan Larkin,?,4,2,3,0,4,0,9,3,2
?,David Savard,?,1,0,0,0,0,0,4,1,4
?,Dmitry Orlov,?,10,1,2,2,8,0,13,12,13
?,Zach Hyman,?,15,5,4,1,9,1,35,14,9
?,Rasmus Sandin,?,2,0,0,-1,0,0,2,0,2
?,Chris Wagner,?,3,0,0,-1,2,0,5,8,2
?,Ian Cole,?,2,0,1,3,0,0,5,2,3
?,Damon Severson,?,15,1,8,-6,10,4,26,16,26
?,Nick Suzuki,?,5,1,3,-6,0,3,12,1,1
?,Roman Polak,?,1,0,0,0,0,0,0,4,2
?,Brady Skjei,?,1,0,0,-2,0,0,4,4,1
?,Kevin Fiala,?,11,9,7,0,4,5,45,2,3
?,Carl Gunnarsson,?,2,0,0,1,0,0,3,0,4
?,Tyler Ennis,?,8,1,1,-3,4,0,16,17,4
?,Adam Fox,?,2,1,3,3,2,0,1,1,2
,Totals,,871,221,380,-17,448,166,2059,890,677
Goaltenders,,,Offense,Goaltending,,,,,,,
,Name,,GP*,W,GA*,GAA,SV*,SA*,SV%,SHO,
?,Henrik Lundqvist,?,1,1,4,4,43,47,0.915,0,
?,Joonas Korpisalo,?,9,5,29,3.42,217,246,0.882,0,
?,Darcy Kuemper,?,26,16,60,2.28,762,822,0.927,2,
?,Mike Smith,?,7,3,22,3.47,188,210,0.895,0,
?,Anton Khudobin,?,1,0,5,5,25,30,0.833,0,
?,Alexandar Georgiev,?,2,1,6,3.03,34,40,0.85,0,
?,Pavel Francouz,?,10,6,29,2.88,287,316,0.908,1,
?,Antti Raanta,?,7,3,19,3.57,151,170,0.888,0,
?,Mackenzie Blackwood,?,15,9,38,2.55,480,518,0.927,2,
?,Ilya Samsonov,?,1,1,0,0,23,23,1,1,
?,Chris Driedger,?,1,0,0,0,4,4,1,0,
?,Jaroslav Halak,?,7,7,12,1.7,179,191,0.937,0,
,Totals,,87,52,224,2.68,2393,2617,0.914,6,
Legends and Glossaries,,,,,,,,,,,
Legend?,,,,,,,,,,,
Stats?,,,,,,,,,,,
Positions?,,,,,,,,,,,
Advanced Stats Glossary?,,,,,,,,,,,
The Fine Print,,,,,,,,,,,
Projections Powered by Rotowire,,,,,,,,,,,
All game times are shown in MDT.,,,,,,,,,,,
* Non-scoring stats,,,,,,,,,,,
