Forwards/Defensemen,,,Offense,,,,,,,,
,Name,,GP*,G,A,+/-,PIM,PPP,SOG,HIT,BLK
?,Nikita Kucherov,?,42,21,39,-2,20,27,134,28,7
?,Adam Larsson,?,75,8,15,-16,53,1,110,169,131
?,Mika Zibanejad,?,79,28,51,30,12,27,213,66,47
?,Alex DeBrincat,?,80,40,37,-13,19,28,264,96,34
?,Jacob Trouba,?,74,10,26,24,84,4,184,192,164
?,Vladislav Namestnikov,?,25,9,4,-1,12,0,34,18,14
?,Jakub Voracek,?,71,6,52,-9,32,25,136,24,26
?,Patrik Laine,?,51,24,29,-3,24,13,153,30,11
?,Aaron Ekblad,?,60,14,41,38,22,19,175,61,67
?,Marcus Foligno,?,69,22,18,22,103,7,96,224,37
?,P.K. Subban,?,65,4,14,-15,78,0,103,57,77
?,Keith Yandle,?,70,1,17,-42,14,11,95,26,39
?,Charlie McAvoy,?,74,10,42,30,60,19,155,144,120
?,Ryan O'Reilly,?,77,20,37,10,12,16,166,20,37
?,Cam Atkinson,?,69,22,26,-6,10,5,202,16,45
?,Martin Necas,?,26,7,10,3,10,3,53,21,4
?,Jared Spurgeon,?,15,4,7,9,0,4,29,11,23
,Totals,,1022,250,465,59,565,209,2302,1203,883
Goaltenders,,,Offense,Goaltending,,,,,,,
,Name,,GP*,W,GA*,GAA,SV*,SA*,SV%,SHO,
?,Ilya Sorokin,?,52,26,123,2.4,1517,1640,0.925,7,
?,Jacob Markstrom,?,63,37,137,2.22,1617,1754,0.922,9,
,Totals,,115,63,260,2.3,3134,3394,0.923,16,
Legends and Glossaries,,,,,,,,,,,
Legend?,,,,,,,,,,,
Stats?,,,,,,,,,,,
Positions?,,,,,,,,,,,
Advanced Stats Glossary?,,,,,,,,,,,
The Fine Print,,,,,,,,,,,
Projections Powered by Rotowire,,,,,,,,,,,
All game times are shown in MDT.,,,,,,,,,,,
* Non-scoring stats,,,,,,,,,,,
