Forwards/Defensemen,,,Offense,,,,,,,,
,Name,,GP*,G,A,+/-,PIM,PPP,SOG,HIT,BLK
?,Brayden Point,?,66,28,30,-5,33,22,175,75,27
?,William Karlsson,?,63,11,21,4,10,3,124,38,39
?,Bryan Rust,?,56,17,28,2,12,17,160,41,23
?,Alex Pietrangelo,?,80,13,31,7,42,13,227,66,164
?,Kris Letang,?,77,10,57,19,49,22,210,170,121
?,Alec Martinez,?,11,0,3,3,4,0,11,9,33
?,Ryan Nugent-Hopkins,?,46,6,28,-4,10,17,100,32,27
?,Mikko Rantanen,?,75,35,57,35,56,35,253,58,43
?,Jake Muzzin,?,39,2,10,-7,12,0,55,79,51
?,Claude Giroux,?,68,21,36,-7,24,20,188,62,16
?,Kevin Fiala,?,66,25,42,11,48,15,221,44,17
?,Matt Dumba,?,39,6,14,10,26,5,81,74,58
?,Pavel Buchnevich,?,65,26,37,24,42,17,184,53,11
?,Joel Farabee,?,9,2,2,6,0,1,14,14,3
?,Zach Werenski,?,53,7,29,-16,16,10,160,24,72
?,Ivan Provorov,?,21,3,6,-5,10,3,54,24,48
,Totals,,834,212,431,77,394,200,2217,863,753
Goaltenders,,,Offense,Goaltending,,,,,,,
,Name,,GP*,W,GA*,GAA,SV*,SA*,SV%,SHO,
?,Thatcher Demko,?,60,29,162,2.81,1683,1845,0.912,0,
?,Jake Allen,?,11,3,31,2.94,278,309,0.9,2,
?,John Gibson,?,47,14,152,3.37,1359,1511,0.899,1,
?,Mackenzie Blackwood,?,14,5,49,3.8,357,406,0.879,0,
,Totals,,132,51,394,3.12,3677,4071,0.903,3,
Legends and Glossaries,,,,,,,,,,,
Legend?,,,,,,,,,,,
Stats?,,,,,,,,,,,
Positions?,,,,,,,,,,,
Advanced Stats Glossary?,,,,,,,,,,,
The Fine Print,,,,,,,,,,,
Projections Powered by Rotowire,,,,,,,,,,,
All game times are shown in MDT.,,,,,,,,,,,
* Non-scoring stats,,,,,,,,,,,
