Forwards/Defensemen,,,Offense,,,,,,,,
,Name,,GP*,G,A,+/-,PIM,PPP,SOG,HIT,BLK
?,Tanner Jeannot,?,67,6,11,-6,97,0,97,248,43
?,Steven Stamkos,?,68,27,41,-11,38,31,207,80,43
?,Jonathan Marchessault,?,61,23,24,5,19,14,190,66,12
?,Drew Doughty,?,80,9,42,9,34,27,142,115,103
?,Connor McDavid,?,76,64,81,24,30,65,336,81,38
?,Brent Burns,?,80,18,43,19,44,22,253,39,84
?,Joe Pavelski,?,67,19,38,30,6,18,148,77,51
?,Jamie Benn,?,6,0,1,2,2,0,7,7,2
?,Jason Robertson,?,74,41,51,26,20,34,276,50,17
?,Blake Coleman,?,4,0,2,0,2,0,7,10,4
?,Kris Letang,?,59,12,28,-12,24,20,154,143,94
?,Rasmus Andersson,?,76,11,38,5,26,21,152,50,125
?,Dylan Larkin,?,63,27,38,-5,35,27,195,32,21
?,Ryan Pulock,?,58,2,15,11,12,4,75,103,90
?,Chandler Stephenson,?,52,9,24,3,22,11,74,47,37
?,Max Domi,?,6,0,3,-3,17,1,12,0,1
?,Tyler Toffoli,?,55,23,28,13,22,16,183,29,9
,Totals,,952,291,508,110,450,311,2508,1177,774
Goaltenders,,,Offense,Goaltending,,,,,,,
,Name,,GP*,W,GA*,GAA,SV*,SA*,SV%,SHO,
?,Jacob Markstrom,?,52,20,146,2.89,1208,1354,0.892,1,
?,Tristan Jarry,?,35,18,101,3,990,1091,0.907,2,
?,Matt Murray,?,24,13,69,3.06,650,719,0.904,1,
?,Scott Wedgewood,?,1,0,2,2.1,25,27,0.926,0,
?,Casey DeSmith,?,14,6,46,3.85,373,419,0.89,0,
,Totals,,126,57,364,3.04,3246,3610,0.899,4,
Legends and Glossaries,,,,,,,,,,,
Legend?,,,,,,,,,,,
Stats?,,,,,,,,,,,
Positions?,,,,,,,,,,,
Advanced Stats Glossary?,,,,,,,,,,,
The Fine Print,,,,,,,,,,,
Projections Powered by Rotowire,,,,,,,,,,,
All game times are shown in MDT.,,,,,,,,,,,
* Non-scoring stats,,,,,,,,,,,
