Forwards/Defensemen,,,Offense,,,,,,,,
,Name,,GP*,G,A,+/-,PIM,PPP,SOG,HIT,BLK
?,Mark Giordano,,27,3,8,-2,12,4,42,26,43
?,Ryan Strome,,53,12,27,7,57,10,121,34,15
?,Nils Hoglander,,3,0,2,2,0,1,10,0,0
?,Quinn Hughes,,72,6,54,9,28,30,141,18,54
?,Morgan Rielly,,81,10,57,16,38,23,219,89,86
?,Patric Hornqvist,,3,0,0,-1,0,0,5,6,1
?,Ryan Pulock,,4,0,0,-1,0,0,9,7,13
?,Joel Eriksson Ek,,2,0,0,0,0,0,5,3,3
?,Travis Konecny,,18,5,5,1,8,2,55,21,5
?,Taylor Hall,,12,3,4,-3,8,2,22,14,9
?,Sean Monahan,,1,0,0,-1,0,0,1,0,0
?,Blake Coleman,,3,1,0,2,0,0,9,7,2
?,Justin Faulk,,74,14,30,39,43,6,160,146,100
?,Nathan MacKinnon,,64,32,54,22,42,26,294,68,39
?,Tyler Bertuzzi,,5,2,2,2,4,0,14,3,1
?,Jordan Kyrou,,49,13,28,-2,18,9,115,3,15
?,Vincent Trocheck,,14,3,7,3,14,3,25,32,8
?,Brady Tkachuk,,79,30,37,-8,117,18,288,270,25
?,Brock Boeser,,29,10,7,-3,2,7,87,8,11
?,Kevin Shattenkirk,,15,1,7,0,4,4,27,12,18
?,Pierre-Luc Dubois,,64,20,22,-14,82,13,188,90,31
?,Milan Lucic,,1,0,0,0,0,0,2,0,0
?,Patrik Nemeth,,1,0,0,1,0,0,0,2,3
?,Drake Batherson,,37,13,22,1,30,12,82,65,13
?,Jesper Bratt,,32,11,23,-7,8,10,88,6,10
?,Mario Ferraro,,26,0,4,3,2,0,20,55,64
?,Rickard Rakell,,3,1,0,0,0,0,10,4,2
?,Robert Thomas,,3,0,1,0,2,0,9,0,0
?,Adam Boqvist,,6,2,1,-1,2,0,8,0,3
?,Michael Bunting,,28,5,18,9,48,2,59,33,8
?,Jonathan Marchessault,,52,18,29,6,26,16,178,39,9
?,Brayden McNabb,,6,0,2,1,2,0,13,14,11
?,Erik Karlsson,,6,0,4,-5,0,0,16,3,4
?,Nino Niederreiter,,4,2,0,1,2,1,8,9,1
?,Zach Whitecloud,,3,0,0,-2,2,0,3,6,6
?,Alexander Kerfoot,,2,0,1,0,2,0,2,3,1
?,Andre Burakovsky,,13,1,8,-1,0,0,23,7,7
?,Connor Murphy,,10,1,1,-3,8,0,21,21,27
?,Clayton Keller,,26,12,18,10,2,7,60,3,7
?,Samuel Girard,,6,0,1,5,0,1,5,5,15
?,Rasmus Andersson,,4,1,2,1,0,0,7,2,5
?,Ryan McDonagh,,1,0,1,0,0,0,2,0,2
?,Calvin de Haan,,1,0,0,-1,2,0,1,0,5
?,Alex Tuch,,6,1,6,-1,2,1,24,3,7
?,Jack Eichel,,33,14,10,4,8,7,129,39,35
?,Josh Morrissey,,32,7,10,-1,44,6,81,60,50
?,Vladislav Gavrikov,,4,0,1,-4,12,0,3,5,9
?,Colton Parayko,,7,0,2,4,2,0,14,10,13
?,Artem Zub,,3,0,1,-1,0,0,4,7,2
?,Matt Boldy,,1,0,0,0,0,0,1,0,0
?,Chris Tanev,,3,0,0,-1,2,0,3,2,4
?,Lawson Crouse,,1,1,1,-1,0,1,2,1,0
?,Josh Norris,,9,3,6,3,2,4,30,12,4
?,Esa Lindell,,1,0,0,0,0,0,2,0,4
?,Joel Edmundson,,2,0,0,-2,0,0,2,6,1
?,Jean-Gabriel Pageau,,2,0,0,-1,0,0,3,8,3
?,Torey Krug,,3,0,1,-3,2,1,4,5,7
?,Valeri Nichushkin,,6,4,2,-2,2,0,26,5,0
?,Erik Cernak,,5,0,1,0,7,0,3,12,4
,Totals,,1061,262,528,80,698,227,2785,1309,825
Goaltenders,,,Offense,Goaltending,,,,,,,
,Name,,GP*,W,GA*,GAA,SV*,SA*,SV%,SHO,
?,Robin Lehner,,40,21,110,2.81,1065,1175,0.906,1,
?,Marc-Andre Fleury,,53,26,150,2.9,1504,1654,0.909,4,
?,Martin Jones,,1,1,2,1.93,34,36,0.944,0,
?,Maxime Lagace,,1,0,6,9.01,21,27,0.778,0,
?,Alex Nedeljkovic,,1,0,5,5.05,32,37,0.865,0,
?,Anton Forsberg,,12,6,37,3.08,369,406,0.909,0,
?,James Reimer,,4,2,9,2.63,126,135,0.933,0,
?,Karel Vejmelka,,1,1,3,3,36,39,0.923,0,
?,Antti Raanta,,2,1,4,2.58,44,48,0.917,0,
,Totals,,115,58,326,2.92,3231,3557,0.908,5,
Legends and Glossaries,,,,,,,,,,,
Legend?,,,,,,,,,,,
Stats?,,,,,,,,,,,
Positions?,,,,,,,,,,,
Advanced Stats Glossary?,,,,,,,,,,,
The Fine Print,,,,,,,,,,,
Projections Powered by Rotowire,,,,,,,,,,,
All game times are shown in MDT.,,,,,,,,,,,
* Non-scoring stats,,,,,,,,,,,
