Forwards/Defensemen,,,Offense,,,,,,,,
,Name,,GP*,G,A,+/-,PIM,PPP,SOG,HIT,BLK
?,"Steven StamkosTB - C,LW ?",?,74,36,38,-22,34,35,242,63,40
,No new player Notes,,,,,,,,,,
?,Victor HedmanTB - D,?,78,13,63,18,76,31,169,56,102
,No new player Notes,,,,,,,,,,
?,Connor McDavidEDM - C ?,?,74,31,97,34,28,42,249,100,39
,Player Note,,,,,,,,,,
?,"Jonathan HuberdeauCGY - C,LW",?,10,1,3,-9,12,1,11,4,6
,No new player Notes,,,,,,,,,,
?,"Claude GirouxOTT - C,RW",?,35,12,20,1,18,7,85,15,13
,No new player Notes,,,,,,,,,,
?,Brent BurnsCAR - D ?,?,82,10,33,18,20,20,184,34,87
,No new player Notes,,,,,,,,,,
?,MacKenzie WeegarCGY - D,?,76,19,29,1,47,13,191,159,193
,No new player Notes,,,,,,,,,,
?,Bowen ByramBUF - D,?,4,0,0,-1,10,0,3,5,9
,No new player Notes,,,,,,,,,,
?,Dylan LarkinDET - C ?,?,58,27,30,9,29,20,196,30,28
,Player Note,,,,,,,,,,
,O,,,,,,,,,,
?,"Pavel BuchnevichSTL - C,LW",?,4,0,0,2,2,0,4,2,1
,No new player Notes,,,,,,,,,,
?,"Timo MeierNJ - LW,RW",?,17,4,3,-14,12,4,47,13,9
,No new player Notes,,,,,,,,,,
,O,,,,,,,,,,
?,Jason RobertsonDAL - LW ?,?,81,28,51,21,22,27,226,69,31
,No new player Notes,,,,,,,,,,
?,"Alex DeBrincatDET - LW,RW",?,63,21,28,5,23,14,172,32,26
,No new player Notes,,,,,,,,,,
?,Brock BoeserVAN - RW,?,68,29,30,22,12,19,167,36,23
,No new player Notes,,,,,,,,,,
,O,,,,,,,,,,
?,"Quinton ByfieldLA - C,LW,RW",?,28,5,13,3,22,3,62,28,5
,No new player Notes,,,,,,,,,,
?,"Owen TippettPHI - LW,RW",?,48,20,14,0,4,5,186,89,26
,No new player Notes,,,,,,,,,,
?,Jeremy LauzonNSH - D,?,46,5,6,-1,56,0,62,235,72
,No new player Notes,,,,,,,,,,
?,"Tanner JeannotTB - LW,RW",?,5,0,1,-1,4,0,6,13,2
,No new player Notes,,,,,,,,,,
?,"Trent FredericBOS - C,RW",?,8,1,5,7,14,0,15,13,7
,No new player Notes,,,,,,,,,,
?,"Eeli TolvanenSEA - LW,RW",?,2,0,0,0,0,0,3,3,0
,No new player Notes,,,,,,,,,,
?,Kirill MarchenkoCBJ - RW,?,2,0,0,-1,0,0,5,0,0
,No new player Notes,,,,,,,,,,
?,Oliver BjorkstrandSEA - RW,?,2,0,2,-1,0,2,1,1,1
,No new player Notes,,,,,,,,,,
?,Logan CoutureSJ - C,?,2,0,0,1,0,0,4,0,3
,No new player Notes,,,,,,,,,,
,O,,,,,,,,,,
?,Sam BennettFLA - C,?,4,0,0,1,0,0,4,6,7
,Player Note,,,,,,,,,,
?,"Martin NecasCAR - C,RW",?,20,7,10,3,10,2,66,17,9
,No new player Notes,,,,,,,,,,
?,"Pierre-Luc DuboisWSH - C,LW",?,2,2,0,2,4,1,4,3,1
,Player Note,,,,,,,,,,
?,Kyle PalmieriNYI - RW,?,3,0,0,0,2,0,7,4,0
,No new player Notes,,,,,,,,,,
?,"Alexis LafreniereNYR - LW,RW",?,21,10,6,4,14,1,58,14,7
,No new player Notes,,,,,,,,,,
?,William KarlssonVGK - C,?,3,2,1,-1,0,0,12,3,4
,No new player Notes,,,,,,,,,,
?,Nils HoglanderVAN - LW,?,3,1,0,0,0,0,8,7,0
,No new player Notes,,,,,,,,,,
?,"Alex KillornANA - LW,RW",?,7,3,2,3,2,0,23,7,4
,No new player Notes,,,,,,,,,,
?,"Ryan StromeANA - LW,RW",?,2,0,0,0,0,0,3,0,2
,No new player Notes,,,,,,,,,,
?,Nikita ZadorovVAN - D,?,2,0,0,-1,17,0,3,3,2
,No new player Notes,,,,,,,,,,
?,"Brayden SchennSTL - C,LW",?,7,3,4,0,4,1,23,6,4
,No new player Notes,,,,,,,,,,
?,Tom WilsonWSH - RW ?,?,8,1,2,1,13,1,17,32,9
,No new player Notes,,,,,,,,,,
?,Luke SchennNSH - D,?,7,0,1,-1,9,0,8,15,11
,No new player Notes,,,,,,,,,,
?,Colton ParaykoSTL - D,?,5,0,1,1,0,0,5,4,17
,No new player Notes,,,,,,,,,,
,Totals,,961,291,493,104,520,249,2531,1121,800
Goaltenders,,,Offense,Goaltending,,,,,,,
,Name,,GP*,W,GA*,GAA,SV*,SA*,SV%,SHO,
?,Frederik AndersenCAR - G,?,5,3,13,3.13,103,116,0.888,0,
,No new player Notes,,,,,,,,,,
?,Jacob MarkstromNJ - G,?,41,21,108,2.69,1063,1171,0.908,2,
,Player Note,,,,,,,,,,
?,Semyon VarlamovNYI - G,?,3,1,7,2.3,100,107,0.935,1,
,No new player Notes,,,,,,,,,,
?,Carter HartPHI - G,?,15,8,40,2.87,389,429,0.907,0,
,No new player Notes,,,,,,,,,,
,IR-NR,,,,,,,,,,
?,Ilya SamsonovTOR - G,?,4,2,12,3.61,96,108,0.889,0,
,No new player Notes,,,,,,,,,,
?,Jordan BinningtonSTL - G,?,44,22,122,2.9,1264,1386,0.912,3,
,No new player Notes,,,,,,,,,,
?,Petr MrazekCHI - G,?,2,2,4,1.91,63,67,0.94,0,
,No new player Notes,,,,,,,,,,
?,Alex LyonDET - G,?,8,4,25,3.34,201,226,0.889,1,
,Player Note,,,,,,,,,,
,O,,,,,,,,,,
?,Dustin WolfCGY - G,?,1,0,4,4.18,28,32,0.875,0,
,No new player Notes,,,,,,,,,,
,NA,,,,,,,,,,
?,Calvin PickardEDM - G,?,1,1,2,1.9,23,25,0.92,0,
,No new player Notes,,,,,,,,,,
?,Charlie LindgrenWSH - G,?,14,7,38,2.87,349,387,0.902,2,
,No new player Notes,,,,,,,,,,
,Totals,,138,71,375,2.85,3679,4054,0.907,9,
Legends and Glossaries,,,,,,,,,,,
Legend?,,,,,,,,,,,
Stats?,,,,,,,,,,,
Positions?,,,,,,,,,,,
Advanced Stats Glossary?,,,,,,,,,,,
The Fine Print,,,,,,,,,,,
Projections Powered by Rotowire,,,,,,,,,,,
All game times are shown in MDT.,,,,,,,,,,,
* Non-scoring stats,,,,,,,,,,,
