Forwards/Defensemen,,,Offense,,,,,,,,
,Name,,GP*,G,A,+/-,PIM,PPP,SOG,HIT,BLK
?,Ondrej Palat,?,56,13,18,-1,16,6,103,79,25
?,Evgenii Dadonov,?,11,2,1,2,0,0,24,8,6
?,Mikhail Sergachev,?,71,7,27,8,53,6,141,130,113
?,Gabriel Landeskog,?,50,30,29,28,76,15,148,94,34
?,Christian Dvorak,?,7,1,2,-5,6,1,10,5,7
?,Tyler Toffoli,?,19,3,6,-8,2,2,49,31,5
?,Cale Makar,?,77,28,58,48,26,34,240,95,110
?,Tyler Seguin,?,69,19,21,-14,26,9,183,84,24
?,Viktor Arvidsson,?,42,16,14,2,18,6,158,14,34
?,Joe Pavelski,?,79,26,53,12,12,24,212,100,67
?,MacKenzie Weegar,?,80,8,36,40,81,3,203,179,156
?,Ivan Provorov,?,7,0,1,6,6,0,7,4,22
?,Matthew Tkachuk,?,68,33,52,44,58,25,215,74,15
?,Filip Forsberg,?,52,26,33,7,16,20,169,88,35
?,Dominik Kubalik,?,9,0,3,-4,0,1,21,12,7
?,Jeff Petry,?,16,0,2,-4,4,0,22,31,16
?,J.T. Compher,?,2,1,0,1,0,1,2,0,1
?,Reilly Smith,?,22,4,12,0,2,5,50,16,4
?,Dmitry Orlov,?,23,3,10,7,14,1,37,42,20
?,Taylor Hall,?,29,5,15,-1,12,6,72,17,16
?,Nicklas Backstrom,?,35,6,19,-7,10,11,50,13,13
?,Kevin Shattenkirk,?,9,0,3,-7,4,1,16,2,9
?,Evgeni Malkin,?,35,19,20,-7,20,18,114,19,16
?,Mathew Barzal,?,16,2,10,-8,4,6,28,4,4
?,Tomas Hertl,?,33,7,18,-8,14,8,70,48,32
?,Erik Karlsson,?,11,2,3,-7,0,0,20,2,8
?,Mason Marchment,?,11,3,5,3,16,0,20,23,2
?,Damon Severson,?,14,1,7,7,6,1,17,22,15
,Totals,,953,265,478,134,502,210,2401,1236,816
Goaltenders,,,Offense,Goaltending,,,,,,,
,Name,,GP*,W,GA*,GAA,SV*,SA*,SV%,SHO,
?,Philipp Grubauer,?,40,11,126,3.36,961,1087,0.884,1,
?,Juuse Saros,?,65,37,166,2.61,1882,2048,0.919,4,
?,Adin Hill,?,2,0,6,3.4,29,35,0.829,0,
?,Craig Anderson,?,19,9,65,3.4,495,560,0.884,0,
?,Semyon Varlamov,?,2,0,9,4.58,62,71,0.873,0,
,Totals,,128,57,372,3,3429,3801,0.902,5,
Legends and Glossaries,,,,,,,,,,,
Legend?,,,,,,,,,,,
Stats?,,,,,,,,,,,
Positions?,,,,,,,,,,,
Advanced Stats Glossary?,,,,,,,,,,,
The Fine Print,,,,,,,,,,,
Projections Powered by Rotowire,,,,,,,,,,,
All game times are shown in MDT.,,,,,,,,,,,
* Non-scoring stats,,,,,,,,,,,
