Name,GP*,G,A,+/-,PIM,PPP,SOG,HIT,BLK,manager,year,Position,center,lw,rw,defence,multi_position,GWG
Timo Meier,71,28,30,13,49,8,NA,80,37,Fuck Tom Wilson!,2018,"LW,RW",0,1,1,0,1,2
Joe Pavelski,70,37,26,-1,20,20,NA,65,58,Fuck Tom Wilson!,2018,"C,RW",1,0,1,0,1,6
Charlie McAvoy,7,1,5,1,10,0,NA,9,14,Fuck Tom Wilson!,2018,D,0,0,0,1,0,0
Sidney Crosby,72,32,58,18,36,26,NA,78,40,Fuck Tom Wilson!,2018,C,1,0,0,0,0,3
Boone Jenner,10,2,0,-1,6,1,NA,19,8,Fuck Tom Wilson!,2018,"C,LW",1,1,0,0,1,0
Chris Kreider,66,22,23,10,51,11,NA,130,41,Fuck Tom Wilson!,2018,LW,0,1,0,0,0,2
Kevin Fiala,4,0,0,-2,2,0,NA,0,2,Fuck Tom Wilson!,2018,LW,0,1,0,0,0,0
Andrei Svechnikov,11,2,2,-1,12,0,NA,11,0,Fuck Tom Wilson!,2018,"LW,RW",0,1,1,0,1,2
Vincent Trocheck,16,3,10,-2,22,7,NA,32,9,Fuck Tom Wilson!,2018,C,1,0,0,0,0,0
Ty Rattie,3,0,1,2,0,0,NA,4,1,Fuck Tom Wilson!,2018,RW,0,0,1,0,0,0
Victor Hedman,67,10,41,23,40,24,NA,56,95,Fuck Tom Wilson!,2018,D,0,0,0,1,0,4
Adam Larsson,39,1,11,-1,22,0,NA,120,64,Fuck Tom Wilson!,2018,D,0,0,0,1,0,0
Darnell Nurse,1,0,0,-3,2,0,NA,2,1,Fuck Tom Wilson!,2018,D,0,0,0,1,0,0
Ryan Pulock,3,0,0,-1,0,0,NA,2,5,Fuck Tom Wilson!,2018,D,0,0,0,1,0,0
Henri Jokiharju,4,0,0,-2,0,0,NA,7,3,Fuck Tom Wilson!,2018,D,0,0,0,1,0,0
Tyson Barrie,66,10,38,-3,30,22,NA,45,79,Fuck Tom Wilson!,2018,D,0,0,0,1,0,2
Kasperi Kapanen,10,2,2,4,6,0,NA,16,2,Fuck Tom Wilson!,2018,RW,0,0,1,0,0,1
Alex Galchenyuk,11,3,6,-1,4,5,NA,7,5,Fuck Tom Wilson!,2018,"C,LW",1,1,0,0,1,0
Keith Yandle,66,8,42,-16,42,36,NA,34,60,Fuck Tom Wilson!,2018,D,0,0,0,1,0,2
Mika Zibanejad,57,21,31,-7,37,15,NA,93,41,Fuck Tom Wilson!,2018,C,1,0,0,0,0,4
Torey Krug,15,0,11,-7,21,8,NA,13,18,Fuck Tom Wilson!,2018,D,0,0,0,1,0,0
Ben Chiarot,3,0,0,2,2,0,NA,5,2,Fuck Tom Wilson!,2018,D,0,0,0,1,0,0
Josh Anderson,12,6,1,4,6,2,NA,25,3,Fuck Tom Wilson!,2018,RW,0,0,1,0,0,0
Marcus Foligno,3,0,0,-1,2,0,NA,11,1,Fuck Tom Wilson!,2018,LW,0,1,0,0,0,0
Alex Tuch,45,10,16,1,8,1,NA,50,21,Fuck Tom Wilson!,2018,RW,0,0,1,0,0,4
Shea Weber,50,11,17,14,24,5,NA,113,96,Fuck Tom Wilson!,2018,D,0,0,0,1,0,3
William Carrier,15,1,0,-2,2,0,NA,77,4,Fuck Tom Wilson!,2018,LW,0,1,0,0,0,0
David Krejci,6,3,1,-6,0,0,NA,1,3,Fuck Tom Wilson!,2018,C,1,0,0,0,0,0
Tomas Tatar,12,2,6,3,4,1,NA,9,1,Fuck Tom Wilson!,2018,"LW,RW",0,1,1,0,1,1
