Name,gp,wins,GA,GAA,saves,shots_against,sv_percent,shutout,manager,year,Position
Pekka Rinne,49,24,117,2.51,1225,1342,0.912816691505216,3,Fuck Tom Wilson!,2018,G
Ben Bishop,39,22,75,2.01,1071,1146,0.9345549738219895,6,Fuck Tom Wilson!,2018,G
Juuse Saros,3,1,12,4.04,90,102,0.8823529411764706,0,Fuck Tom Wilson!,2018,G
Jack Campbell,5,2,9,1.82,138,147,0.9387755102040817,0,Fuck Tom Wilson!,2018,G
Jaroslav Halak,2,1,7,3.46,54,61,0.8852459016393442,0,Fuck Tom Wilson!,2018,G
Casey DeSmith,8,5,20,2.48,222,242,0.9173553719008265,0,Fuck Tom Wilson!,2018,G
Jake Allen,2,1,6,3.01,54,60,0.9,0,Fuck Tom Wilson!,2018,G
Mikko Koskinen,5,2,12,3.4,93,105,0.8857142857142857,0,Fuck Tom Wilson!,2018,G
Mackenzie Blackwood,4,2,13,3.32,92,105,0.8761904761904762,0,Fuck Tom Wilson!,2018,G
Anton Khudobin,2,1,6,3.04,85,91,0.9340659340659341,0,Fuck Tom Wilson!,2018,G
Carter Hart,1,0,2,2.06,33,35,0.9428571428571428,0,Fuck Tom Wilson!,2018,G
Connor Hellebuyck,56,32,156,2.85,1646,1802,0.9134295227524972,2,Fuck Yeah Tom Wilson,2018,G
Semyon Varlamov,47,19,130,2.86,1308,1438,0.9095966620305981,2,Fuck Yeah Tom Wilson,2018,G
Jaroslav Halak,4,3,12,3.02,131,143,0.916083916083916,0,Fuck Yeah Tom Wilson,2018,G
Michael Hutchinson,2,2,2,1,55,57,0.9649122807017544,1,Fuck Yeah Tom Wilson,2018,G
Frederik Andersen,54,34,142,2.71,1600,1742,0.9184845005740528,1,Good Cop Babcock,2018,G
Cam Talbot,14,5,44,3.31,350,394,0.8883248730964467,0,Good Cop Babcock,2018,G
Jaroslav Halak,6,1,21,3.83,171,192,0.890625,0,Good Cop Babcock,2018,G
David Rittich,5,2,12,2.43,136,148,0.918918918918919,0,Good Cop Babcock,2018,G
Matt Murray,30,19,72,2.44,906,978,0.9263803680981595,3,Good Cop Babcock,2018,G
Casey DeSmith,4,1,13,3.29,109,122,0.8934426229508197,0,Good Cop Babcock,2018,G
Mike Smith,4,2,8,2.04,93,101,0.9207920792079208,0,Good Cop Babcock,2018,G
Devan Dubnyk,63,29,157,2.6,1610,1767,0.9111488398415394,2,Good ontariyah boys,2018,G
Antti Raanta,9,5,19,2.1,247,266,0.9285714285714286,0,Good ontariyah boys,2018,G
Jacob Markstrom,43,20,109,2.56,1235,1344,0.9188988095238095,1,Good ontariyah boys,2018,G
Marc-Andre Fleury,59,35,144,2.46,1529,1673,0.9139270771069934,8,Hail Satan,2018,G
Cam Ward,4,2,18,4.34,130,148,0.8783783783783784,0,Hail Satan,2018,G
Corey Crawford,22,6,68,3.29,624,692,0.9017341040462428,1,Hail Satan,2018,G
Jake Allen,19,8,44,2.39,467,511,0.913894324853229,2,Hail Satan,2018,G
Braden Holtby,54,27,153,2.94,1504,1657,0.9076644538322269,3,I'M BETTMEN!!!,2018,G
Jake Allen,3,0,13,4.29,65,78,0.8333333333333334,0,I'M BETTMEN!!!,2018,G
Carter Hutton,30,14,79,2.77,828,907,0.9128996692392503,0,I'M BETTMEN!!!,2018,G
